"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","4.0","1500","1.21197581518886","4.84790326075544"
"1","43","1.066","2000","0.6","false","4.0","2000","0.9881052565158107","3.952421026063243"
"44","200","1.066","4500","0.6","false","3.0","4500","3.4097105331979822","10.229131599593947"
"201","410","1.066","3000","0.6","false","2.25","3000","3.3447782706525415","7.525751108968218"
"411","430","1.066","1250","0.6","false","2.25","1250","0.8705602436403537","1.9587605481907957"
"431","500","1.066","1300","0.6","false","1.6875","1300","3.7092704710455395","6.259393919889348"
"501","750","1.066","1300","0.6","false","1.6875","1300","1.0459350338989062","1.7650153697044042"
"751","950","1.066","1400","0.6","false","1.6875","1400","0.955511601544951","1.6124258276071048"
"951","1066","1.066","1500","0.6","false","1.6875","1500","0.9255925703409156","1.561937462450295"
"1067","1086","1.066","2000","0.6","false","1.6875","2000","0.9568748232271718","1.6147262641958524"
"1087","1190","1.066","3700","0.6","false","1.6875","3700","0.9409757124729332","1.5878965147980748"
"1191","1220","1.066","4800","0.6","false","1.6875","4800","0.9219848798765642","1.5558494847917022"
"1221","1250","1.066","5000","0.6","false","1.6875","5000","0.8973348141959756","1.514252498955709"
"1251","1279","1.066","5300","0.6","false","1.6875","5300","0.8930368343881865","1.5069996580300646"
"1280","1290","1.066","5700","0.6","false","1.6875","5700","0.8951802296133607","1.5106166374725463"
"1291","1315","1.066","5600","0.6","false","1.6875","5600","0.8851096875880551","1.493622597804843"
"1316","1325","1.066","5000","0.6","false","1.6875","5000","0.8742650363095891","1.4753222487724316"
"1326","1348","1.066","5700","0.6","false","1.6875","5700","0.8909054108181773","1.5034028807556743"
"1349","1351","1.066","3000","0.6","true","1.6875","3000","0.7382215410869236","1.2457488505841836"
"1352","1377","1.066","3000","0.6","false","1.6875","3000","0.8791916281659535","1.4836358725300465"
"1378","1400","1.066","2500","0.6","false","1.6875","2500","0.8705684313551828","1.469084227911871"
"1401","1430","1.066","2400","0.6","false","1.6875","2400","0.8735377276980767","1.4740949154905043"
"1431","1450","1.066","2300","0.6","false","1.6875","2300","0.8672783963987213","1.4635322939228421"
"1451","1490","1.066","2600","0.6","false","1.265625","2600","3.746004616237036","4.741037092424999"
"1491","1522","1.066","2800","0.6","false","1.265625","2800","1.156437648217073","1.463616398524733"
"1523","1541","1.066","3400","0.6","false","1.265625","3400","1.1736383716837262","1.485386064162216"
"1542","1560","1.066","3800","0.6","false","1.265625","3800","1.154853957058148","1.4616120394017185"
"1561","1600","1.066","5000","0.6","false","1.265625","5000","1.163761958230634","1.472886228385646"
"1601","1650","1.066","6300","0.6","false","1.265625","6300","1.1522759825428341","1.4583492904057744"
"1651","1700","1.066","6200","0.6","false","1.265625","6200","1.134629476658588","1.4360154313960254"
"1701","1801","1.066","11300","0.6","false","1.265625","11300","1.1668610874316978","1.4768085637807424"
"1802","1811","1.066","12500","0.6","false","1.265625","12500","1.1379098772685847","1.4401671884180525"
"1812","1821","1.066","13400","0.6","false","1.265625","13400","1.1287051530780778","1.4285174593644423"
"1822","1831","1.066","15800","0.6","false","1.265625","15800","1.1546581055791882","1.4613641648736602"
"1832","1841","1.066","20200","0.6","false","1.265625","20200","1.1882195367455206","1.5038403511935494"
"1842","1851","1.066","27400","0.6","false","1.265625","27400","1.2171591453975625","1.5404670433937901"
"1852","1861","1.066","29000","0.6","false","1.265625","29000","1.124348691009459","1.4230038120588464"
"1862","1871","1.066","31500","0.6","false","1.265625","31500","1.1280360540090506","1.4276706308552047"
"1872","1881","1.066","35000","0.6","false","1.265625","35000","1.1328652031049802","1.4337825226797405"
"1882","1891","1.066","37800","0.6","false","1.265625","37800","1.1235535931991905","1.4219975163927254"
"1892","1901","1.066","38200","0.6","false","1.265625","38200","1.1157800785654475","1.4121591619343945"
"1902","1911","1.003","42100","0.13","false","1.265625","42100","1.1483821732804347","1.45342118805805"
"1912","1921","1.003","44000","0.13","false","1.265625","44000","1.103062888555229","1.3960639683277116"
"1922","1931","1.003","45000","0.13","false","1.265625","45000","1.1046708165932568","1.3980990022508406"
"1932","1941","1.003","50200","0.13","false","1.265625","50200","1.1670746717189404","1.477078881394284"
"1942","1951","1.003","52800","0.13","false","1.265625","52800","1.1498019163042739","1.4552180503225967"
"1952","1961","1.003","55900","0.13","false","1.265625","55900","1.138892730768818","1.4414111123792852"
"1962","1971","1.003","56300","0.13","false","1.265625","56300","1.1177479285263725","1.4146497220411902"
"1972","1981","1.003","57400","0.13","false","1.265625","57400","1.1192952712077744","1.4166080776223395"
"1982","1991","1.003","59300","0.13","false","1.265625","59300","1.1205539897106307","1.418201143227517"
"1992","2001","1.003","63200","0.13","false","1.265625","63200","1.1397631216774449","1.442512700873016"
"2002","2011","1.003","65600","0.13","false","1.265625","65600","1.1235124261087661","1.4219454142939072"
"2012","2015","1.003","66270","0.13","false","1.265625","66270","1.1157195936654027","1.4120826107327753"
