"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","1.0","15","90","41","1.7830400736273913","1.7830400736273913","150.0","false"
"1","43","20","0.35","false","1.0","20","90","41","0.8701978452712537","0.8701978452712537","150.0","false"
"44","200","45","0.35","false","1.0","45","90","41","0.8489999562404461","0.8489999562404461","150.0","false"
"201","410","30","0.35","false","1.0","30","90","41","0.8477784815799017","0.8477784815799017","150.0","false"
"411","430","12","0.35","false","1.0","12","90","41","0.845594334575248","0.845594334575248","150.0","false"
"431","500","13","0.35","false","1.0","13","90","41","0.898434016963428","0.898434016963428","150.0","false"
"501","750","13","0.35","false","1.0","13","90","41","0.8697932060543504","0.8697932060543504","150.0","false"
"751","950","14","0.35","false","1.0","14","90","41","0.8691715102707748","0.8691715102707748","150.0","false"
"951","1066","15","0.35","false","0.75","15","90","41","3.982295536213545","2.9867216521601585","150.0","false"
"1067","1086","20","0.35","false","0.75","20","90","41","1.1624139463477696","0.8718104597608272","150.0","false"
"1087","1190","37","0.35","false","0.75","37","90","41","1.1439664890249825","0.8579748667687369","150.0","false"
"1191","1220","48","0.35","false","0.75","48","90","41","1.158059096649483","0.8685443224871123","150.0","false"
"1221","1250","50","0.35","false","0.75","50","90","41","1.1437566139454194","0.8578174604590645","150.0","false"
"1251","1279","53","0.35","false","0.75","53","90","41","1.1305509648402132","0.8479132236301599","150.0","false"
"1280","1290","57","0.35","false","0.75","57","90","41","1.1380467331023878","0.8535350498267908","150.0","false"
"1291","1315","56","0.35","false","0.75","56","90","41","1.1342187184187549","0.8506640388140662","150.0","false"
"1316","1325","50","0.35","false","0.75","50","90","41","1.1075245173267556","0.8306433879950668","150.0","false"
"1326","1348","57","0.35","false","0.75","57","90","41","1.1369114525901136","0.8526835894425853","150.0","false"
"1349","1351","30","0.35","true","0.75","30","90","41","0.9359591766130425","0.7019693824597819","150.0","false"
"1352","1377","30","0.35","false","0.75","30","90","41","1.1487957323241604","0.8615967992431204","150.0","false"
"1378","1400","25","0.35","false","0.75","25","90","41","1.1352510831305478","0.8514383123479108","150.0","false"
"1401","1430","24","0.35","false","0.75","24","90","41","1.126718698286204","0.845039023714653","150.0","false"
"1431","1450","23","0.35","false","0.75","23","90","41","1.1325475992352418","0.8494106994264314","150.0","false"
"1451","1490","26","0.35","false","0.75","26","90","41","1.1479929009777405","0.8609946757333053","150.0","false"
"1491","1522","28","0.35","false","0.75","28","90","41","1.133536062526337","0.8501520468947528","150.0","false"
"1523","1541","34","0.35","false","0.75","34","90","41","1.1339688618845982","0.8504766464134487","150.0","false"
"1542","1560","38","0.35","false","0.75","38","90","41","1.1518618561079526","0.8638963920809644","150.0","false"
"1561","1600","50","0.31","false","0.75","50","90","41","1.1613767329815423","0.8710325497361567","150.0","false"
"1601","1650","63","0.29","false","0.75","63","90","41","1.1437216573458566","0.8577912430093925","150.0","false"
"1651","1700","62","0.26","false","0.75","62","90","41","1.144246973290516","0.858185229967887","150.0","false"
"1701","1801","0","0.25","false","0.85974","113","90","41","1.0","0.85974","150.0","false"
"1802","1811","0","0.28","false","0.85974","125","90","41","1.0","0.85974","150.0","false"
"1812","1821","0","0.28","false","0.85974","134","90","41","1.0","0.85974","150.0","false"
"1822","1831","0","0.26","false","0.85974","158","90","41","1.0","0.85974","150.0","false"
"1832","1841","0","0.25","false","0.85974","202","90","41","1.0","0.85974","150.0","false"
"1842","1851","0","0.22","false","4.42987","274","90","41","1.0","4.42987","150.0","false"
"1852","1861","0","0.25","false","0.8306","290","90","41","1.0","0.8306","150.0","false"
"1862","1871","0","0.22","false","4.4153","315","90","41","1.0","4.4153","150.0","false"
"1872","1881","0","0.21","false","0.862362","350","90","41","1.0","0.862362","150.0","false"
"1882","1891","0","0.19","false","0.862362","378","90","41","1.0","0.862362","150.0","false"
"1892","1901","0","0.18","false","0.862362","382","90","41","1.0","0.862362","150.0","false"
"1902","1911","0","0.13","false","0.862362","421","90","41","1.0","0.862362","150.0","false"
"1912","1921","0","0.14","false","0.862362","440","90","41","1.0","0.862362","150.0","false"
"1922","1931","0","0.12","false","4.431181","450","90","41","1.0","4.431181","150.0","false"
"1932","1941","0","0.07","false","4.431181","502","90","41","1.0","4.431181","150.0","false"
"1942","1951","0","0.08","false","4.431181","528","90","41","1.0","4.431181","150.0","false"
"1952","1961","0","0.09","false","4.431181","559","90","41","1.0","4.431181","150.0","true"
"1962","1971","0","0.1","false","0.865464","563","90","41","1.0","0.865464","150.0","true"
"1972","1981","0","0.07","false","4.432732","574","90","41","1.0","4.432732","150.0","true"
"1982","1991","0","0.1","false","4.432732","593","90","41","1.0","4.432732","150.0","true"
"1992","2001","0","0.09","false","4.432732","632","90","41","1.0","4.432732","150.0","true"
"2002","2011","0","0.09","false","4.432732","656","90","41","1.0","4.432732","150.0","true"
"2012","2015","0","0.09","false","4.432732","662","90","41","1.0","4.432732","150.0","true"
