"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","1.25","1500","90","41","1.967541614335656","2.45942701791957","0.0075","false"
"1","43","2000","0.35","false","1.25","2000","90","41","0.9724037128255595","1.2155046410319494","0.0075","false"
"44","200","4500","0.35","false","1.25","4500","90","41","0.9846077491790758","1.2307596864738448","0.0075","false"
"201","410","3000","0.35","false","1.25","3000","90","41","0.9662416284108261","1.2078020355135326","0.0075","false"
"411","430","1250","0.35","false","1.25","1250","90","41","0.9210416753305699","1.1513020941632124","0.0075","false"
"431","500","1300","0.35","false","1.25","1300","90","41","0.9719196320593704","1.2148995400742129","0.0075","false"
"501","750","1300","0.35","false","1.25","1300","90","41","0.9708315341397229","1.2135394176746537","0.0075","false"
"751","950","1400","0.35","false","1.25","1400","90","41","0.97023740827423","1.2127967603427874","0.0075","false"
"951","1066","1500","0.35","false","1.25","1500","90","41","0.9680869568567961","1.2101086960709952","0.0075","false"
"1067","1086","2000","0.35","false","1.25","2000","90","41","1.004219499526126","1.2552743744076575","0.0075","false"
"1087","1190","3700","0.35","false","1.25","3700","90","41","0.9820391802068907","1.2275489752586135","0.0075","false"
"1191","1220","4800","0.35","false","1.25","4800","90","41","0.9882992071167507","1.2353740088959384","0.0075","false"
"1221","1250","5000","0.35","false","1.25","5000","90","41","0.973800219494742","1.2172502743684275","0.0075","false"
"1251","1279","5300","0.35","false","1.25","5300","90","41","0.9736596157341921","1.2170745196677402","0.0075","false"
"1280","1290","5700","0.35","false","1.25","5700","90","41","0.9801788529364095","1.225223566170512","0.0075","false"
"1291","1315","5600","0.35","false","1.25","5600","90","41","0.968222291129638","1.2102778639120475","0.0075","false"
"1316","1325","5000","0.35","false","1.25","5000","90","41","0.9559455171444287","1.1949318964305358","0.0075","false"
"1326","1348","5700","0.35","false","1.25","5700","90","41","0.9778016912847352","1.222252114105919","0.0075","false"
"1349","1351","3000","0.35","true","1.25","3000","90","41","0.7928889349433826","0.9911111686792283","0.0075","false"
"1352","1377","3000","0.35","false","1.25","3000","90","41","0.9655714269889406","1.2069642837361758","0.0075","false"
"1378","1400","2500","0.35","false","1.25","2500","90","41","0.9563678589583635","1.1954598236979543","0.0075","false"
"1401","1430","2400","0.35","false","1.25","2400","90","41","0.966213126515054","1.2077664081438175","0.0075","false"
"1431","1450","2300","0.35","false","1.25","2300","90","41","0.9651289170957564","1.2064111463696956","0.0075","false"
"1451","1490","2600","0.35","false","1.25","2600","90","41","0.9790932034236002","1.2238665042795003","0.0075","false"
"1491","1522","2800","0.35","false","1.25","2800","90","41","0.9778619385455887","1.2223274231819858","0.0075","false"
"1523","1541","3400","0.35","false","1.25","3400","90","41","0.9916272812326856","1.239534101540857","0.0075","false"
"1542","1560","3800","0.35","false","1.25","3800","90","41","0.982671553939255","1.2283394424240688","0.0075","false"
"1561","1600","5000","0.31","false","1.25","5000","90","41","0.9931046369403754","1.2413807961754693","0.0075","false"
"1601","1650","6300","0.29","false","1.25","6300","90","41","0.9923657398343907","1.2404571747929884","0.0075","false"
"1651","1700","6200","0.26","false","1.25","6200","90","41","0.9881957439651794","1.2352446799564742","0.0075","false"
"1701","1801","11300","0.25","false","1.25","11300","90","41","1.0176792115246536","1.2720990144058169","0.0075","false"
"1802","1811","12500","0.28","false","1.25","12500","90","41","1.0142366663322906","1.2677958329153634","0.0075","false"
"1812","1821","13400","0.28","false","1.25","13400","90","41","1.0087622441924569","1.2609528052405712","0.0075","false"
"1822","1831","15800","0.26","false","1.25","15800","90","41","1.0414293870338729","1.301786733792341","0.0075","false"
"1832","1841","20200","0.25","false","1.25","20200","90","41","1.087544135891054","1.3594301698638176","0.0075","false"
"1842","1851","27400","0.22","false","1.25","27400","90","41","1.1564215107875395","1.4455268884844243","0.0075","false"
"1852","1861","29000","0.25","false","1.25","29000","90","41","1.0899185630352126","1.3623982037940157","0.0075","false"
"1862","1871","31500","0.22","false","1.25","31500","90","41","1.0546459608310286","1.3183074510387858","0.0075","false"
"1872","1881","35000","0.21","false","1.25","35000","90","41","1.0532673683213856","1.316584210401732","0.0075","false"
"1882","1891","37800","0.19","false","1.25","37800","90","41","1.0481802894841026","1.3102253618551283","0.0075","false"
"1892","1901","38200","0.18","false","1.25","38200","90","41","1.0314275519294571","1.2892844399118215","0.0075","false"
"1902","1911","42100","0.13","false","1.25","42100","90","41","1.0684861852615617","1.3356077315769521","0.0075","false"
"1912","1921","44000","0.14","false","1.25","44000","90","41","1.0702551251431867","1.3378189064289834","0.0075","false"
"1922","1931","45000","0.12","false","1.25","45000","90","41","1.0667594929305493","1.3334493661631865","0.0075","false"
"1932","1951","50200","0.07","false","1.25","50200","90","41","1.1502274132252865","1.437784266531608","0.0075","false"
"1952","1961","55900","0.09","false","9.999998","55900","90","41","30.569328415219907","305.69322301354225","0.0075","true"
"1962","1971","56300","0.1","false","1.0","56300","90","41","1.0","1.0","0.0075","true"
"1972","1981","57400","0.07","false","1.0","57400","90","41","1.0","1.0","0.0075","true"
"1982","1991","59300","0.1","false","1.0","59300","90","41","1.0","1.0","0.0075","true"
"1992","2001","63200","0.09","false","1.0","63200","90","41","1.0","1.0","0.0075","true"
"2002","2011","65600","0.09","false","1.0","65600","90","41","1.0","1.0","0.0075","true"
"2012","2015","66270","0.09","false","1.0","66270","90","41","1.0","1.0","0.0075","true"
