"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.25","1500","90","41","0.9808840150072776","1.226105018759097","0.00375","false","true"
"-50","0","1500","0.35","false","1.25","1500","90","41","0.9716184905180715","1.2145231131475893","0.00375","false","true"
"1","43","2000","0.35","false","1.25","2000","90","41","0.9850634151446364","1.2313292689307955","0.00375","false","true"
"44","200","4500","0.35","false","1.25","4500","90","41","0.9783876164646319","1.2229845205807899","0.00375","false","true"
"201","410","3000","0.35","false","1.25","3000","90","41","0.9663344617730619","1.2079180772163274","0.00375","false","true"
"411","430","1250","0.35","false","1.25","1250","90","41","0.9218525942453587","1.1523157428066984","0.00375","false","true"
"431","500","1300","0.35","false","1.25","1300","90","41","0.9749460603374851","1.2186825754218564","0.00375","false","true"
"501","750","1300","0.35","false","1.25","1300","90","41","0.9706177411360195","1.2132721764200243","0.00375","false","true"
"751","950","1400","0.35","false","1.25","1400","90","41","0.9712167947779504","1.214020993472438","0.00375","false","true"
"951","1066","1500","0.35","false","1.25","1500","90","41","0.9712571507664137","1.2140714384580171","0.00375","false","true"
"1067","1086","2000","0.35","false","1.25","2000","90","41","1.0128540777070767","1.266067597133846","0.00375","false","true"
"1087","1190","3700","0.35","false","1.25","3700","90","41","0.9846122320530019","1.2307652900662522","0.00375","false","true"
"1191","1220","4800","0.35","false","1.25","4800","90","41","0.9902849853599384","1.2378562316999229","0.00375","false","true"
"1221","1250","5000","0.35","false","1.25","5000","90","41","0.9737934166797532","1.2172417708496914","0.00375","false","true"
"1251","1279","5300","0.35","false","1.25","5300","90","41","0.9717020574726911","1.214627571840864","0.00375","false","true"
"1280","1290","5700","0.35","false","1.25","5700","90","41","0.9794788707653236","1.2243485884566545","0.00375","false","true"
"1291","1315","5600","0.35","false","1.25","5600","90","41","0.9679737660661542","1.2099672075826926","0.00375","false","true"
"1316","1325","5000","0.35","false","1.25","5000","90","41","0.9564084724003926","1.1955105905004908","0.00375","false","true"
"1326","1348","5700","0.35","false","1.25","5700","90","41","0.9801832003491562","1.2252290004364452","0.00375","false","true"
"1349","1351","3000","0.35","true","1.25","3000","90","41","0.7929675110300262","0.9912093887875327","0.00375","false","true"
"1352","1377","3000","0.35","false","1.25","3000","90","41","0.9702874764996954","1.2128593456246193","0.00375","false","true"
"1378","1400","2500","0.35","false","1.25","2500","90","41","0.95543292384662","1.194291154808275","0.00375","false","true"
"1401","1430","2400","0.35","false","1.25","2400","90","41","0.965599464271447","1.2069993303393087","0.00375","false","true"
"1431","1450","2300","0.35","false","1.25","2300","90","41","0.9662931748536744","1.207866468567093","0.00375","false","true"
"1451","1490","2600","0.35","false","1.25","2600","90","41","0.9764863215177977","1.220607901897247","0.00375","false","true"
"1491","1522","2800","0.35","false","1.25","2800","90","41","0.9751708269921238","1.2189635337401548","0.00375","false","true"
"1523","1541","3400","0.35","false","1.25","3400","90","41","0.9937838269553676","1.2422297836942096","0.00375","false","true"
"1542","1560","3800","0.35","false","1.25","3800","90","41","0.9872699009747371","1.2340873762184215","0.00375","false","true"
"1561","1600","5000","0.31","false","1.25","5000","90","41","0.9918911600035623","1.2398639500044528","0.00375","false","true"
"1601","1650","6300","0.29","false","1.25","6300","90","41","0.9909192186622391","1.238649023327799","0.00375","false","true"
"1651","1700","6200","0.26","false","1.25","6200","90","41","0.9922873598555875","1.2403591998194843","0.00375","false","true"
"1701","1801","11300","0.25","false","1.25","11300","90","41","1.0181013512697639","1.2726266890872049","0.00375","false","true"
"1802","1811","12500","0.28","false","1.25","12500","90","41","1.013951244458945","1.2674390555736812","0.00375","false","true"
"1812","1821","13400","0.28","false","1.25","13400","90","41","1.011669383559893","1.2645867294498663","0.00375","false","true"
"1822","1831","15800","0.26","false","1.25","15800","90","41","1.0471489825645415","1.308936228205677","0.00375","false","true"
"1832","1841","20200","0.25","false","1.25","20200","90","41","1.093318136051297","1.366647670064121","0.00375","false","true"
"1842","1851","27400","0.22","false","1.25","27400","90","41","1.1591319963661957","1.4489149954577445","0.00375","false","true"
"1852","1861","29000","0.25","false","1.25","29000","90","41","1.0917764451146352","1.364720556393294","0.00375","false","true"
"1862","1871","31500","0.22","false","1.25","31500","90","41","1.054614579903967","1.3182682248799589","0.00375","false","true"
"1872","1881","35000","0.21","false","1.25","35000","90","41","1.0519532649551195","1.3149415811938994","0.00375","false","true"
"1882","1891","37800","0.19","false","1.25","37800","90","41","1.0469391034138935","1.308673879267367","0.00375","false","true"
