"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.875","1500","5.962875057918028","11.180390733596303"
"1","43","1.066","2000","0.6","false","1.875","2000","1.0603121202762817","1.9880852255180284"
"44","200","1.066","4500","0.6","false","1.640625","4500","5.25678385884606","8.624411018419316"
"201","410","1.066","3000","0.6","false","1.640625","3000","0.9632776247590672","1.5803773531203447"
"411","430","1.066","1250","0.6","false","1.640625","1250","0.8965453691599858","1.4708947462781017"
"431","500","1.066","1300","0.6","false","1.640625","1300","0.9136757808897646","1.4989993280222702"
"501","750","1.066","1300","0.6","false","1.435546","1300","4.840149415172315","6.948257132352955"
"751","950","1.066","1400","0.6","false","1.435546","1400","0.9880224448510923","1.418351668616206"
"951","1066","1.066","1500","0.6","false","1.435546","1500","0.9824976677509544","1.4104205969492116"
"1067","1086","1.066","2000","0.6","false","1.435546","2000","1.0168830886654046","1.4597824504012669"
"1087","1190","1.066","3700","0.6","false","1.435546","3700","1.0144883967517033","1.4563447600033206"
"1191","1220","1.066","4800","0.6","false","1.435546","4800","1.0028613482197706","1.4396535969914988"
"1221","1250","1.066","5000","0.6","false","1.435546","5000","0.9770023440105262","1.4025318069349348"
"1251","1279","1.066","5300","0.6","false","1.435546","5300","0.9767825394576077","1.402216267388211"
"1280","1290","1.066","5700","0.6","false","1.435546","5700","0.9812265005327006","1.4085957779337162"
"1291","1315","1.066","5600","0.6","false","1.435546","5600","0.9690976501450244","1.391184255275089"
"1316","1325","1.066","5000","0.6","false","1.435546","5000","0.9565892290897965","1.373227841462941"
"1326","1348","1.066","5700","0.6","false","1.435546","5700","0.9752540942441381","1.4000221139757956"
"1349","1351","1.066","3000","0.6","true","1.435546","3000","0.8092220695435497","1.1616755050449645"
"1352","1377","1.066","3000","0.6","false","1.435546","3000","0.9638217041302913","1.3836103920774232"
"1378","1400","1.066","2500","0.6","false","1.435546","2500","0.9581530744726053","1.3754728134468508"
"1401","1430","1.066","2400","0.6","false","1.435546","2400","0.9591784257812741","1.376944752416605"
"1431","1450","1.066","2300","0.6","false","1.435546","2300","0.9572948273810414","1.3742407602675446"
"1451","1490","1.066","2600","0.6","false","1.435546","2600","0.9637448669558806","1.3835000887790465"
"1491","1522","1.066","2800","0.6","false","1.435546","2800","0.9599338235580778","1.3780291606735042"
"1523","1541","1.066","3400","0.6","false","1.435546","3400","0.975671188256466","1.4006208716168167"
"1542","1560","1.066","3800","0.6","false","1.435546","3800","0.9672623440231706","1.3885495889130863"
"1561","1600","1.066","5000","0.6","false","1.435546","5000","0.9792844993087881","1.4058079458447335"
"1601","1650","1.066","6300","0.6","false","1.435546","6300","0.9688551235942172","1.390836097255184"
"1651","1700","1.066","6200","0.6","false","1.435546","6200","0.955820454251101","1.372124229818351"
"1701","1801","1.066","11300","0.6","false","1.435546","11300","0.989180523860669","1.4200141443060879"
"1802","1811","1.066","12500","0.6","false","1.435546","12500","0.9677820208239906","1.3892956088657964"
"1812","1821","1.066","13400","0.6","false","1.435546","13400","0.962574855440091","1.3818204834276009"
"1822","1831","1.066","15800","0.6","false","1.435546","15800","0.9830417717450096","1.4112016832614616"
"1832","1841","1.066","20200","0.6","false","1.435546","20200","1.0130069446917742","1.4542180674244978"
"1842","1851","1.066","27400","0.6","false","1.435546","27400","1.0430581565145216","1.4973579643517954"
"1852","1861","1.066","29000","0.6","false","1.435546","29000","0.9661338839381168","1.3869296325518279"
"1862","1871","1.066","31500","0.6","false","1.435546","31500","0.9691049129023177","1.3911946812972706"
"1872","1881","1.066","35000","0.6","false","1.435546","35000","0.9750321806638539","1.3997035468232728"
"1882","1891","1.066","37800","0.6","false","1.435546","37800","0.9687013022386337","1.3906152796234617"
"1892","1901","1.066","38200","0.6","false","1.435546","38200","0.9603265422065181","1.3785929263583983"
"1902","1911","1.003","42100","0.13","false","1.435546","42100","0.9957975422923437","1.429513178647605"
"1912","1921","1.003","44000","0.13","false","1.435546","44000","0.9586937461392013","1.3762489724951459"
"1922","1931","1.003","45000","0.13","false","1.435546","45000","0.9607661179897551","1.379223957615721"
"1932","1941","1.003","50200","0.13","false","1.435546","50200","1.0352712260353336","1.486179467450119"
"1942","1951","1.003","52800","0.13","false","1.435546","52800","1.0476985056619572","1.504019399009"
"1952","1961","1.003","55900","0.13","false","1.435546","55900","1.0432269391475888","1.4976002595855644"
"1962","1971","1.003","56300","0.13","false","1.435546","56300","0.9997750726017758","1.4352231063731888"
"1972","1981","1.003","57400","0.13","false","1.435546","57400","1.0151375204502648","1.4572766069322958"
"1982","1991","1.003","59300","0.13","false","1.435546","59300","1.0179977858646283","1.4613826495068236"
"1992","2001","1.003","63200","0.13","false","1.435546","63200","1.0447290041373258","1.4997565429733215"
"2002","2011","1.003","65600","0.13","false","1.435546","65600","1.0336317342282653","1.4838259015444493"
"2012","2015","1.003","66270","0.13","false","1.435546","66270","1.0239131285160648","1.4698743959887226"
