"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","1.75","150","4.89989138768983","8.574809928457203"
"1","43","1.066","200","0.6","false","1.75","200","1.2306583599343477","2.1536521298851086"
"44","200","1.066","450","0.6","false","1.75","450","1.2453725216384262","2.1794019128672457"
"201","410","1.066","300","0.6","false","1.75","300","1.1775718141165805","2.060750674704016"
"411","430","1.066","125","0.6","false","1.75","125","1.1336983407747527","1.9839720963558172"
"431","500","1.066","130","0.6","false","1.75","130","1.1650623777388625","2.038859161043009"
"501","750","1.066","130","0.6","false","1.75","130","1.1487128308647265","2.0102474540132715"
"751","950","1.066","140","0.6","false","1.75","140","1.133243186087481","1.9831755756530918"
"951","1066","1.066","150","0.6","false","1.75","150","1.1287174163348757","1.9752554785860323"
"1067","1086","1.066","200","0.6","false","1.75","200","1.2019434548375043","2.1034010459656325"
"1087","1190","1.066","370","0.6","false","1.75","370","1.1747395923243131","2.055794286567548"
"1191","1220","1.066","480","0.6","false","1.75","480","1.147179386250979","2.007563925939213"
"1221","1250","1.066","500","0.6","false","1.75","500","1.1204786642344478","1.9608376624102837"
"1251","1279","1.066","530","0.6","false","1.75","530","1.1155384617296582","1.952192308026902"
"1280","1290","1.066","570","0.6","false","1.75","570","1.1274678783261098","1.9730687870706922"
"1291","1315","1.066","560","0.6","false","1.75","560","1.114330372185743","1.9500781513250502"
"1316","1325","1.066","500","0.6","false","1.75","500","1.1046131549912706","1.9330730212347236"
"1326","1348","1.066","570","0.6","false","1.75","570","1.130400934382774","1.9782016351698544"
"1349","1351","1.066","300","0.6","true","1.75","300","0.9629272031557651","1.685122605522589"
"1352","1377","1.066","300","0.6","false","1.75","300","1.1076441089864313","1.9383771907262548"
"1378","1400","1.066","250","0.6","false","1.75","250","1.1128563496122676","1.9474986118214683"
"1401","1430","1.066","240","0.6","false","1.75","240","1.1149523825156185","1.9511666694023324"
"1431","1450","1.066","230","0.6","false","1.75","230","1.1145186603704398","1.9504076556482697"
"1451","1490","1.066","260","0.6","false","1.75","260","1.1177480042768189","1.956059007484433"
"1491","1522","1.066","280","0.6","false","1.75","280","1.119251830591057","1.9586907035343497"
"1523","1541","1.066","340","0.6","false","1.75","340","1.1409029344427166","1.996580135274754"
"1542","1560","1.066","380","0.6","false","1.75","380","1.1246379303905278","1.9681163781834237"
"1561","1600","1.066","500","0.6","false","1.75","500","1.139185819115786","1.9935751834526254"
"1601","1650","1.066","630","0.6","false","1.75","630","1.127152937604588","1.9725176408080287"
"1651","1700","1.066","620","0.6","false","1.75","620","1.1118948475578136","1.9458159832261739"
"1701","1801","1.066","1130","0.6","false","1.75","1130","1.1515398166059532","2.015194679060418"
"1802","1811","1.066","1250","0.6","false","1.75","1250","1.1165922119258642","1.9540363708702624"
"1812","1821","1.066","1340","0.6","false","1.75","1340","1.1188639681588426","1.9580119442779744"
"1822","1831","1.066","1580","0.6","false","1.75","1580","1.1379569200302107","1.9914246100528685"
"1832","1841","1.066","2020","0.6","false","1.75","2020","1.1676811739917234","2.043442054485516"
"1842","1851","1.066","2740","0.6","false","1.75","2740","1.2185041608466878","2.1323822814817035"
"1852","1861","1.066","2900","0.6","false","1.75","2900","1.1151210555633848","1.9514618472359233"
"1862","1871","1.066","3150","0.6","false","1.75","3150","1.116720810716032","1.954261418753056"
"1872","1881","1.066","3500","0.6","false","1.75","3500","1.1230555372055822","1.9653471901097688"
"1882","1891","1.066","3780","0.6","false","1.75","3780","1.1195605999999363","1.9592310499998886"
"1892","1901","1.066","3820","0.6","false","1.75","3820","1.109311184463736","1.941294572811538"
"1902","1911","1.003","4210","0.13","false","1.75","4210","1.146174898797531","2.0058060728956795"
"1912","1921","1.003","4400","0.13","false","1.75","4400","1.0989902259910633","1.923232895484361"
"1922","1931","1.003","4500","0.13","false","1.75","4500","1.09944911771966","1.924035956009405"
"1932","1941","1.003","5020","0.13","false","1.75","5020","1.163178017825319","2.0355615311943085"
"1942","1951","1.003","5280","0.13","false","1.75","5280","1.1413834904988527","1.9974211083729922"
"1952","1961","1.003","5590","0.13","false","1.75","5590","1.1315626041236475","1.980234557216383"
"1962","1971","1.003","5630","0.13","false","1.75","5630","1.113294685290829","1.9482656992589507"
"1972","1981","1.003","5740","0.13","false","1.75","5740","1.1146928125435864","1.9507124219512764"
"1982","1991","1.003","5930","0.13","false","1.75","5930","1.1184695109606597","1.9573216441811545"
"1992","2001","1.003","6320","0.13","false","1.75","6320","1.1307925136736359","1.9788868989288628"
"2002","2011","1.003","6560","0.13","false","1.75","6560","1.119629999117285","1.9593524984552486"
"2012","2015","1.003","6627","0.13","false","1.75","6627","1.1120335171041205","1.9460586549322108"
