"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","150","0.6","false","2.0","150","1.0778643596843096","2.155728719368619","10.0"
"1","43","1.066","200","0.6","false","2.0","200","1.0730310299945611","2.1460620599891223","10.0"
"44","200","1.066","450","0.6","false","2.0","450","1.0678743610615637","2.1357487221231275","10.0"
"201","410","1.066","300","0.6","false","2.0","300","1.056512263816832","2.113024527633664","10.0"
"411","430","1.066","125","0.6","false","2.0","125","1.0125140387961797","2.0250280775923595","10.0"
"431","500","1.066","130","0.6","false","2.0","130","1.0598102892035968","2.1196205784071935","10.0"
"501","750","1.066","130","0.6","false","2.0","130","1.0603759398270605","2.120751879654121","10.0"
"751","950","1.066","140","0.6","false","2.0","140","1.0626571940689042","2.1253143881378085","10.0"
"951","1066","1.066","150","0.6","false","2.0","150","1.0564460889649032","2.1128921779298064","10.0"
"1067","1086","1.066","200","0.6","false","2.0","200","1.0600942285143231","2.1201884570286462","10.0"
"1087","1190","1.066","370","0.6","false","2.0","370","1.0645021166512636","2.129004233302527","10.0"
"1191","1220","1.066","480","0.6","false","2.0","480","1.0662231352479155","2.132446270495831","10.0"
"1221","1250","1.066","500","0.6","false","2.0","500","1.0581253023503556","2.1162506047007112","10.0"
"1251","1279","1.066","530","0.6","false","2.0","530","1.055968879734248","2.111937759468496","10.0"
"1280","1290","1.066","570","0.6","false","2.0","570","1.0637947243867296","2.1275894487734592","10.0"
"1291","1315","1.066","560","0.6","false","2.0","560","1.0506741219855886","2.1013482439711773","10.0"
"1316","1325","1.066","500","0.6","false","2.0","500","1.0487404577125303","2.0974809154250607","10.0"
"1326","1348","1.066","570","0.6","false","2.0","570","1.060795216937064","2.121590433874128","10.0"
"1349","1351","1.066","300","0.6","true","2.0","300","0.8506853438779619","1.7013706877559238","10.0"
"1352","1377","1.066","300","0.6","false","2.0","300","1.0595910901844279","2.1191821803688558","10.0"
"1378","1400","1.066","250","0.6","false","2.0","250","1.0525500701122503","2.1051001402245006","10.0"
"1401","1430","1.066","240","0.6","false","2.0","240","1.0571406445853502","2.1142812891707004","10.0"
"1431","1450","1.066","230","0.6","false","2.0","230","1.0579460445043076","2.1158920890086153","10.0"
"1451","1490","1.066","260","0.6","false","2.0","260","1.0653250048892544","2.130650009778509","10.0"
"1491","1522","1.066","280","0.6","false","2.0","280","1.051254769053492","2.102509538106984","10.0"
"1523","1541","1.066","340","0.6","false","2.0","340","1.0740718033088918","2.1481436066177837","10.0"
"1542","1560","1.066","380","0.6","false","2.0","380","1.0628163896258165","2.125632779251633","10.0"
"1561","1600","1.066","500","0.6","false","2.0","500","1.0650750707698298","2.1301501415396595","10.0"
"1601","1650","1.066","630","0.6","false","2.0","630","1.0576073106001591","2.1152146212003182","10.0"
"1651","1700","1.066","620","0.6","false","2.0","620","1.056452471127984","2.112904942255968","10.0"
"1701","1801","1.066","1130","0.6","false","2.0","1130","1.0618712367364933","2.1237424734729866","10.0"
"1802","1811","1.066","1250","0.6","false","2.0","1250","1.06495957290006","2.12991914580012","10.0"
"1812","1821","1.066","1340","0.6","false","2.0","1340","1.0584752911215645","2.116950582243129","10.0"
"1822","1831","1.066","1580","0.6","false","2.0","1580","1.0753142701038698","2.1506285402077396","10.0"
"1832","1841","1.066","2020","0.6","false","2.0","2020","1.0760097013544068","2.1520194027088135","10.0"
"1842","1851","1.066","2740","0.6","false","2.0","2740","1.0853472052754596","2.170694410550919","10.0"
"1852","1861","1.066","2900","0.6","false","2.0","2900","1.0634952513236267","2.1269905026472533","10.0"
"1862","1871","1.066","3150","0.6","false","2.0","3150","1.0602700391496254","2.1205400782992507","10.0"
"1872","1881","1.066","3500","0.6","false","2.0","3500","1.0626281113827498","2.1252562227654996","10.0"
"1882","1891","1.066","3780","0.6","false","2.0","3780","1.0582758997992001","2.1165517995984002","10.0"
"1892","1901","1.066","3820","0.6","false","2.0","3820","1.0540259247973784","2.108051849594757","10.0"
"1902","1911","1.066","4210","0.6","false","2.0","4210","1.0639198980836277","2.1278397961672555","10.0"
"1912","1921","1.066","4400","0.6","false","2.0","4400","1.0562822389952058","2.1125644779904116","10.0"
"1922","1931","1.066","4500","0.13","false","2.0","4500","1.107331766221757","2.214663532443514","10.0"
"1932","1941","1.066","5020","0.13","false","2.0","5020","1.1136218050852427","2.2272436101704853","10.0"
"1942","1951","1.066","5280","0.13","false","2.0","5280","1.1150840091531484","2.230168018306297","10.0"
"1952","1961","1.066","5590","0.13","false","2.0","5590","1.1258114483170625","2.251622896634125","10.0"
"1962","1971","1.066","5630","0.13","false","2.0","5630","1.1321731073194092","2.2643462146388185","10.0"
"1972","1981","1.066","5740","0.13","false","2.0","5740","1.120813662934197","2.241627325868394","10.0"
"1982","1991","1.066","5930","0.13","false","2.0","5930","1.127286503858366","2.254573007716732","10.0"
"1992","2001","1.066","6320","0.13","false","2.0","6320","1.129827806921903","2.259655613843806","10.0"
"2002","2011","1.066","6560","0.13","false","2.0","6560","1.125998910357516","2.251997820715032","10.0"
"2012","2015","1.066","6627","0.13","false","2.0","6627","1.1236561347142107","2.2473122694284213","10.0"
