"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","5.0","15","90","41","0.8973280230564883","4.486640115282442","150.0","false"
"1","43","20","0.35","false","4.375","20","90","41","4.786262175253768","20.939897016735234","150.0","false"
"44","200","45","0.35","false","4.375","45","90","41","0.9628169750826233","4.212324265986477","150.0","false"
"201","410","30","0.35","false","4.375","30","90","41","0.9403511830802244","4.114036425975981","150.0","false"
"411","430","12","0.35","false","4.1015619999999995","12","90","41","6.047293368571926","24.803348683386602","150.0","false"
"431","500","13","0.35","false","4.1015619999999995","13","90","41","1.0832032253460828","4.44282518735693","150.0","false"
"501","750","13","0.35","false","4.8388659999999994","13","90","41","2.7466440922503135","13.290642712090904","150.0","false"
"751","950","14","0.35","false","4.8388659999999994","14","90","41","0.8704999999999989","4.212232852999994","150.0","false"
"951","1066","15","0.35","false","4.536436","15","90","41","6.002061822766138","27.22796932702193","150.0","false"
"1067","1086","20","0.35","false","4.536436","20","90","41","0.9341156506462234","4.237555865754951","150.0","false"
"1087","1190","37","0.35","false","4.536436","37","90","41","0.903513474423655","4.098731051860548","150.0","false"
"1191","1220","48","0.35","false","4.536436","48","90","41","0.9025459487045762","4.094341933357593","150.0","false"
"1221","1250","50","0.35","false","4.536436","50","90","41","0.8959397842210363","4.064373490972541","150.0","false"
"1251","1279","53","0.35","false","4.536436","53","90","41","0.9135001954588217","4.1440351726864355","150.0","false"
"1280","1290","57","0.35","false","4.536436","57","90","41","0.9001338918598921","4.083399791853322","150.0","false"
"1291","1315","56","0.35","false","4.536436","56","90","41","0.8976876208275708","4.072302439876542","150.0","false"
"1316","1325","50","0.35","false","3.4023269999999997","50","90","41","3.7409870563327154","12.728061268411317","150.0","false"
"1326","1348","57","0.35","false","4.227036","57","90","41","3.7806317709445048","15.980866598526175","150.0","false"
"1349","1351","30","0.35","true","4.227036","30","90","41","0.7999999999999999","3.3816287999999997","150.0","false"
"1352","1377","30","0.35","false","4.227036","30","90","41","0.9770407247411613","4.1299863169469795","150.0","false"
"1378","1400","25","0.35","false","4.227036","25","90","41","0.9705418209895403","4.102515216828342","150.0","false"
"1401","1430","24","0.35","false","4.227036","24","90","41","0.9778846916590546","4.133553795491723","150.0","false"
"1431","1450","23","0.35","false","4.227036","23","90","41","0.9882927700319005","4.177549117464564","150.0","false"
"1451","1490","26","0.35","false","4.227036","26","90","41","0.9788784058131883","4.1377542609949565","150.0","false"
"1491","1522","28","0.35","false","4.227036","28","90","41","0.9859694830902423","4.167728499923846","150.0","false"
"1523","1541","34","0.35","false","4.227036","34","90","41","0.9777784192971387","4.1331045783921","150.0","false"
"1542","1560","38","0.35","false","4.227036","38","90","41","0.9767947397448784","4.128946529512232","150.0","false"
"1561","1600","50","0.31","false","4.227036","50","90","41","0.9589937416343594","4.053701069663136","150.0","false"
"1601","1650","63","0.29","false","4.227036","63","90","41","0.9730349928510278","4.113053944041037","150.0","false"
"1651","1700","62","0.26","false","4.227036","62","90","41","0.9637987742036883","4.074012115314861","150.0","false"
"1701","1801","0","0.25","false","4.107324","113","90","41","1.0","4.107324","150.0","false"
"1802","1811","0","0.28","false","4.107324","125","90","41","1.0","4.107324","150.0","false"
"1812","1821","0","0.28","false","4.107324","134","90","41","1.0","4.107324","150.0","false"
"1822","1831","0","0.26","false","4.107324","158","90","41","1.0","4.107324","150.0","false"
"1832","1841","0","0.25","false","7.053662","202","90","41","1.0","7.053662","150.0","false"
"1842","1851","0","0.22","false","7.053662","274","90","41","1.0","7.053662","150.0","false"
"1852","1861","0","0.25","false","4.077897","290","90","41","1.0","4.077897","150.0","false"
"1862","1871","0","0.22","false","4.077897","315","90","41","1.0","4.077897","150.0","false"
"1872","1881","0","0.21","false","7.0389479999999995","350","90","41","1.0","7.0389479999999995","150.0","false"
"1882","1891","0","0.19","false","4.0693909999999995","378","90","41","1.0","4.0693909999999995","150.0","false"
"1892","1901","0","0.18","false","4.162056","382","90","41","1.0","4.162056","150.0","false"
"1902","1911","0","0.13","false","4.162056","421","90","41","1.0","4.162056","150.0","false"
"1912","1921","0","0.14","false","4.162056","440","90","41","1.0","4.162056","150.0","false"
"1922","1931","0","0.12","false","4.162056","450","90","41","1.0","4.162056","150.0","false"
"1932","1941","0","0.07","false","7.081028","502","90","41","1.0","7.081028","150.0","false"
"1942","1951","0","0.08","false","7.081028","528","90","41","1.0","7.081028","150.0","false"
"1952","1961","0","0.09","false","7.081028","559","90","41","1.0","7.081028","150.0","true"
"1962","1971","0","0.1","false","4.204359999999999","563","90","41","1.0","4.204359999999999","150.0","true"
"1972","1981","0","0.07","false","4.204359999999999","574","90","41","1.0","4.204359999999999","150.0","true"
"1982","1991","0","0.1","false","4.204359999999999","593","90","41","1.0","4.204359999999999","150.0","true"
"1992","2001","0","0.09","false","4.204359999999999","632","90","41","1.0","4.204359999999999","150.0","true"
"2002","2011","0","0.09","false","4.204359999999999","656","90","41","1.0","4.204359999999999","150.0","true"
"2012","2015","0","0.09","false","4.204359999999999","662","90","41","1.0","4.204359999999999","150.0","true"
