"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.25","1500","90","41","2.133134186102813","2.666417732628516","0.00375","false","true"
"-50","0","1500","0.35","false","1.25","1500","90","41","1.7934786714688282","2.2418483393360353","0.00375","false","true"
"1","43","2000","0.35","false","1.25","2000","90","41","1.80428833548524","2.25536041935655","0.00375","false","true"
"44","200","4500","0.35","false","1.25","4500","90","41","1.8009211815601167","2.2511514769501457","0.00375","false","false"
"201","410","3000","0.35","false","9.999998","3000","90","41","0.25990412285346753","2.5990407087264296","0.00375","false","false"
"411","430","1250","0.35","false","1.0","1250","90","41","0.9993462626812679","0.9993462626812679","0.00375","false","false"
"431","500","1300","0.35","false","1.0","1300","90","41","1.0988680472476215","1.0988680472476215","0.00375","false","false"
"501","750","1300","0.35","false","1.0","1300","90","41","1.0971202338484285","1.0971202338484285","0.00375","false","false"
"751","950","1400","0.35","false","1.0","1400","90","41","1.0977434366190142","1.0977434366190142","0.00375","false","false"
"951","1066","1500","0.35","false","1.0","1500","90","41","1.0968831949147786","1.0968831949147786","0.00375","false","false"
"1067","1086","2000","0.35","false","1.0","2000","90","41","1.1090211471593396","1.1090211471593396","0.00375","false","false"
"1087","1190","3700","0.35","false","1.0","3700","90","41","1.103849857554179","1.103849857554179","0.00375","false","false"
"1191","1220","4800","0.35","false","1.0","4800","90","41","1.106712664882442","1.106712664882442","0.00375","false","false"
"1221","1250","5000","0.35","false","1.0","5000","90","41","1.097885300223724","1.097885300223724","0.00375","false","false"
"1251","1279","5300","0.35","false","1.0","5300","90","41","1.0978697609389547","1.0978697609389547","0.00375","false","false"
"1280","1290","5700","0.35","false","1.0","5700","90","41","1.1026977568588734","1.1026977568588734","0.00375","false","false"
"1291","1315","5600","0.35","false","1.0","5600","90","41","1.0961895241415884","1.0961895241415884","0.00375","false","false"
"1316","1325","5000","0.35","false","1.0","5000","90","41","1.0830693809128742","1.0830693809128742","0.00375","false","false"
"1326","1348","5700","0.35","false","1.0","5700","90","41","1.1035204465660013","1.1035204465660013","0.00375","false","false"
"1349","1351","3000","0.35","true","1.0","3000","90","41","0.8991733212994616","0.8991733212994616","0.00375","false","false"
"1352","1377","3000","0.35","false","1.0","3000","90","41","1.0961785457588347","1.0961785457588347","0.00375","false","false"
"1378","1400","2500","0.35","false","1.0","2500","90","41","1.085542376507804","1.085542376507804","0.00375","false","false"
"1401","1430","2400","0.35","false","1.0","2400","90","41","1.093273332856474","1.093273332856474","0.00375","false","false"
"1431","1450","2300","0.35","false","1.0","2300","90","41","1.0939957516640295","1.0939957516640295","0.00375","false","false"
"1451","1490","2600","0.35","false","1.0","2600","90","41","1.099679768202859","1.099679768202859","0.00375","false","false"
"1491","1522","2800","0.35","false","1.0","2800","90","41","1.098675276230869","1.098675276230869","0.00375","false","false"
"1523","1541","3400","0.35","false","1.0","3400","90","41","1.1063770558975154","1.1063770558975154","0.00375","false","false"
"1542","1560","3800","0.35","false","1.0","3800","90","41","1.1033715205982302","1.1033715205982302","0.00375","false","false"
"1561","1600","5000","0.31","false","1.0","5000","90","41","1.1084215891847615","1.1084215891847615","0.00375","false","false"
"1601","1650","6300","0.29","false","1.0","6300","90","41","1.1097334687258078","1.1097334687258078","0.00375","false","false"
"1651","1700","6200","0.26","false","1.0","6200","90","41","1.1077907978890849","1.1077907978890849","0.00375","false","false"
"1701","1801","11300","0.25","false","1.0","11300","90","41","1.1175716458378535","1.1175716458378535","0.00375","false","false"
"1802","1811","12500","0.28","false","1.0","12500","90","41","1.1178855374149472","1.1178855374149472","0.00375","false","false"
"1812","1821","13400","0.28","false","1.0","13400","90","41","1.114291249004293","1.114291249004293","0.00375","false","false"
"1822","1831","15800","0.26","false","1.0","15800","90","41","1.1283857363506304","1.1283857363506304","0.00375","false","false"
"1832","1841","20200","0.25","false","1.0","20200","90","41","1.1374869374711154","1.1374869374711154","0.00375","false","false"
