"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","3.75","1500","90","41","6.786450056996929","25.449187713738485","0.0075","false"
"1","43","2000","0.35","false","2.8125","2000","90","41","5.264947430200066","14.807664647437687","0.0075","false"
"44","200","4500","0.35","false","1.757812","4500","90","41","6.105907619354829","10.73303768419335","0.0075","false"
"201","410","3000","0.35","false","1.3183589999999998","3000","90","41","5.2025665407405155","6.858850422084124","0.0075","false"
"411","430","1250","0.35","false","1.3183589999999998","1250","90","41","2.165725324603217","2.855203473218572","0.0075","false"
"431","500","1300","0.35","false","1.3183589999999998","1300","90","41","2.240853334000744","2.9542491605598866","0.0075","false"
"501","750","1300","0.35","false","1.3183589999999998","1300","90","41","2.150554711354111","2.835203158706094","0.0075","false"
"751","950","1400","0.35","false","1.3183589999999998","1400","90","41","2.0700637123026255","2.7290871256875766","0.0075","false"
"951","1066","1500","0.35","false","1.3183589999999998","1500","90","41","2.035612417295478","2.683667950853249","0.0075","false"
"1067","1086","2000","0.35","false","1.3183589999999998","2000","90","41","2.0584830348487873","2.713819635340212","0.0075","false"
"1087","1190","3700","0.35","false","1.3183589999999998","3700","90","41","2.0371340933477864","2.685674066171894","0.0075","false"
"1191","1220","4800","0.35","false","1.3183589999999998","4800","90","41","2.040228467752521","2.6897535625177458","0.0075","false"
"1221","1250","5000","0.35","false","1.3183589999999998","5000","90","41","2.022816453346046","2.6667982766168397","0.0075","false"
"1251","1279","5300","0.35","false","1.3183589999999998","5300","90","41","2.0234408688073056","2.66762148035993","0.0075","false"
"1280","1290","5700","0.35","false","1.3183589999999998","5700","90","41","2.0337123110483315","2.681162928681367","0.0075","false"
"1291","1315","5600","0.35","false","1.3183589999999998","5600","90","41","2.0134045820603736","2.6543900514005316","0.0075","false"
"1316","1325","5000","0.35","false","1.3183589999999998","5000","90","41","1.9888209665070935","2.621980020583325","0.0075","false"
"1326","1348","5700","0.35","false","1.3183589999999998","5700","90","41","2.0217338635480115","2.6653710346132926","0.0075","false"
"1349","1351","3000","0.35","true","1.3183589999999998","3000","90","41","1.6427365900480042","2.1657165681190964","0.0075","false"
"1352","1377","3000","0.35","false","1.3183589999999998","3000","90","41","2.005688656930939","2.6442176920628158","0.0075","false"
"1378","1400","2500","0.35","false","1.3183589999999998","2500","90","41","1.9816131027125081","2.6124774684789593","0.0075","false"
"1401","1430","2400","0.35","false","1.3183589999999998","2400","90","41","1.9861473095830855","2.618455180914647","0.0075","false"
"1431","1450","2300","0.35","false","1.3183589999999998","2300","90","41","1.974234090507077","2.6027492813268194","0.0075","false"
"1451","1490","2600","0.35","false","1.3183589999999998","2600","90","41","1.968021803792943","2.5945592572266603","0.0075","false"
"1491","1522","2800","0.35","false","1.3183589999999998","2800","90","41","1.947691637996754","2.567756800177762","0.0075","false"
"1523","1541","3400","0.35","false","1.3183589999999998","3400","90","41","1.9500872622222325","2.57091509293604","0.0075","false"
"1542","1560","3800","0.35","false","1.3183589999999998","3800","90","41","1.933805947076601","2.54945047458196","0.0075","false"
"1561","1600","5000","0.31","false","1.3183589999999998","5000","90","41","1.931358455726233","2.5462238023327806","0.0075","false"
"1601","1650","6300","0.29","false","1.3183589999999998","6300","90","41","1.9132096933914875","2.522297218169908","0.0075","false"
"1651","1700","6200","0.26","false","1.3183589999999998","6200","90","41","1.8996461221821375","2.50441556199392","0.0075","false"
"1701","1801","11300","0.25","false","1.3183589999999998","11300","90","41","1.9025229158329404","2.508208208794599","0.0075","false"
"1802","1811","12500","0.28","false","1.3183589999999998","12500","90","41","1.8894265796529681","2.4909425361247073","0.0075","false"
"1812","1821","13400","0.28","false","1.3183589999999998","13400","90","41","1.8838917569369973","2.4836456527837023","0.0075","false"
"1822","1831","15800","0.26","false","1.3183589999999998","15800","90","41","1.9021236825086176","2.507681875948378","0.0075","false"
"1832","1841","20200","0.25","false","1.3183589999999998","20200","90","41","1.9173928302100556","2.5278120942428983","0.0075","false"
"1842","1851","27400","0.22","false","1.3183589999999998","27400","90","41","1.9413917455967866","2.5594512803332337","0.0075","false"
"1852","1861","29000","0.25","false","1.3183589999999998","29000","90","41","1.8778020191568878","2.4756171921736554","0.0075","false"
"1862","1871","31500","0.22","false","1.3183589999999998","31500","90","41","1.8911771819255876","2.4932504583862354","0.0075","false"
"1872","1881","35000","0.21","false","1.3183589999999998","35000","90","41","1.895867285286472","2.4994336983629877","0.0075","false"
"1882","1891","37800","0.19","false","1.3183589999999998","37800","90","41","1.894677875404487","2.497865629140384","0.0075","false"
"1892","1901","38200","0.18","false","1.3183589999999998","38200","90","41","1.8838406451677965","2.483578269122771","0.0075","false"
"1902","1911","42100","0.13","false","1.3183589999999998","42100","90","41","1.915613183468253","2.5254658809440222","0.0075","false"
"1912","1921","44000","0.14","false","1.3183589999999998","44000","90","41","1.9002029226270267","2.505149624871644","0.0075","false"
"1922","1931","45000","0.12","false","1.3183589999999998","45000","90","41","1.9057169895475574","2.512419144622928","0.0075","false"
"1932","1951","50200","0.07","false","1.3183589999999998","50200","90","41","1.9308939469701687","2.5456114130336442","0.0075","false"
"1952","1961","55900","0.09","false","1.3183589999999998","55900","90","41","1.943968548213196","2.5628484312538005","0.0075","true"
"1962","1971","56300","0.1","false","1.3183589999999998","56300","90","41","1.9250942010239716","2.537965265767762","0.0075","true"
"1972","1981","57400","0.07","false","1.3183589999999998","57400","90","41","1.9383600485223447","2.5554544152098693","0.0075","true"
"1982","1991","59300","0.1","false","1.3183589999999998","59300","90","41","1.9348147958374597","2.5507804994254775","0.0075","true"
"1992","2001","63200","0.09","false","1.3183589999999998","63200","90","41","1.9540305745129403","2.5761137941843053","0.0075","true"
"2002","2011","65600","0.09","false","1.3183589999999998","65600","90","41","1.9796489143856086","2.6098879631204963","0.0075","true"
"2012","2015","66270","0.09","false","1.3183589999999998","66270","90","41","1.9907101694816078","2.6244706683276027","0.0075","true"
