"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","10","0.6","false","0.0024414000000000003","10","5.313485361404685","0.012972343161333399"
"1","43","1.066","13","0.6","false","0.0024414000000000003","13","0.9023564006293145","0.0022030129164964086"
"44","200","1.066","30","0.6","false","0.0024414000000000003","30","0.9115770209625441","0.0022255241389779554"
"201","410","1.066","20","0.6","false","0.0024414000000000003","20","0.8384482667182412","0.0020469875983659142"
"411","430","1.066","8","0.6","false","0.0024414000000000003","8","0.9533333333333334","0.0023274680000000005"
"431","500","1.066","8","0.6","false","0.0024414000000000003","8","0.9262956091527511","0.0022614581001855266"
"501","750","1.066","8","0.6","false","0.00183105","8","3.3986874458874525","0.0062231666477922205"
"751","950","1.066","9","0.6","false","0.00183105","9","1.2134821428571427","0.0022219464776785714"
"951","1066","1.066","10","0.6","false","0.00183105","10","1.2298539583022345","0.002251924090349307"
"1067","1086","1.066","13","0.6","false","0.00183105","13","1.1461363636363637","0.0020986329886363638"
"1087","1190","1.066","24","0.6","false","0.00183105","24","1.2086045209988798","0.002213015308174999"
"1191","1220","1.066","32","0.6","false","0.00183105","32","1.175967627979235","0.0021532555252113785"
"1221","1250","1.066","33","0.6","false","0.00183105","33","1.1111504674719113","0.002034572063464443"
"1251","1279","1.066","35","0.6","false","0.00183105","35","1.11699288160675","0.00204526981586604"
"1280","1290","1.066","38","0.6","false","0.00183105","38","1.0441753971165735","0.0019119373608903019"
"1291","1315","1.066","37","0.6","false","0.00183105","37","1.111858310215051","0.0020358681589192694"
"1316","1325","1.066","33","0.6","false","0.00183105","33","1.1050199626569204","0.0020233468026229543"
"1326","1348","1.066","38","0.6","false","0.00183105","38","1.1224260382890032","0.0020552181974090792"
"1349","1351","1.066","20","0.6","true","0.00183105","20","1.0483870967741935","0.001919649193548387"
"1352","1377","1.066","20","0.6","false","0.00183105","20","1.1515775675992395","0.0021085961051525875"
"1378","1400","1.066","16","0.6","false","0.00183105","16","1.112782513697845","0.002037560421706439"
"1401","1430","1.066","16","0.6","false","0.00183105","16","1.1934610487551658","0.0021852868533231463"
"1431","1450","1.066","15","0.6","false","0.00183105","15","1.0879972968208262","0.001992177450343774"
"1451","1490","1.066","17","0.6","false","0.00183105","17","1.1759703144078144","0.0021532604441964285"
"1491","1522","1.066","18","0.6","false","0.00183105","18","1.1457246676504609","0.0020978791527013767"
"1523","1541","1.066","22","0.6","false","0.00183105","22","1.1429289448325801","0.002092760044435696"
"1542","1560","1.066","25","0.6","false","0.00183105","25","1.1269700932172326","0.0020635385891854137"
"1561","1600","1.066","33","0.6","false","0.00183105","33","1.1598453660609878","0.0021237348575259716"
"1601","1650","1.066","42","0.6","false","0.00183105","42","1.13078726092848","0.002070528014123093"
"1651","1700","1.066","41","0.6","false","0.00183105","41","1.1032573702248623","0.002020119407750234"
"1701","1801","1.066","75","0.6","false","0.00183105","75","1.1578310080025","0.0021200464672029777"
"1802","1811","1.066","83","0.6","false","0.00183105","83","1.142604572452729","0.0020921661023895694"
"1812","1821","1.066","89","0.6","false","0.00183105","89","1.0441194197167243","0.001911834863472308"
"1822","1831","1.066","105","0.6","false","0.00183105","105","1.1463218325569366","0.002098972591503379"
"1832","1841","1.066","134","0.6","false","0.00183105","134","1.179775713016194","0.0021602283193183024"
"1842","1851","1.066","182","0.6","false","0.00183105","182","1.2218174896967136","0.0022372089145091673"
"1852","1861","1.066","193","0.6","false","0.00183105","193","1.1195032021764522","0.002049866338345193"
"1862","1871","1.066","210","0.6","false","0.00183105","210","1.1101298501954053","0.002032703262200297"
"1872","1881","1.066","233","0.6","false","0.00183105","233","1.1091327454907733","0.002030877513630881"
"1882","1891","1.066","252","0.6","false","0.00183105","252","1.1078018715179947","0.0020284406168430244"
"1892","1901","1.066","254","0.6","false","0.00183105","254","1.0971229900131425","0.0020088870508635647"
"1902","1911","1.003","280","0.13","false","0.00183105","280","1.171690777968846","0.0021454243989998552"
"1912","1921","1.003","293","0.13","false","0.00183105","293","1.0923836834866876","0.002000209143648299"
"1922","1931","1.003","300","0.13","false","0.00183105","300","1.082824722778796","0.0019827062086441145"
"1932","1941","1.003","334","0.13","false","0.00183105","334","1.147341890779264","0.0021008403691113718"
"1942","1951","1.003","352","0.13","false","0.00183105","352","1.182048602769495","0.0021643900941010837"
"1952","1961","1.003","372","0.13","false","0.00183105","372","1.160585494689498","0.0021250900700512053"
"1962","1971","1.003","375","0.13","false","0.00183105","375","1.1059253964893243","0.0020250046972417773"
"1972","1981","1.003","382","0.13","false","0.00183105","382","1.106100631529253","0.0020253255613616387"
"1982","1991","1.003","395","0.13","false","0.00183105","395","1.1008802644437072","0.0020157668082096502"
"1992","2001","1.003","421","0.13","false","0.00183105","421","1.1275967852165365","0.0020646860935707393"
"2002","2011","1.003","437","0.13","false","0.00183105","437","1.1090387846102365","0.002030705466560574"
"2012","2015","1.003","441","0.13","false","0.00183105","441","1.104634831154794","0.002022641607585986"
