"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","-0.5","150","1.4705668404154624","-0.7352834202077312"
"1","43","1.066","200","0.6","false","-0.5","200","1.4491951499115159","-0.7245975749557579"
"44","200","1.066","450","0.6","false","-0.5","450","1.4336425914571407","-0.7168212957285703"
"201","410","1.066","300","0.6","false","-0.5","300","1.3152716605902768","-0.6576358302951384"
"411","430","1.066","125","0.6","false","-0.5","125","1.2512629236856978","-0.6256314618428489"
"431","500","1.066","130","0.6","false","-0.5","130","1.2864681306981869","-0.6432340653490934"
"501","750","1.066","130","0.6","false","-0.5","130","1.277667630185229","-0.6388338150926145"
"751","950","1.066","140","0.6","false","-0.5","140","1.2495393049560781","-0.6247696524780391"
"951","1066","1.066","150","0.6","false","-0.5","150","1.2386635566658735","-0.6193317783329367"
"1067","1086","1.066","200","0.6","false","-0.5","200","1.280044901103302","-0.640022450551651"
"1087","1190","1.066","370","0.6","false","-0.5","370","1.2751132345796312","-0.6375566172898156"
"1191","1220","1.066","480","0.6","false","-0.5","480","1.243230652097263","-0.6216153260486315"
"1221","1250","1.066","500","0.6","false","-0.5","500","1.2213470108702549","-0.6106735054351274"
"1251","1279","1.066","530","0.6","false","-0.5","530","1.2210335290367618","-0.6105167645183809"
"1280","1290","1.066","570","0.6","false","-0.5","570","1.2297698226200475","-0.6148849113100238"
"1291","1315","1.066","560","0.6","false","-0.5","560","1.2089196136113625","-0.6044598068056812"
"1316","1325","1.066","500","0.6","false","-0.5","500","1.2126116260108941","-0.6063058130054471"
"1326","1348","1.066","570","0.6","false","-0.5","570","1.2234182483275544","-0.6117091241637772"
"1349","1351","1.066","300","0.6","true","-0.5","300","1.0169315325295045","-0.5084657662647523"
"1352","1377","1.066","300","0.6","false","-0.5","300","1.21216529985043","-0.606082649925215"
"1378","1400","1.066","250","0.6","false","-0.5","250","1.2027321597311447","-0.6013660798655723"
"1401","1430","1.066","240","0.6","false","-0.5","240","1.2017320568850272","-0.6008660284425136"
"1431","1450","1.066","230","0.6","false","-0.5","230","1.2000800005895438","-0.6000400002947719"
"1451","1490","1.066","260","0.6","false","-0.5","260","1.204417649197945","-0.6022088245989725"
"1491","1522","1.066","280","0.6","false","-0.5","280","1.209126399970924","-0.604563199985462"
"1523","1541","1.066","340","0.6","false","-0.5","340","1.2273938213386923","-0.6136969106693462"
"1542","1560","1.066","380","0.6","false","-0.5","380","1.2147381020519448","-0.6073690510259724"
"1561","1600","1.066","500","0.6","false","-0.5","500","1.2160939869329161","-0.6080469934664581"
"1601","1650","1.066","630","0.6","false","-0.5","630","1.2137512555538938","-0.6068756277769469"
"1651","1700","1.066","620","0.6","false","-0.5","620","1.1969945594063744","-0.5984972797031872"
"1701","1801","1.066","1130","0.6","false","-0.5","1130","1.2253730896651447","-0.6126865448325723"
"1802","1811","1.066","1250","0.6","false","-0.5","1250","1.1793528135008535","-0.5896764067504268"
"1812","1821","1.066","1340","0.6","false","-0.5","1340","1.189409197608668","-0.594704598804334"
"1822","1831","1.066","1580","0.6","false","-0.5","1580","1.2105599824952544","-0.6052799912476272"
"1832","1841","1.066","2020","0.6","false","-0.5","2020","1.2460996027095026","-0.6230498013547513"
"1842","1851","1.066","2740","0.6","false","-0.5","2740","1.2768297538100624","-0.6384148769050312"
"1852","1861","1.066","2900","0.6","false","-0.5","2900","1.1809283259338357","-0.5904641629669178"
"1862","1871","1.066","3150","0.6","false","-0.5","3150","1.1861311886526933","-0.5930655943263466"
"1872","1881","1.066","3500","0.6","false","-0.5","3500","1.1931984827776891","-0.5965992413888446"
"1882","1891","1.066","3780","0.6","false","-0.5","3780","1.1856818507194222","-0.5928409253597111"
"1892","1901","1.066","3820","0.6","false","-0.5","3820","1.1783722692980776","-0.5891861346490388"
"1902","1911","1.003","4210","0.13","false","-0.5","4210","1.2030916808974355","-0.6015458404487177"
"1912","1921","1.003","4400","0.13","false","-0.5","4400","1.1591593467153918","-0.5795796733576959"
"1922","1931","1.003","4500","0.13","false","-0.5","4500","1.1641470749861713","-0.5820735374930857"
"1932","1941","1.003","5020","0.13","false","-0.5","5020","1.234414592512248","-0.617207296256124"
"1942","1951","1.003","5280","0.13","false","-0.5","5280","1.2066262791708415","-0.6033131395854208"
"1952","1961","1.003","5590","0.13","false","-0.5","5590","1.194995891180835","-0.5974979455904175"
"1962","1971","1.003","5630","0.13","false","-0.5","5630","1.1779166015087454","-0.5889583007543727"
"1972","1981","1.003","5740","0.13","false","-0.5","5740","1.179721205358133","-0.5898606026790665"
"1982","1991","1.003","5930","0.13","false","-0.5","5930","1.1786939127990954","-0.5893469563995477"
"1992","2001","1.003","6320","0.13","false","-0.5","6320","1.2053454632726444","-0.6026727316363222"
"2002","2011","1.003","6560","0.13","false","-0.5","6560","1.1843434762188496","-0.5921717381094248"
"2012","2015","1.003","6627","0.13","false","-0.5","6627","1.1787823543542593","-0.5893911771771296"
