"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","150","0.6","false","6.25","150","2.067038860695142","12.918992879344637","10.0"
"1","43","1.066","200","0.6","false","6.25","200","0.9435938942722969","5.897461839201855","10.0"
"44","200","1.066","450","0.6","false","6.25","450","0.9372334084641396","5.857708802900873","10.0"
"201","410","1.066","300","0.6","false","6.25","300","0.9188648387701739","5.7429052423135865","10.0"
"411","430","1.066","125","0.6","false","6.25","125","0.8648817964908098","5.405511228067561","10.0"
"431","500","1.066","130","0.6","false","6.25","130","0.923593742957429","5.772460893483931","10.0"
"501","750","1.066","130","0.6","false","6.25","130","0.9129963129540879","5.706226955963049","10.0"
"751","950","1.066","140","0.6","false","6.25","140","0.9130576967221296","5.70661060451331","10.0"
"951","1066","1.066","150","0.6","false","6.25","150","0.9025589360814069","5.6409933505087935","10.0"
"1067","1086","1.066","200","0.6","false","6.25","200","0.9131275164999423","5.707046978124639","10.0"
"1087","1190","1.066","370","0.6","false","6.25","370","0.9077394087579129","5.673371304736956","10.0"
"1191","1220","1.066","480","0.6","false","6.25","480","0.9099379915593351","5.687112447245844","10.0"
"1221","1250","1.066","500","0.6","false","6.25","500","0.8984495473592398","5.615309670995249","10.0"
"1251","1279","1.066","530","0.6","false","6.25","530","0.9031022382263139","5.644388988914462","10.0"
"1280","1290","1.066","570","0.6","false","6.25","570","0.9090653970998622","5.681658731874139","10.0"
"1291","1315","1.066","560","0.6","false","6.25","560","0.8947578211483925","5.592236382177453","10.0"
"1316","1325","1.066","500","0.6","false","6.25","500","0.8923295513665657","5.577059696041036","10.0"
"1326","1348","1.066","570","0.6","false","6.25","570","0.9063818950827912","5.664886844267445","10.0"
"1349","1351","1.066","300","0.6","true","6.25","300","0.7233814081791478","4.521133801119674","10.0"
"1352","1377","1.066","300","0.6","false","6.25","300","0.8950996646412536","5.594372904007835","10.0"
"1378","1400","1.066","250","0.6","false","6.25","250","0.8931663761654158","5.582289851033849","10.0"
"1401","1430","1.066","240","0.6","false","6.25","240","0.9036278140071171","5.647673837544482","10.0"
"1431","1450","1.066","230","0.6","false","6.25","230","0.8994336634293394","5.621460396433371","10.0"
"1451","1490","1.066","260","0.6","false","6.25","260","0.9106320190648741","5.691450119155463","10.0"
"1491","1522","1.066","280","0.6","false","6.25","280","0.9012666556634724","5.632916597896703","10.0"
"1523","1541","1.066","340","0.6","false","6.25","340","0.9089416649078534","5.680885405674084","10.0"
"1542","1560","1.066","380","0.6","false","6.25","380","0.9006772477933985","5.629232798708741","10.0"
"1561","1600","1.066","500","0.6","false","6.25","500","0.906086904970502","5.663043156065638","10.0"
"1601","1650","1.066","630","0.6","false","6.25","630","0.9032805709109906","5.645503568193691","10.0"
"1651","1700","1.066","620","0.6","false","6.25","620","0.8976409211495112","5.610255757184445","10.0"
"1701","1801","1.066","1130","0.6","false","6.25","1130","0.9039617744376099","5.649761090235062","10.0"
"1802","1811","1.066","1250","0.6","false","6.25","1250","0.9023624259353958","5.639765162096224","10.0"
"1812","1821","1.066","1340","0.6","false","6.25","1340","0.9026243337621433","5.641402086013396","10.0"
"1822","1831","1.066","1580","0.6","false","6.25","1580","0.9075384995316871","5.672115622073044","10.0"
"1832","1841","1.066","2020","0.6","false","6.25","2020","0.9197064984220518","5.7481656151378235","10.0"
"1842","1851","1.066","2740","0.6","false","6.25","2740","0.9220313883243498","5.762696177027187","10.0"
"1852","1861","1.066","2900","0.6","false","6.25","2900","0.9010575999460773","5.631609999662983","10.0"
"1862","1871","1.066","3150","0.6","false","6.25","3150","0.9042692220972122","5.651682638107576","10.0"
"1872","1881","1.066","3500","0.6","false","6.25","3500","0.9054923349383301","5.659327093364563","10.0"
"1882","1891","1.066","3780","0.6","false","6.25","3780","0.9052346360175001","5.657716475109376","10.0"
"1892","1901","1.066","3820","0.6","false","6.25","3820","0.8943802048400873","5.589876280250546","10.0"
"1902","1911","1.066","4210","0.6","false","6.25","4210","0.9056360237773348","5.660225148608342","10.0"
"1912","1921","1.066","4400","0.6","false","6.25","4400","0.8977770974403582","5.611106859002239","10.0"
"1922","1931","1.066","4500","0.13","false","6.25","4500","0.9441683638814624","5.90105227425914","10.0"
"1932","1941","1.066","5020","0.13","false","6.25","5020","0.9479797008349585","5.924873130218491","10.0"
"1942","1951","1.066","5280","0.13","false","6.25","5280","0.9473686585056729","5.921054115660455","10.0"
"1952","1961","1.066","5590","0.13","false","6.25","5590","0.9581998362900199","5.988748976812625","10.0"
"1962","1971","1.066","5630","0.13","false","6.25","5630","0.9601158134010624","6.00072383375664","10.0"
"1972","1981","1.066","5740","0.13","false","6.25","5740","0.9540103472705532","5.962564670440957","10.0"
"1982","1991","1.066","5930","0.13","false","6.25","5930","0.9576890464519142","5.985556540324464","10.0"
"1992","2001","1.066","6320","0.13","false","6.25","6320","0.9611538509562415","6.007211568476509","10.0"
"2002","2011","1.066","6560","0.13","false","6.25","6560","0.9557440110812596","5.973400069257872","10.0"
"2012","2015","1.066","6627","0.13","false","6.25","6627","0.9553354006712346","5.970846254195216","10.0"
