"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.55","false","6.25","15","90","41","2.9290560891792743","18.306600557370466","150.0"
"1","43","20","0.55","false","5.46875","20","90","41","5.471789395354301","29.923848255843833","150.0"
"44","200","45","0.55","false","5.46875","45","90","41","1.0277206002960393","5.620347032868965","150.0"
"201","410","30","0.55","false","5.46875","30","90","41","1.0160039241002883","5.556271459923452","150.0"
"411","430","12","0.55","false","6.035156","12","90","41","3.4446628889480393","20.789077902212092","150.0"
"431","500","13","0.55","false","6.5927109999999995","13","90","41","6.012924588127471","39.641474074318445","150.0"
"501","750","13","0.55","false","4.944533","13","90","41","3.9813789873525014","19.686059788471024","150.0"
"751","950","14","0.55","false","4.944533","14","90","41","1.2021058802308828","5.943852194295648","150.0"
"951","1066","15","0.55","false","6.208399","15","90","41","2.8733235671869903","17.838739161200145","150.0"
"1067","1086","20","0.55","false","6.208399","20","90","41","0.9569465944272446","5.941106279895511","150.0"
"1087","1190","37","0.55","false","6.208399","37","90","41","0.9199312808739623","5.711300444246627","150.0"
"1191","1220","48","0.55","false","5.432348999999999","48","90","41","4.928296766026232","26.772228008625834","150.0"
"1221","1250","50","0.55","false","5.432348999999999","50","90","41","1.023758355034488","5.561412676213245","150.0"
"1251","1279","53","0.55","false","5.432348999999999","53","90","41","1.021958343733463","5.551634386622133","150.0"
"1280","1290","57","0.55","false","5.432348999999999","57","90","41","1.0257991706049145","5.572499098636436","150.0"
"1291","1315","56","0.55","false","5.432348999999999","56","90","41","1.0098686298073616","5.48595884126539","150.0"
"1316","1325","50","0.55","false","5.432348999999999","50","90","41","1.0280349613801334","5.584644694418405","150.0"
"1326","1348","57","0.55","false","5.432348999999999","57","90","41","1.0203012852287612","5.542632666511175","150.0"
"1349","1351","30","0.55","true","5.432348999999999","30","90","41","0.7777777777777778","4.225160333333333","150.0"
"1352","1377","30","0.55","false","5.432348999999999","30","90","41","1.020875704600677","5.545753113011782","150.0"
"1378","1400","25","0.55","false","5.432348999999999","25","90","41","1.0135664588868631","5.506046739367592","150.0"
"1401","1430","24","0.55","false","5.432348999999999","24","90","41","1.047272876077224","5.689151761085231","150.0"
"1431","1450","23","0.55","false","5.432348999999999","23","90","41","1.0543880650242208","5.72780395064626","150.0"
"1451","1490","26","0.55","false","5.432348999999999","26","90","41","1.0212569111645196","5.547823960107666","150.0"
"1491","1522","28","0.55","false","5.432348999999999","28","90","41","1.0405817751800233","5.652803365817424","150.0"
"1523","1541","34","0.55","false","5.432348999999999","34","90","41","1.0503884092584987","5.706076424646996","150.0"
"1542","1560","38","0.55","false","5.432348999999999","38","90","41","1.0380228140755245","5.638902196020361","150.0"
"1561","1600","50","0.55","false","5.432348999999999","50","90","41","1.0416830107341677","5.658785661678745","150.0"
"1601","1650","63","0.55","false","5.432348999999999","63","90","41","1.0371871411973579","5.634362529296325","150.0"
"1651","1700","62","0.55","false","5.432348999999999","62","90","41","1.0301436801077548","5.596099990489681","150.0"
"1701","1801","113","0.28","false","5.432348999999999","113","90","41","1.058989818447336","5.752802281252567","150.0"
"1802","1811","125","0.28","false","5.432348999999999","125","90","41","1.0688771251425817","5.806513581891178","150.0"
"1812","1821","134","0.28","false","5.432348999999999","134","90","41","1.0791070203699342","5.862085942999591","150.0"
"1822","1831","158","0.26","false","5.432348999999999","158","90","41","1.0738636659354244","5.833602211780636","150.0"
"1832","1841","202","0.25","false","5.432348999999999","202","90","41","1.0886036547709672","5.913674975391408","150.0"
"1842","1851","274","0.22","false","5.432348999999999","274","90","41","1.104124360242483","5.997988864238892","150.0"
"1852","1861","290","0.25","false","5.432348999999999","290","90","41","1.045577495505604","5.679941862132372","150.0"
"1862","1871","315","0.22","false","5.432348999999999","315","90","41","1.0706438923994879","5.816111278232465","150.0"
"1872","1881","350","0.21","false","5.432348999999999","350","90","41","1.0761060539798806","5.84578364623155","150.0"
"1882","1891","378","0.19","false","5.432348999999999","378","90","41","1.0666266146291647","5.794288023354128","150.0"
"1892","1901","382","0.18","false","5.432348999999999","382","90","41","1.0569143919338602","5.741527840107513","150.0"
"1902","1911","421","0.13","false","5.432348999999999","421","90","41","1.0892147725913979","5.916994780672107","150.0"
"1912","1921","440","0.14","false","5.432348999999999","440","90","41","1.071057961531666","5.818360646268584","150.0"
"1922","1931","450","0.12","false","5.432348999999999","450","90","41","1.074809395873467","5.8387397468638325","150.0"
"1932","1941","502","0.07","false","5.432348999999999","502","90","41","1.0955645502491698","5.951488988981526","150.0"
"1942","1951","528","0.08","false","5.432348999999999","528","90","41","1.0912347368942847","5.927967931732931","150.0"
"1952","1961","559","0.09","false","5.432348999999999","559","90","41","1.0907632272998382","5.925406527059049","150.0"
"1962","1971","563","0.1","false","5.432348999999999","563","90","41","1.0913580700474033","5.928637920463941","150.0"
"1972","1981","574","0.07","false","5.432348999999999","574","90","41","1.099067591949832","5.970518734061078","150.0"
"1982","1991","593","0.1","false","5.432348999999999","593","90","41","1.105006786690032","6.002782512668808","150.0"
"1992","2001","632","0.09","false","5.432348999999999","632","90","41","1.1091734373068545","6.025417212980453","150.0"
"2002","2011","656","0.09","false","5.432348999999999","656","90","41","1.1202668770476738","6.085680649263053","150.0"
"2012","2015","662","0.09","false","5.432348999999999","662","90","41","1.1332817671841338","6.156382074680961","150.0"
