"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.25","1500","90","41","2.2591259732502404","2.8239074665628006","0.00375","false","true"
"-50","0","1500","0.35","false","1.25","1500","90","41","1.8413519825697193","2.301689978212149","0.00375","false","true"
"1","43","2000","0.35","false","1.25","2000","90","41","1.8535632935461213","2.3169541169326515","0.00375","false","true"
"44","200","4500","0.35","false","1.25","4500","90","41","1.8497813058315131","2.3122266322893914","0.00375","false","true"
"201","410","3000","0.35","false","1.25","3000","90","41","1.8364446822817722","2.2955558528522153","0.00375","false","true"
"411","430","1250","0.35","false","1.25","1250","90","41","1.758957646633192","2.19869705829149","0.00375","false","true"
"431","500","1300","0.35","false","1.25","1300","90","41","1.840335766726817","2.3004197084085214","0.00375","false","true"
"501","750","1300","0.35","false","1.25","1300","90","41","1.8412356266902326","2.3015445333627906","0.00375","false","true"
"751","950","1400","0.35","false","1.25","1400","90","41","1.8416407588213144","2.302050948526643","0.00375","false","true"
"951","1066","1500","0.35","false","1.25","1500","90","41","1.841653470405591","2.3020668380069886","0.00375","false","true"
"1067","1086","2000","0.35","false","1.25","2000","90","41","1.8663194792299174","2.3328993490373966","0.00375","false","true"
"1087","1190","3700","0.35","false","1.25","3700","90","41","1.8523257067452525","2.315407133431566","0.00375","false","true"
"1191","1220","4800","0.35","false","1.25","4800","90","41","1.8561227178872641","2.32015339735908","0.00375","false","true"
"1221","1250","5000","0.35","false","1.25","5000","90","41","1.842364725366291","2.3029559067078638","0.00375","false","true"
"1251","1279","5300","0.35","false","1.25","5300","90","41","1.8436951619078727","2.304618952384841","0.00375","false","true"
"1280","1290","5700","0.35","false","1.25","5700","90","41","1.8520959716287313","2.315119964535914","0.00375","false","true"
"1291","1315","5600","0.35","false","1.25","5600","90","41","1.838464308201568","2.29808038525196","0.00375","false","true"
"1316","1325","5000","0.35","false","1.25","5000","90","41","1.8178056409751864","2.272257051218983","0.00375","false","true"
"1326","1348","5700","0.35","false","1.25","5700","90","41","1.8487935944480225","2.310991993060028","0.00375","false","true"
"1349","1351","3000","0.35","true","1.25","3000","90","41","1.5079362885875678","1.8849203607344598","0.00375","false","true"
"1352","1377","3000","0.35","false","1.25","3000","90","41","1.8382705906572145","2.297838238321518","0.00375","false","true"
"1378","1400","2500","0.35","false","1.25","2500","90","41","1.824069397461453","2.2800867468268162","0.00375","false","true"
"1401","1430","2400","0.35","false","1.25","2400","90","41","1.8385185853309567","2.2981482316636956","0.00375","false","true"
"1431","1450","2300","0.35","false","1.25","2300","90","41","1.8353937615390492","2.2942422019238116","0.00375","false","true"
"1451","1490","2600","0.35","false","1.25","2600","90","41","1.8464824900660386","2.308103112582548","0.00375","false","true"
"1491","1522","2800","0.35","false","1.25","2800","90","41","1.8446089198568465","2.305761149821058","0.00375","false","true"
"1523","1541","3400","0.35","false","1.25","3400","90","41","1.8580834741050456","2.322604342631307","0.00375","false","true"
"1542","1560","3800","0.35","false","1.25","3800","90","41","1.8519514084426885","2.3149392605533605","0.00375","false","true"
"1561","1600","5000","0.31","false","1.25","5000","90","41","1.8610724074364895","2.326340509295612","0.00375","false","true"
"1601","1650","6300","0.29","false","1.25","6300","90","41","1.8616553713104045","2.327069214138006","0.00375","false","true"
"1651","1700","6200","0.26","false","1.25","6200","90","41","1.8604542543967824","2.325567817995978","0.00375","false","true"
"1701","1801","11300","0.25","false","1.25","11300","90","41","1.8753897339323637","2.3442371674154545","0.00375","false","true"
"1802","1811","12500","0.28","false","1.25","12500","90","41","1.8766457894637738","2.3458072368297174","0.00375","false","true"
"1812","1821","13400","0.28","false","1.25","13400","90","41","1.8716460684297374","2.3395575855371717","0.00375","false","true"
"1822","1831","15800","0.26","false","1.25","15800","90","41","1.8932566011434957","2.3665707514293697","0.00375","false","true"
"1832","1841","20200","0.25","false","1.25","20200","90","41","1.9093780058067176","2.386722507258397","0.00375","false","true"
"1842","1851","27400","0.22","false","1.25","27400","90","41","1.928025051118486","2.4100313138981075","0.00375","false","true"
"1852","1861","29000","0.25","false","1.25","29000","90","41","1.8724339973184105","2.340542496648013","0.00375","false","true"
"1862","1871","31500","0.22","false","1.25","31500","90","41","1.887678191120358","2.3595977389004474","0.00375","false","true"
"1872","1881","35000","0.21","false","1.25","35000","90","41","1.8930511114382047","2.3663138892977558","0.00375","false","true"
"1882","1891","37800","0.19","false","1.25","37800","90","41","1.8942689644040756","2.3678362055050943","0.00375","false","true"
"1892","1901","38200","0.18","false","1.25","38200","90","41","1.8837483393123577","2.354685424140447","0.00375","false","true"
"1902","1911","42100","0.13","false","1.25","42100","90","41","1.9167726481186258","2.395965810148282","0.00375","false","true"
"1912","1921","44000","0.14","false","1.25","44000","90","41","1.9027280699865248","2.378410087483156","0.00375","false","true"
"1922","1931","45000","0.12","false","1.25","45000","90","41","1.9091320369411746","2.3864150461764684","0.00375","false","true"
"1932","1951","50200","0.07","false","1.25","50200","90","41","1.9342106587308827","2.4177633234136033","0.00375","false","true"
"1952","1961","55900","0.09","false","1.25","55900","90","41","1.9444642184986922","2.430580273123365","0.00375","false","true"
"1962","1971","56300","0.1","false","1.25","56300","90","41","1.9288967830373303","2.4111209787966628","0.00375","false","true"
"1972","1981","57400","0.07","false","1.25","57400","90","41","1.9421380382475533","2.4276725478094416","0.00375","true","true"
