"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-5050","-51","1500","0.35","false","0.0039059999999999997","1500","90","41","2.085769496387724","0.008147015652890449","0.0075","false"
"-50","0","1500","0.35","false","0.0039059999999999997","1500","90","41","1.96925061010064","0.007691892883053099","0.0075","false"
"1","43","2000","0.35","false","0.0039059999999999997","2000","90","41","1.9868930138815213","0.0077608041122212215","0.0075","false"
"44","200","4500","0.35","false","0.0039059999999999997","4500","90","41","1.979549299597365","0.007732119564227307","0.0075","false"
"201","410","3000","0.35","false","0.0039059999999999997","3000","90","41","1.9667142145618062","0.007681985722078414","0.0075","false"
"411","430","1250","0.35","false","0.0039059999999999997","1250","90","41","1.8845305056055008","0.0073609761548950855","0.0075","false"
"431","500","1300","0.35","false","0.0039059999999999997","1300","90","41","1.9698130358571286","0.007694089718057944","0.0075","false"
"501","750","1300","0.35","false","0.0039059999999999997","1300","90","41","1.9690045707017712","0.007690931853161118","0.0075","false"
"751","950","1400","0.35","false","0.0039059999999999997","1400","90","41","1.9697749833968334","0.007693941085148031","0.0075","false"
"951","1066","1500","0.35","false","0.0039059999999999997","1500","90","41","1.970461092846478","0.007696621028658343","0.0075","false"
"1067","1086","2000","0.35","false","0.0039059999999999997","2000","90","41","2.000383885012503","0.007813499454858836","0.0075","false"
"1087","1190","3700","0.35","false","0.0039059999999999997","3700","90","41","1.9813002814117233","0.007738958899194191","0.0075","false"
"1191","1220","4800","0.35","false","0.0039059999999999997","4800","90","41","1.9874781178225882","0.007763089528215029","0.0075","false"
"1221","1250","5000","0.35","false","0.0039059999999999997","5000","90","41","1.972009821720912","0.007702670363641882","0.0075","false"
"1251","1279","5300","0.35","false","0.0039059999999999997","5300","90","41","1.9739699514806366","0.007710326630483366","0.0075","false"
"1280","1290","5700","0.35","false","0.0039059999999999997","5700","90","41","1.9807582243142534","0.0077368416241714736","0.0075","false"
"1291","1315","5600","0.35","false","0.0039059999999999997","5600","90","41","1.9672131450831873","0.00768393454469493","0.0075","false"
"1316","1325","5000","0.35","false","0.0039059999999999997","5000","90","41","1.9479740638998764","0.007608786693592917","0.0075","false"
"1326","1348","5700","0.35","false","0.0039059999999999997","5700","90","41","1.9814799536440144","0.00773966069893352","0.0075","false"
"1349","1351","3000","0.35","true","0.0039059999999999997","3000","90","41","1.6078438497343808","0.0062802380770624906","0.0075","false"
"1352","1377","3000","0.35","false","0.0039059999999999997","3000","90","41","1.9695353774433495","0.007693005184293723","0.0075","false"
"1378","1400","2500","0.35","false","0.0039059999999999997","2500","90","41","1.952198583931645","0.007625287668837005","0.0075","false"
"1401","1430","2400","0.35","false","0.0039059999999999997","2400","90","41","1.966544494775585","0.007681322796593434","0.0075","false"
"1431","1450","2300","0.35","false","0.0039059999999999997","2300","90","41","1.962674193217305","0.007666205398706793","0.0075","false"
"1451","1490","2600","0.35","false","0.0039059999999999997","2600","90","41","1.975398662744731","0.007715907176680919","0.0075","false"
"1491","1522","2800","0.35","false","0.0039059999999999997","2800","90","41","1.9731192278878567","0.0077070037041299675","0.0075","false"
"1523","1541","3400","0.35","false","0.0039059999999999997","3400","90","41","1.9890227122091615","0.007769122713888984","0.0075","false"
