"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","0.070312","1500","6.984121333870618","0.4910675392271109","0.2"
"1","43","1.066","2000","0.6","false","0.061522999999999994","2000","4.903019232858256","0.30164845226313847","0.2"
"44","200","1.066","4500","0.6","false","0.061522999999999994","4500","0.9738149284909471","0.05991201584554853","0.2"
"201","410","1.066","3000","0.6","false","0.053832","3000","4.930251449220326","0.2654052960144286","0.2"
"411","430","1.066","1250","0.6","false","0.053832","1250","0.974956602617764","0.05248386383211947","0.2"
"431","500","1.066","1300","0.6","false","0.053832","1300","1.0174715382679507","0.05477252784804032","0.2"
"501","750","1.066","1300","0.6","false","0.053832","1300","1.0128491475484196","0.05452369531082652","0.2"
"751","950","1.066","1400","0.6","false","0.053832","1400","1.0115579683109608","0.05445418855011564","0.2"
"951","1066","1.066","1500","0.6","false","0.053832","1500","1.0095051939719026","0.05434368360189546","0.2"
"1067","1086","1.066","2000","0.6","false","0.053832","2000","1.0228301294297997","0.05506099152746497","0.2"
"1087","1190","1.066","3700","0.6","false","0.053832","3700","1.0131945006751488","0.05454228636034461","0.2"
"1191","1220","1.066","4800","0.6","false","0.053832","4800","1.0154597165400931","0.054664227460786294","0.2"
"1221","1250","1.066","5000","0.6","false","0.053832","5000","1.0079228068599515","0.05425850053888491","0.2"
"1251","1279","1.066","5300","0.6","false","0.053832","5300","1.008594382527684","0.054294652800230284","0.2"
"1280","1290","1.066","5700","0.6","false","0.053832","5700","1.012673073379533","0.05451421688616702","0.2"
"1291","1315","1.066","5600","0.6","false","0.053832","5600","1.0055659170146547","0.05413162444473289","0.2"
"1316","1325","1.066","5000","0.6","false","0.053832","5000","0.9964150357352242","0.053639014203698585","0.2"
"1326","1348","1.066","5700","0.6","false","0.053832","5700","1.0103615052646937","0.05438978055140899","0.2"
"1349","1351","1.066","3000","0.6","true","0.053832","3000","0.8189316780300858","0.044084730091715575","0.2"
"1352","1377","1.066","3000","0.6","false","0.053832","3000","1.0036245939371147","0.054027119140822755","0.2"
"1378","1400","1.066","2500","0.6","false","0.053832","2500","0.9974725815330349","0.05369594400908633","0.2"
"1401","1430","1.066","2400","0.6","false","0.053832","2400","1.0056591066566551","0.054136641029541056","0.2"
"1431","1450","1.066","2300","0.6","false","0.053832","2300","1.0035117656390846","0.0540210453678832","0.2"
"1451","1490","1.066","2600","0.6","false","0.053832","2600","1.008599276456454","0.05429491625020383","0.2"
"1491","1522","1.066","2800","0.6","false","0.053832","2800","1.0066612481356656","0.054190588309639146","0.2"
"1523","1541","1.066","3400","0.6","false","0.053832","3400","1.013906654572309","0.054580623028936535","0.2"
"1542","1560","1.066","3800","0.6","false","0.053832","3800","1.010765066771229","0.054411505074428795","0.2"
"1561","1600","1.066","5000","0.6","false","0.053832","5000","1.0109315030840134","0.05442046467401861","0.2"
"1601","1650","1.066","6300","0.6","false","0.053832","6300","1.0079557603475806","0.054260274491030956","0.2"
"1651","1700","1.066","6200","0.6","false","0.053832","6200","1.0035464158051592","0.05402291065562333","0.2"
"1701","1801","1.066","11300","0.6","false","0.053832","11300","1.0083675693108136","0.05428244299113972","0.2"
"1802","1811","1.066","12500","0.6","false","0.053832","12500","1.0108291207965039","0.0544149532307174","0.2"
"1812","1821","1.066","13400","0.6","false","0.053832","13400","1.010292149543761","0.05438604699423973","0.2"
"1822","1831","1.066","15800","0.6","false","0.053832","15800","1.0186482082994583","0.05483587034917644","0.2"
"1832","1841","1.066","20200","0.6","false","0.053832","20200","1.0259750749208623","0.055230290233139856","0.2"
"1842","1851","1.066","27400","0.6","false","0.053832","27400","1.0332692591443213","0.0556229507582571","0.2"
"1852","1861","1.066","29000","0.6","false","0.053832","29000","1.0075983817502558","0.05424103608637977","0.2"
"1862","1871","1.066","31500","0.6","false","0.053832","31500","1.0105468457659872","0.05439975780127462","0.2"
"1872","1881","1.066","35000","0.6","false","0.053832","35000","1.0111704186900223","0.05443332597892128","0.2"
"1882","1891","1.066","37800","0.6","false","0.053832","37800","1.0093727110108193","0.05433655177913442","0.2"
"1892","1901","1.066","38200","0.6","false","0.053832","38200","1.0019436578982461","0.05393663099197838","0.2"
"1902","1911","1.066","42100","0.6","false","0.053832","42100","1.0107653506042964","0.05441152035373048","0.2"
"1912","1921","1.066","44000","0.6","false","0.053832","44000","1.0058624534062583","0.054147587591765696","0.2"
"1922","1931","1.066","45000","0.6","false","0.053832","45000","1.003550307490842","0.05402312015284701","0.2"
"1932","1941","1.066","50200","0.6","false","0.053832","50200","1.0120914210302652","0.05448290537690123","0.2"
"1942","1951","1.066","52800","0.6","false","0.053832","52800","1.0071079452138032","0.05421463490674945","0.2"
"1952","1961","1.066","55900","0.6","false","0.053832","55900","1.0060732237262333","0.05415893377963059","0.2"
"1962","1971","1.066","56300","0.6","false","0.053832","56300","1.000862017907749","0.05387840414800994","0.2"
"1972","1981","1.066","57400","0.6","false","0.053832","57400","1.0024389083431375","0.053963291313927776","0.2"
"1982","1991","1.066","59300","0.6","false","0.053832","59300","1.0028843304550623","0.05398726927705691","0.2"
"1992","2001","1.066","63200","0.6","false","0.053832","63200","1.0064854063893018","0.054181122396748896","0.2"
"2002","2011","1.066","65600","0.6","false","0.053832","65600","1.0034876535624304","0.05401974736657275","0.2"
"2012","2015","1.066","66270","0.6","false","0.053832","66270","1.0035855674093663","0.054025018264781004","0.2"
