"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","7.32E-4","150","7.8071420281325885","0.005714827964593055"
"1","43","1.066","200","0.6","false","7.32E-4","200","1.1490172598447659","8.410806342063686E-4"
"44","200","1.066","450","0.6","false","7.32E-4","450","1.166920103353905","8.541855156550584E-4"
"201","410","1.066","300","0.6","false","7.32E-4","300","1.1047715886671965","8.086928029043878E-4"
"411","430","1.066","125","0.6","false","7.32E-4","125","1.0703572076353605","7.835014759890839E-4"
"431","500","1.066","130","0.6","false","7.32E-4","130","1.0998636288628227","8.051001763275862E-4"
"501","750","1.066","130","0.6","false","7.32E-4","130","1.0943967491268403","8.010984203608471E-4"
"751","950","1.066","140","0.6","false","7.32E-4","140","1.088497451145631","7.967801342386019E-4"
"951","1066","1.066","150","0.6","false","7.32E-4","150","1.085321191387123","7.944551120953741E-4"
"1067","1086","1.066","200","0.6","false","7.32E-4","200","1.1372789012301951","8.324881557005029E-4"
"1087","1190","1.066","370","0.6","false","7.32E-4","370","1.1194822912286873","8.19461037179399E-4"
"1191","1220","1.066","480","0.6","false","7.32E-4","480","1.0962157761973013","8.024299481764245E-4"
"1221","1250","1.066","500","0.6","false","7.32E-4","500","1.0844103292608471","7.937883610189401E-4"
"1251","1279","1.066","530","0.6","false","7.32E-4","530","1.0796138879353572","7.902773659686815E-4"
"1280","1290","1.066","570","0.6","false","7.32E-4","570","1.0941058412608031","8.008854758029079E-4"
"1291","1315","1.066","560","0.6","false","7.32E-4","560","1.0752252027539242","7.870648484158726E-4"
"1316","1325","1.066","500","0.6","false","7.32E-4","500","1.0725675322370325","7.851194335975078E-4"
"1326","1348","1.066","570","0.6","false","7.32E-4","570","1.0877054211467982","7.962003682794564E-4"
"1349","1351","1.066","300","0.6","true","7.32E-4","300","0.9007985621679024","6.593845475069046E-4"
"1352","1377","1.066","300","0.6","false","7.32E-4","300","1.0740286624664408","7.861889809254347E-4"
"1378","1400","1.066","250","0.6","false","7.32E-4","250","1.0631938750556233","7.782579165407163E-4"
"1401","1430","1.066","240","0.6","false","7.32E-4","240","1.081599653097684","7.917309460675046E-4"
"1431","1450","1.066","230","0.6","false","7.32E-4","230","1.0849900672980148","7.942127292621469E-4"
"1451","1490","1.066","260","0.6","false","7.32E-4","260","1.0847062892597374","7.940050037381278E-4"
"1491","1522","1.066","280","0.6","false","7.32E-4","280","1.0818956302839307","7.919476013678372E-4"
"1523","1541","1.066","340","0.6","false","7.32E-4","340","1.1021031456687471","8.067395026295229E-4"
"1542","1560","1.066","380","0.6","false","7.32E-4","380","1.0775921748983364","7.887974720255822E-4"
"1561","1600","1.066","500","0.6","false","7.32E-4","500","1.1002855718739049","8.054090386116984E-4"
"1601","1650","1.066","630","0.6","false","7.32E-4","630","1.0889915850200682","7.971418402346899E-4"
"1651","1700","1.066","620","0.6","false","7.32E-4","620","1.077288305624304","7.885750397169907E-4"
"1701","1801","1.066","1130","0.6","false","7.32E-4","1130","1.1124771555185502","8.143332778395788E-4"
"1802","1811","1.066","1250","0.6","false","7.32E-4","1250","1.0861754176090819","7.950804056898479E-4"
"1812","1821","1.066","1340","0.6","false","7.32E-4","1340","1.076119075526004","7.877191632850349E-4"
"1822","1831","1.066","1580","0.6","false","7.32E-4","1580","1.1017231665417693","8.064613579085751E-4"
"1832","1841","1.066","2020","0.6","false","7.32E-4","2020","1.1490490010865413","8.411038687953482E-4"
"1842","1851","1.066","2740","0.6","false","7.32E-4","2740","1.1656063169007307","8.532238239713349E-4"
"1852","1861","1.066","2900","0.6","false","7.32E-4","2900","1.0779075523168178","7.890283282959106E-4"
"1862","1871","1.066","3150","0.6","false","7.32E-4","3150","1.0827493305933609","7.925725099943401E-4"
"1872","1881","1.066","3500","0.6","false","7.32E-4","3500","1.0893021740167683","7.973691913802744E-4"
"1882","1891","1.066","3780","0.6","false","7.32E-4","3780","1.0795536783711706","7.902332925676968E-4"
"1892","1901","1.066","3820","0.6","false","7.32E-4","3820","1.0723793700175963","7.849816988528805E-4"
"1902","1911","1.003","4210","0.13","false","7.32E-4","4210","1.1021621469679432","8.067826915805345E-4"
"1912","1921","1.003","4400","0.13","false","7.32E-4","4400","1.0595050104558825","7.75557667653706E-4"
"1922","1931","1.003","4500","0.13","false","7.32E-4","4500","1.0623487150595872","7.776392594236178E-4"
"1932","1941","1.003","5020","0.13","false","7.32E-4","5020","1.1279039553467194","8.256256953137986E-4"
"1942","1951","1.003","5280","0.13","false","7.32E-4","5280","1.0952124031240442","8.016954790868003E-4"
"1952","1961","1.003","5590","0.13","false","7.32E-4","5590","1.0927275815755277","7.998765897132863E-4"
"1962","1971","1.003","5630","0.13","false","7.32E-4","5630","1.0743552696024907","7.864280573490232E-4"
"1972","1981","1.003","5740","0.13","false","7.32E-4","5740","1.0742299215172464","7.863363025506244E-4"
"1982","1991","1.003","5930","0.13","false","7.32E-4","5930","1.0774822009138136","7.887169710689115E-4"
"1992","2001","1.003","6320","0.13","false","7.32E-4","6320","1.0922332198718205","7.995147169461727E-4"
"2002","2011","1.003","6560","0.13","false","7.32E-4","6560","1.079654104786563","7.903068047037642E-4"
"2012","2015","1.003","6627","0.13","false","7.32E-4","6627","1.0754870829946195","7.872565447520615E-4"
