Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,1.5199999999999998E-4,1400000,7.476391745509395,0.0011364115453174279
1,43,1.066,2000000,0.6,false,1.5199999999999998E-4,2000000,1.101756770361422,1.6746702909493612E-4
44,200,1.066,4400000,0.6,false,1.5199999999999998E-4,4400000,1.0226662069002854,1.5544526344884337E-4
201,410,1.066,3000000,0.6,false,1.5199999999999998E-4,3000000,1.0170597302839683,1.5459307900316316E-4
411,430,1.066,1200000,0.6,false,1.5199999999999998E-4,1200000,1.0187184873949577,1.5484521008403356E-4
431,500,1.066,1200000,0.6,false,1.5199999999999998E-4,1200000,1.1721428571428578,1.7816571428571436E-4
501,750,1.066,1200000,0.6,false,1.6999999999999999E-4,1200000,4.517683116883151,7.680061298701356E-4
751,950,1.066,1400000,0.6,false,1.6999999999999999E-4,1400000,1.025180555555555,1.7428069444444435E-4
951,1066,1.066,1400000,0.6,false,1.6999999999999999E-4,1400000,0.9664990421455939,1.6430483716475095E-4
1067,1086,1.066,2000000,0.6,false,1.6999999999999999E-4,2000000,1.1439213564213564,1.9446663059163058E-4
1087,1190,1.066,3600000,0.6,false,1.6999999999999999E-4,3600000,0.9471119348296695,1.610090289210438E-4
1191,1220,1.066,4800000,0.6,false,1.6999999999999999E-4,4800000,0.9058838268447015,1.5400025056359925E-4
1221,1250,1.066,5000000,0.6,false,1.6999999999999999E-4,5000000,0.8861197006810186,1.5064034911577316E-4
1251,1279,1.066,5200000,0.6,false,1.6999999999999999E-4,5200000,0.8696249271482178,1.47836237615197E-4
1280,1290,1.066,5600000,0.6,false,1.6999999999999999E-4,5600000,0.8687035091295915,1.4767959655203055E-4
1291,1315,1.066,5600000,0.6,false,1.6999999999999999E-4,5600000,0.874232304065321,1.4861949169110456E-4
1316,1325,1.066,5000000,0.6,false,1.6999999999999999E-4,5000000,0.8561609928406367,1.4554736878290823E-4
1326,1348,1.066,5600000,0.6,false,1.6999999999999999E-4,5600000,0.8968823829417013,1.524700051000892E-4
1349,1351,1.066,3000000,0.6,true,1.6999999999999999E-4,3000000,0.7135255417956655,1.2129934210526312E-4
1352,1377,1.066,3000000,0.6,false,1.6999999999999999E-4,3000000,0.8983846068791892,1.5272538316946215E-4
1378,1400,1.066,2400000,0.6,false,1.6999999999999999E-4,2400000,0.8713477060024376,1.4812911002041437E-4
1401,1430,1.066,2400000,0.6,false,1.6999999999999999E-4,2400000,0.900860805860806,1.53146336996337E-4
1431,1450,1.066,2200000,0.6,false,1.6999999999999999E-4,2200000,0.9119139194139194,1.5502536630036627E-4
1451,1490,1.066,2600000,0.6,false,1.6999999999999999E-4,2600000,0.9881387933961466,1.6798359487734491E-4
1491,1522,1.066,2800000,0.6,false,1.6999999999999999E-4,2800000,0.9779165644297225,1.6624581595305282E-4
1523,1541,1.066,3400000,0.6,false,1.6999999999999999E-4,3400000,0.9907527760020836,1.684279719203542E-4
1542,1560,1.066,3800000,0.6,false,1.6999999999999999E-4,3800000,0.9155241529383403,1.5563910599951784E-4
1561,1600,1.066,5000000,0.6,false,1.6999999999999999E-4,5000000,0.9082979826803831,1.5441065705566512E-4
1601,1650,1.066,6200000,0.6,false,1.6999999999999999E-4,6200000,0.9041634614733688,1.537077884504727E-4
1651,1700,1.066,6200000,0.6,false,1.6999999999999999E-4,6200000,0.8847197184089975,1.5040235212952958E-4
1701,1801,1.066,11200000,0.6,false,1.6999999999999999E-4,11200000,0.9061754722719211,1.5404983028622656E-4
1802,1811,1.066,12400000,0.6,false,1.6999999999999999E-4,12400000,0.8808767758373923,1.4974905189235667E-4
1812,1821,1.066,13400000,0.6,false,1.6999999999999999E-4,13400000,0.8863329726301368,1.5067660534712324E-4
1822,1831,1.066,15800000,0.6,false,1.6999999999999999E-4,15800000,0.8972811647506539,1.5253779800761114E-4
1832,1841,1.066,20200000,0.6,false,1.6999999999999999E-4,20200000,0.92916802148859,1.579585636530603E-4
1842,1851,1.066,27400000,0.6,false,1.6999999999999999E-4,27400000,0.9486326927978889,1.612675577756411E-4
1852,1861,1.066,29000000,0.6,false,1.6999999999999999E-4,29000000,0.8847233624777969,1.5040297162122545E-4
1862,1871,1.066,31400000,0.6,false,1.6999999999999999E-4,31400000,0.8804144612065039,1.4967045840510564E-4
1872,1881,1.066,35000000,0.6,false,1.6999999999999999E-4,35000000,0.9028374252996562,1.5348236230094153E-4
1882,1891,1.066,37800000,0.6,false,1.6999999999999999E-4,37800000,0.8812430702619926,1.4981132194453873E-4
1892,1901,1.066,38200000,0.6,false,1.6999999999999999E-4,38200000,0.8766811091182907,1.490357885501094E-4
1902,1911,1.003,42000000,0.13,false,1.6999999999999999E-4,42000000,0.8844038592636749,1.5034865607482472E-4
1912,1921,1.003,44000000,0.13,false,1.6999999999999999E-4,44000000,0.8677305193321138,1.4751418828645932E-4
1922,1931,1.003,45000000,0.13,false,1.6999999999999999E-4,45000000,0.86218729160276,1.4657183957246918E-4
1932,1941,1.003,50200000,0.13,false,1.6999999999999999E-4,50200000,0.9255309481804757,1.5734026119068085E-4
1942,1951,1.003,52800000,0.13,false,1.6999999999999999E-4,52800000,0.8948979681351539,1.5213265458297615E-4
1952,1961,1.003,55800000,0.13,false,1.6999999999999999E-4,55800000,0.8933321751075143,1.518664697682774E-4
1962,1971,1.003,56200000,0.13,false,1.6999999999999999E-4,56200000,0.8805276246140421,1.4968969618438715E-4
1972,1981,1.003,57400000,0.13,false,1.6999999999999999E-4,57400000,0.8783963611668231,1.493273813983599E-4
1982,1991,1.003,59200000,0.13,false,1.6999999999999999E-4,59200000,0.8931920552561392,1.5184264939354365E-4
1992,2001,1.003,63200000,0.13,false,1.6999999999999999E-4,63200000,0.9110389450420653,1.5487662065715108E-4
2002,2011,1.003,65600000,0.13,false,1.6999999999999999E-4,65600000,0.8870829558527019,1.508041024949593E-4
2012,2015,1.003,66200000,0.13,false,1.6999999999999999E-4,66200000,0.9007249250837299,1.5312323726423408E-4
