"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","1.83E-4","15","90","41","9.02283429980589","0.001651178676864478","150.0"
"1","43","20","0.35","false","2.13E-4","20","90","41","7.341179692053077","0.0015636712744073055","150.0"
"44","200","45","0.35","false","2.13E-4","45","90","41","0.9282479739346051","1.977168184480709E-4","150.0"
"201","410","30","0.35","false","1.59E-4","30","90","41","3.984106196368996","6.334728852226703E-4","150.0"
"411","430","12","0.35","false","1.59E-4","12","90","41","1.1892376867983274","1.8908879220093405E-4","150.0"
"431","500","13","0.35","false","2.1999999999999998E-4","13","90","41","5.984551053057382","0.001316601231672624","150.0"
"501","750","13","0.35","false","2.1999999999999998E-4","13","90","41","0.9041841598202266","1.9892051516044983E-4","150.0"
"751","950","14","0.35","false","2.1999999999999998E-4","14","90","41","0.9397967596129354","2.0675528711484577E-4","150.0"
"951","1066","15","0.35","false","1.92E-4","15","90","41","5.210708064917656","0.00100045594846419","150.0"
"1067","1086","20","0.35","false","1.92E-4","20","90","41","1.0694260467344832","2.0532980097302076E-4","150.0"
"1087","1190","37","0.35","false","1.92E-4","37","90","41","1.0476060078281748","2.0114035350300957E-4","150.0"
"1191","1220","48","0.35","false","1.92E-4","48","90","41","1.0166906640512252","1.9520460749783525E-4","150.0"
"1221","1250","50","0.35","false","1.92E-4","50","90","41","1.0040139452334176","1.9277067748481617E-4","150.0"
"1251","1279","53","0.35","false","1.92E-4","53","90","41","1.0150939906015959","1.9489804619550642E-4","150.0"
"1280","1290","57","0.35","false","1.92E-4","57","90","41","1.019732278655697","1.9578859750189384E-4","150.0"
"1291","1315","56","0.35","false","1.92E-4","56","90","41","1.0137381047818805","1.9463771611812107E-4","150.0"
"1316","1325","50","0.35","false","1.92E-4","50","90","41","0.9795681473777902","1.8807708429653572E-4","150.0"
"1326","1348","57","0.35","false","1.92E-4","57","90","41","1.0084310995266235","1.936187711091117E-4","150.0"
"1349","1351","30","0.35","true","1.92E-4","30","90","41","0.7935726014543748","1.5236593947923996E-4","150.0"
"1352","1377","30","0.35","false","1.92E-4","30","90","41","1.0135350119846787","1.945987223010583E-4","150.0"
"1378","1400","25","0.35","false","1.92E-4","25","90","41","1.016206472881885","1.9511164279332192E-4","150.0"
"1401","1430","24","0.35","false","1.92E-4","24","90","41","1.0061946641656787","1.931893755198103E-4","150.0"
"1431","1450","23","0.35","false","1.92E-4","23","90","41","1.0635059814327548","2.0419314843508893E-4","150.0"
"1451","1490","26","0.35","false","1.92E-4","26","90","41","1.0213577400436669","1.9610068608838405E-4","150.0"
"1491","1522","28","0.35","false","1.92E-4","28","90","41","1.0414837900227236","1.9996488768436293E-4","150.0"
"1523","1541","34","0.35","false","1.92E-4","34","90","41","1.0178980776003783","1.9543643089927265E-4","150.0"
"1542","1560","38","0.35","false","1.92E-4","38","90","41","1.023698837545968","1.9655017680882583E-4","150.0"
"1561","1600","50","0.31","false","1.92E-4","50","90","41","1.018096811297927","1.9547458776920197E-4","150.0"
"1601","1650","63","0.29","false","1.92E-4","63","90","41","1.0391722847808618","1.9952107867792545E-4","150.0"
"1651","1700","62","0.26","false","1.92E-4","62","90","41","1.0297464798149","1.9771132412446082E-4","150.0"
"1701","1801","113","0.25","false","1.92E-4","113","90","41","1.029986272089334","1.9775736424115214E-4","150.0"
"1802","1811","125","0.28","false","1.92E-4","125","90","41","1.0435374229321568","2.003591852029741E-4","150.0"
"1812","1821","134","0.28","false","1.92E-4","134","90","41","1.0136440758937286","1.946196625715959E-4","150.0"
"1822","1831","158","0.26","false","1.92E-4","158","90","41","1.0390222765861832","1.994922771045472E-4","150.0"
"1832","1841","202","0.25","false","1.92E-4","202","90","41","1.0449574016466763","2.0063182111616185E-4","150.0"
"1842","1851","274","0.22","false","1.92E-4","274","90","41","1.0684147268548276","2.0513562755612692E-4","150.0"
"1852","1861","290","0.25","false","1.92E-4","290","90","41","1.0253767344316822","1.9687233301088298E-4","150.0"
"1862","1871","315","0.22","false","1.92E-4","315","90","41","1.0385294790136501","1.9939765997062083E-4","150.0"
"1872","1881","350","0.21","false","1.92E-4","350","90","41","1.0344137889137632","1.9860744747144255E-4","150.0"
"1882","1891","378","0.19","false","1.92E-4","378","90","41","1.0329976289021978","1.9833554474922197E-4","150.0"
"1892","1901","382","0.18","false","1.92E-4","382","90","41","1.0266491553309707","1.9711663782354637E-4","150.0"
"1902","1911","421","0.13","false","1.92E-4","421","90","41","1.0496930689579802","2.0154106923993222E-4","150.0"
"1912","1921","440","0.14","false","1.92E-4","440","90","41","1.0422259412931496","2.0010738072828474E-4","150.0"
"1922","1931","450","0.12","false","1.92E-4","450","90","41","1.0439675666394055","2.0044177279476586E-4","150.0"
"1932","1941","502","0.07","false","1.92E-4","502","90","41","1.090653203657736","2.0940541510228533E-4","150.0"
"1942","1951","528","0.08","false","1.92E-4","528","90","41","1.072585873505043","2.0593648771296828E-4","150.0"
"1952","1961","559","0.09","false","1.92E-4","559","90","41","1.0598858095641897","2.034980754363244E-4","150.0"
"1962","1971","563","0.1","false","1.92E-4","563","90","41","1.0560080836191754","2.027535520548817E-4","150.0"
"1972","1981","574","0.07","false","1.92E-4","574","90","41","1.0655449188901946","2.0458462442691738E-4","150.0"
"1982","1991","593","0.1","false","1.92E-4","593","90","41","1.060756550230678","2.0366525764429016E-4","150.0"
