"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","3.0","1500","90","41","6.53133745571788","19.59401236715364","0.0075","false"
"1","43","2000","0.35","false","2.25","2000","90","41","5.049051873302973","11.360366714931688","0.0075","false"
"44","200","4500","0.35","false","1.40625","4500","90","41","5.721296322058887","8.04557295289531","0.0075","false"
"201","410","3000","0.35","false","1.054687","3000","90","41","4.660099113015654","4.914945953209141","0.0075","false"
"411","430","1250","0.35","false","1.054687","1250","90","41","1.968544558761161","2.0761983550461323","0.0075","false"
"431","500","1300","0.35","false","1.054687","1300","90","41","2.0363133020539874","2.1476731676034135","0.0075","false"
"501","750","1300","0.35","false","1.054687","1300","90","41","2.005586680635487","2.1152661994393998","0.0075","false"
"751","950","1400","0.35","false","1.054687","1400","90","41","1.986942736074314","2.0956026734820097","0.0075","false"
"951","1066","1500","0.35","false","1.054687","1500","90","41","1.980846290850802","2.08917283195856","0.0075","false"
"1067","1086","2000","0.35","false","1.054687","2000","90","41","2.005590922604779","2.1152706733892663","0.0075","false"
"1087","1190","3700","0.35","false","1.054687","3700","90","41","1.9876175072754982","2.0963143458958733","0.0075","false"
"1191","1220","4800","0.35","false","1.054687","4800","90","41","1.9897269091459469","2.0985391046264112","0.0075","false"
"1221","1250","5000","0.35","false","1.054687","5000","90","41","1.9764720459781229","2.0845593727565284","0.0075","false"
"1251","1279","5300","0.35","false","1.054687","5300","90","41","1.9767809411449118","2.0848851604733034","0.0075","false"
"1280","1290","5700","0.35","false","1.054687","5700","90","41","1.9844954471677665","2.09302154968703","0.0075","false"
"1291","1315","5600","0.35","false","1.054687","5600","90","41","1.9725167400449846","2.0803877630078245","0.0075","false"
"1316","1325","5000","0.35","false","1.054687","5000","90","41","1.9450699254916297","2.0514399645069905","0.0075","false"
"1326","1348","5700","0.35","false","1.054687","5700","90","41","1.9840090548262412","2.0925085580075238","0.0075","false"
"1349","1351","3000","0.35","true","1.054687","3000","90","41","1.6179358638422343","1.7064159224281745","0.0075","false"
"1352","1377","3000","0.35","false","1.054687","3000","90","41","1.9721058482841738","2.07995440080929","0.0075","false"
"1378","1400","2500","0.35","false","1.054687","2500","90","41","1.9543154064824548","2.0611910531167608","0.0075","false"
"1401","1430","2400","0.35","false","1.054687","2400","90","41","1.9673085054723098","2.074894705711074","0.0075","false"
"1431","1450","2300","0.35","false","1.054687","2300","90","41","1.9669328803134944","2.0744985387391983","0.0075","false"
"1451","1490","2600","0.35","false","1.054687","2600","90","41","1.9777261839445075","2.085882095765881","0.0075","false"
"1491","1522","2800","0.35","false","1.054687","2800","90","41","1.9735046598179322","2.081429709149395","0.0075","false"
"1523","1541","3400","0.35","false","1.054687","3400","90","41","1.9879492835224046","2.0966642659903942","0.0075","false"
"1542","1560","3800","0.35","false","1.054687","3800","90","41","1.979501571037836","2.087754573453182","0.0075","false"
"1561","1600","5000","0.31","false","1.054687","5000","90","41","1.9883453205540207","2.0970819610991582","0.0075","false"
