"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","1.0","1500","6.420394328648125","6.420394328648125","1.0"
"1","43","1.066","2000","0.6","false","1.0","2000","1.0961454079157522","1.0961454079157522","1.0"
"44","200","1.066","4500","0.6","false","1.0","4500","1.029662704987924","1.029662704987924","1.0"
"201","410","1.066","3000","0.6","false","1.0","3000","1.0180093956407676","1.0180093956407676","1.0"
"411","430","1.066","1250","0.6","false","1.0","1250","0.9748671602990667","0.9748671602990667","1.0"
"431","500","1.066","1300","0.6","false","1.0","1300","1.0190866040273994","1.0190866040273994","1.0"
"501","750","1.066","1300","0.6","false","1.0","1300","1.0195103912921986","1.0195103912921986","1.0"
"751","950","1.066","1400","0.6","false","1.0","1400","1.0198931407138447","1.0198931407138447","1.0"
"951","1066","1.066","1500","0.6","false","1.0","1500","1.02114758637459","1.02114758637459","1.0"
"1067","1086","1.066","2000","0.6","false","1.0","2000","1.0343156271726057","1.0343156271726057","1.0"
"1087","1190","1.066","3700","0.6","false","1.0","3700","1.024758305175698","1.024758305175698","1.0"
"1191","1220","1.066","4800","0.6","false","1.0","4800","1.0278634374546565","1.0278634374546565","1.0"
"1221","1250","1.066","5000","0.6","false","1.0","5000","1.02107860249806","1.02107860249806","1.0"
"1251","1279","1.066","5300","0.6","false","1.0","5300","1.021787361062688","1.021787361062688","1.0"
"1280","1290","1.066","5700","0.6","false","1.0","5700","1.0264593473111931","1.0264593473111931","1.0"
"1291","1315","1.066","5600","0.6","false","1.0","5600","1.018898540170844","1.018898540170844","1.0"
"1316","1325","1.066","5000","0.6","false","1.0","5000","1.0081135232472231","1.0081135232472231","1.0"
"1326","1348","1.066","5700","0.6","false","1.0","5700","1.0254502914818608","1.0254502914818608","1.0"
"1349","1351","1.066","3000","0.6","true","1.0","3000","0.8306244773438493","0.8306244773438493","1.0"
"1352","1377","1.066","3000","0.6","false","1.0","3000","1.0191561912518141","1.0191561912518141","1.0"
"1378","1400","1.066","2500","0.6","false","1.0","2500","1.0136976303736664","1.0136976303736664","1.0"
"1401","1430","1.066","2400","0.6","false","1.0","2400","1.0170854548074348","1.0170854548074348","1.0"
"1431","1450","1.066","2300","0.6","false","1.0","2300","1.0151961871074202","1.0151961871074202","1.0"
"1451","1490","1.066","2600","0.6","false","1.0","2600","1.0236532265757303","1.0236532265757303","1.0"
"1491","1522","1.066","2800","0.6","false","1.0","2800","1.0204166702246946","1.0204166702246946","1.0"
"1523","1541","1.066","3400","0.6","false","1.0","3400","1.0314616942254593","1.0314616942254593","1.0"
"1542","1560","1.066","3800","0.6","false","1.0","3800","1.0267244633522414","1.0267244633522414","1.0"
"1561","1600","1.066","5000","0.6","false","1.0","5000","1.0267371895592752","1.0267371895592752","1.0"
"1601","1650","1.066","6300","0.6","false","1.0","6300","1.024392119181596","1.024392119181596","1.0"
"1651","1700","1.066","6200","0.6","false","1.0","6200","1.0195819590326392","1.0195819590326392","1.0"
"1701","1801","1.066","11300","0.6","false","1.0","11300","1.0253249779606635","1.0253249779606635","1.0"
"1802","1811","1.066","12500","0.6","false","1.0","12500","1.0299001299795791","1.0299001299795791","1.0"
"1812","1821","1.066","13400","0.6","false","1.0","13400","1.0253152293583025","1.0253152293583025","1.0"
"1822","1831","1.066","15800","0.6","false","1.0","15800","1.0355474569187568","1.0355474569187568","1.0"
"1832","1841","1.066","20200","0.6","false","1.0","20200","1.0459649015292687","1.0459649015292687","1.0"
"1842","1851","1.066","27400","0.6","false","1.0","27400","1.0509612145024014","1.0509612145024014","1.0"
"1852","1861","1.066","29000","0.6","false","1.0","29000","1.0259706560622435","1.0259706560622435","1.0"
"1862","1871","1.066","31500","0.6","false","1.0","31500","1.028409790643614","1.028409790643614","1.0"
"1872","1881","1.066","35000","0.6","false","1.0","35000","1.031846680962278","1.031846680962278","1.0"
"1882","1891","1.066","37800","0.6","false","1.0","37800","1.0267971220827898","1.0267971220827898","1.0"
"1892","1901","1.066","38200","0.6","false","1.0","38200","1.0207239410875277","1.0207239410875277","1.0"
"1902","1911","1.066","42100","0.6","false","1.0","42100","1.0299143558303068","1.0299143558303068","1.0"
"1912","1921","1.066","44000","0.6","false","1.0","44000","1.0232302609259114","1.0232302609259114","1.0"
"1922","1931","1.066","45000","0.13","false","1.0","45000","1.076807769884778","1.076807769884778","1.0"
"1932","1941","1.066","50200","0.13","false","1.0","50200","1.0765216112061222","1.0765216112061222","1.0"
"1942","1951","1.066","52800","0.13","false","1.0","52800","1.0802177963396118","1.0802177963396118","1.0"
"1952","1961","1.066","55900","0.13","false","1.0","55900","1.1321591259983188","1.1321591259983188","1.0"
"1962","1971","1.066","56300","0.13","false","4.5","56300","2.480083058917334","11.160373765128003","1.0"
"1972","1981","1.066","57400","0.13","false","4.5","57400","1.2479119639136176","5.615603837611279","1.0"
"1982","1991","1.066","59300","0.13","false","4.5","59300","1.182859592153347","5.322868164690061","1.0"
"1992","2001","1.066","63200","0.13","false","4.5","63200","1.1749216871633","5.28714759223485","1.0"
"2002","2011","1.066","65600","0.13","false","4.5","65600","1.14030970539399","5.131393674272955","1.0"
"2012","2015","1.066","66270","0.13","false","4.5","66270","1.1012236190736129","4.955506285831258","1.0"
