"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","4.0","15","1.283059789115153","5.132239156460612"
"1","43","1.066","20","0.6","false","6.0","20","2.335377943804693","14.012267662828158"
"44","200","1.066","45","0.6","false","4.5","45","3.6892731582289477","16.601729212030264"
"201","410","1.066","30","0.6","false","4.5","30","1.1000141526315443","4.95006368684195"
"411","430","1.066","12","0.6","false","5.375","12","2.8366746488805274","15.247126237732836"
"431","500","1.066","13","0.6","false","5.375","13","0.9363325330132056","5.03278736494598"
"501","750","1.066","13","0.6","false","5.375","13","0.9428947967065604","5.068059532297762"
"751","950","1.066","14","0.6","false","5.375","14","0.9715683117192409","5.22217967549092"
"951","1066","1.066","15","0.6","false","5.375","15","0.9328304169985727","5.0139634913673286"
"1067","1086","1.066","20","0.6","false","5.375","20","1.0191864392244658","5.478127110831504"
"1087","1190","1.066","37","0.6","false","5.375","37","0.964224392090061","5.182706107484078"
"1191","1220","1.066","48","0.6","false","5.375","48","0.945717594301186","5.083232069368875"
"1221","1250","1.066","50","0.6","false","5.375","50","0.9299296471280961","4.998371853313516"
"1251","1279","1.066","53","0.6","false","5.375","53","0.9318682367895683","5.00879177274393"
"1280","1290","1.066","57","0.6","false","5.375","57","0.9134013638128754","4.909532330494205"
"1291","1315","1.066","56","0.6","false","5.375","56","0.9278714710335967","4.9873091568055825"
"1316","1325","1.066","50","0.6","false","5.375","50","0.9226923767614007","4.959471525092529"
"1326","1348","1.066","57","0.6","false","5.375","57","0.9350228660260332","5.025747904889928"
"1349","1351","1.066","30","0.6","true","5.375","30","0.7922776148582601","4.258492179863148"
"1352","1377","1.066","30","0.6","false","5.375","30","0.9395203840032246","5.049922064017332"
"1378","1400","1.066","25","0.6","false","5.375","25","0.9372950540491771","5.0379609155143275"
"1401","1430","1.066","24","0.6","false","5.375","24","0.9678233309749131","5.2020504039901585"
"1431","1450","1.066","23","0.6","false","5.375","23","0.9456231638731639","5.082724505818256"
"1451","1490","1.066","26","0.6","false","5.375","26","0.946136977460392","5.0854862538496075"
"1491","1522","1.066","28","0.6","false","5.375","28","0.9251898970387751","4.972895696583416"
"1523","1541","1.066","34","0.6","false","5.375","34","0.9714603418765126","5.221599337586255"
"1542","1560","1.066","38","0.6","false","5.375","38","0.9376641661801529","5.039944893218322"
"1561","1600","1.066","50","0.6","false","5.375","50","0.9455703844360596","5.08244081634382"
"1601","1650","1.066","63","0.6","false","5.375","63","0.9313993171886336","5.006271329888905"
"1651","1700","1.066","62","0.6","false","5.375","62","0.9202497422893423","4.946342364805215"
"1701","1801","1.066","113","0.6","false","5.375","113","0.9449840912778709","5.079289490618556"
"1802","1811","1.066","125","0.6","false","5.375","125","0.9365980320472985","5.034214422254229"
"1812","1821","1.066","134","0.6","false","5.375","134","0.9287072620018033","4.991801533259693"
"1822","1831","1.066","158","0.6","false","5.375","158","0.9371685341671568","5.037280871148468"
"1832","1841","1.066","202","0.6","false","5.375","202","0.9556950808506282","5.1368610595721265"
"1842","1851","1.066","274","0.6","false","5.375","274","0.999502308126182","5.372324906178228"
"1852","1861","1.066","290","0.6","false","5.375","290","0.920135515554394","4.945728396104868"
"1862","1871","1.066","315","0.6","false","5.375","315","0.9302806891738955","5.000258704309688"
"1872","1881","1.066","350","0.6","false","5.375","350","0.9141024390808598","4.913300610059621"
"1882","1891","1.066","378","0.6","false","5.375","378","0.9261900519575066","4.9782715292715976"
"1892","1901","1.066","382","0.6","false","5.375","382","0.9166577361161516","4.927035331624315"
"1902","1911","1.003","421","0.13","false","5.375","421","0.9338556689590115","5.019474220654687"
"1912","1921","1.003","440","0.13","false","5.375","440","0.9044829662335603","4.861595943505386"
"1922","1931","1.003","450","0.13","false","5.375","450","0.9051659726771293","4.86526710313957"
"1932","1941","1.003","502","0.13","false","5.375","502","0.954175429858249","5.128692935488088"
"1942","1951","1.003","528","0.13","false","5.375","528","0.9344724411412194","5.0227893711340545"
"1952","1961","1.003","559","0.13","false","5.375","559","0.9257692229984216","4.9760095736165155"
"1962","1971","1.003","563","0.13","false","5.375","563","0.9186421115488976","4.937701349575325"
"1972","1981","1.003","574","0.13","false","5.375","574","0.9203027587521856","4.946627328292998"
"1982","1991","1.003","593","0.13","false","5.375","593","0.9215667079195644","4.9534210550676585"
"1992","2001","1.003","632","0.13","false","5.375","632","0.9283104238934072","4.989668528427064"
"2002","2011","1.003","656","0.13","false","5.375","656","0.9256173233726759","4.975193113128133"
"2012","2015","1.003","662","0.13","false","5.375","662","0.9198086662005536","4.943971580827975"
