"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.0","15","0.55","false","5.0","15","90","41","3.1904611825480345","15.952305912740172","150.0"
"1","43","1.0","20","0.55","false","5.0","20","90","41","0.9654850076883702","4.827425038441851","150.0"
"44","200","1.0","45","0.55","false","5.0","45","90","41","0.9423252241014961","4.71162612050748","150.0"
"201","410","1.0","30","0.55","false","5.0","30","90","41","0.939585112490773","4.697925562453865","150.0"
"411","430","1.0","12","0.55","false","5.0","12","90","41","0.9158328868597463","4.579164434298732","150.0"
"431","500","1.0","13","0.55","false","5.0","13","90","41","0.9717261310118451","4.858630655059225","150.0"
"501","750","1.0","13","0.55","false","5.0","13","90","41","0.9747421059332825","4.873710529666412","150.0"
"751","950","1.0","14","0.55","false","3.75","14","90","41","6.226793884220329","23.350477065826233","150.0"
"951","1066","1.0","15","0.55","false","5.875","15","90","41","2.183637729837149","12.82887166279325","150.0"
"1067","1086","1.0","20","0.55","false","5.875","20","90","41","0.8373908686454958","4.919671353292288","150.0"
"1087","1190","1.0","37","0.55","false","5.875","37","90","41","0.8110968785832694","4.765194161676708","150.0"
"1191","1220","1.0","48","0.55","false","5.875","48","90","41","0.8085780588138627","4.7503960955314435","150.0"
"1221","1250","1.0","50","0.55","false","5.875","50","90","41","0.8028564732470606","4.716781780326481","150.0"
"1251","1279","1.0","53","0.55","false","5.875","53","90","41","0.814941580465495","4.787781785234784","150.0"
"1280","1290","1.0","57","0.55","false","5.875","57","90","41","0.7966708613558549","4.680441310465647","150.0"
"1291","1315","1.0","56","0.55","false","5.875","56","90","41","0.8114722124209335","4.7673992479729845","150.0"
"1316","1325","1.0","50","0.55","false","5.875","50","90","41","0.7764338314324585","4.561548759665693","150.0"
"1326","1348","1.0","57","0.55","false","5.875","57","90","41","0.8134065303972414","4.778763366083793","150.0"
"1349","1351","1.0","30","0.55","true","5.875","30","90","41","0.6859845346589339","4.030159141121237","150.0"
"1352","1377","1.0","30","0.55","false","4.40625","30","90","41","3.601063674775165","15.867186816978071","150.0"
"1378","1400","1.0","25","0.55","false","4.40625","25","90","41","1.0859771936489426","4.785087009515653","150.0"
"1401","1430","1.0","24","0.55","false","4.40625","24","90","41","1.0967460139656935","4.832537124036337","150.0"
"1431","1450","1.0","23","0.55","false","4.40625","23","90","41","1.0755347261434216","4.739074887069451","150.0"
"1451","1490","1.0","26","0.55","false","4.40625","26","90","41","1.0930293435799725","4.816160545149254","150.0"
"1491","1522","1.0","28","0.55","false","4.40625","28","90","41","1.0603235024838287","4.67205043281937","150.0"
"1523","1541","1.0","34","0.55","false","4.40625","34","90","41","1.0801068957001865","4.759221009178947","150.0"
"1542","1560","1.0","38","0.55","false","4.40625","38","90","41","1.0899616114130997","4.80264335028897","150.0"
"1561","1600","1.0","50","0.55","false","4.40625","50","90","41","1.086815766703334","4.788781972036565","150.0"
"1601","1650","1.0","63","0.55","false","4.40625","63","90","41","1.0705161543591282","4.7169618051449085","150.0"
"1651","1700","1.0","62","0.55","false","4.40625","62","90","41","1.0645235350616276","4.690556826365296","150.0"
"1701","1801","1.0","113","0.28","false","4.40625","113","90","41","1.101175373359326","4.8520539888645295","150.0"
"1802","1811","1.0","125","0.28","false","4.40625","125","90","41","1.1060865878190294","4.873694027577598","150.0"
"1812","1821","1.0","134","0.28","false","4.40625","134","90","41","1.0785123047777494","4.752194842926959","150.0"
"1822","1831","1.0","158","0.26","false","4.40625","158","90","41","1.116052883685938","4.917608018741165","150.0"
"1832","1841","1.0","202","0.25","false","4.40625","202","90","41","1.116124433357165","4.917923284480008","150.0"
"1842","1851","1.0","274","0.22","false","4.40625","274","90","41","1.1669178596577305","5.141731819116875","150.0"
"1852","1861","1.0","290","0.25","false","4.40625","290","90","41","1.0990338248005003","4.842617790527204","150.0"
"1862","1871","1.0","315","0.22","false","4.40625","315","90","41","1.110521932829577","4.893237266530324","150.0"
"1872","1881","1.0","350","0.21","false","4.40625","350","90","41","1.1158997605365646","4.9169333198642375","150.0"
"1882","1891","1.0","378","0.19","false","4.40625","378","90","41","1.109402954230171","4.888306767076691","150.0"
"1892","1901","1.0","382","0.18","false","4.40625","382","90","41","1.112636631129376","4.902555155913813","150.0"
"1902","1911","1.0","421","0.13","false","4.40625","421","90","41","1.1364047147564238","5.007283274395492","150.0"
"1912","1921","1.0","440","0.14","false","4.40625","440","90","41","1.1239885286674411","4.952574454440913","150.0"
"1922","1931","1.0","450","0.12","false","4.40625","450","90","41","1.1183762746254917","4.927845460068573","150.0"
"1932","1941","1.0","502","0.07","false","4.40625","502","90","41","1.1506091865440657","5.069871728209789","150.0"
"1942","1951","1.0","528","0.08","false","4.40625","528","90","41","1.137286472896107","5.011168521198472","150.0"
"1952","1961","1.0","559","0.09","false","4.40625","559","90","41","1.1364715828857384","5.007577912090285","150.0"
"1962","1971","1.0","563","0.1","false","4.40625","563","90","41","1.1341899080725095","4.997524282444495","150.0"
"1972","1981","1.0","574","0.07","false","4.40625","574","90","41","1.1451936459407186","5.046009502426291","150.0"
"1982","1991","1.0","593","0.1","false","4.40625","593","90","41","1.1419926788930885","5.031905241372671","150.0"
"1992","2001","1.0","632","0.09","false","4.40625","632","90","41","1.164889667601295","5.132795097868206","150.0"
"2002","2011","1.0","656","0.09","false","4.40625","656","90","41","1.1653022238364834","5.134612923779505","150.0"
"2012","2015","1.0","662","0.09","false","4.40625","662","90","41","1.1566513476409073","5.096495000542748","150.0"
