"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.0","1500","90","41","3.015975164434235","3.015975164434235","0.00375","false","true"
"-50","0","1500","0.35","false","1.0","1500","90","41","2.269882010884486","2.269882010884486","0.00375","false","true"
"1","43","2000","0.35","false","1.0","2000","90","41","2.2838620334862556","2.2838620334862556","0.00375","false","true"
"44","200","4500","0.35","false","1.0","4500","90","41","2.280653464606625","2.280653464606625","0.00375","false","true"
"201","410","3000","0.35","false","1.0","3000","90","41","2.264873183590996","2.264873183590996","0.00375","false","true"
"411","430","1250","0.35","false","1.0","1250","90","41","2.1660247648389466","2.1660247648389466","0.00375","false","true"
"431","500","1300","0.35","false","1.0","1300","90","41","2.273293919410177","2.273293919410177","0.00375","false","true"
"501","750","1300","0.35","false","1.0","1300","90","41","2.270021525445894","2.270021525445894","0.00375","false","true"
"751","950","1400","0.35","false","1.0","1400","90","41","2.2699235113100644","2.2699235113100644","0.00375","false","true"
"951","1066","1500","0.35","false","1.0","1500","90","41","2.269430777336255","2.269430777336255","0.00375","false","true"
"1067","1086","2000","0.35","false","1.0","2000","90","41","2.2952921996782463","2.2952921996782463","0.00375","false","true"
"1087","1190","3700","0.35","false","1.0","3700","90","41","2.283566452665259","2.283566452665259","0.00375","false","true"
"1191","1220","4800","0.35","false","1.0","4800","90","41","2.2891732575164068","2.2891732575164068","0.00375","false","true"
"1221","1250","5000","0.35","false","1.0","5000","90","41","2.2725120426789833","2.2725120426789833","0.00375","false","true"
"1251","1279","5300","0.35","false","1.0","5300","90","41","2.2757964545808185","2.2757964545808185","0.00375","false","true"
"1280","1290","5700","0.35","false","1.0","5700","90","41","2.2838318928458388","2.2838318928458388","0.00375","false","true"
"1291","1315","5600","0.35","false","1.0","5600","90","41","2.2679721250389813","2.2679721250389813","0.00375","false","true"
"1316","1325","5000","0.35","false","1.0","5000","90","41","2.2452006291407","2.2452006291407","0.00375","false","true"
"1326","1348","5700","0.35","false","1.0","5700","90","41","2.27975674071783","2.27975674071783","0.00375","false","true"
"1349","1351","3000","0.35","true","1.0","3000","90","41","1.8597569315700975","1.8597569315700975","0.00375","false","true"
"1352","1377","3000","0.35","false","1.0","3000","90","41","2.2689837109825834","2.2689837109825834","0.00375","false","true"
"1378","1400","2500","0.35","false","1.0","2500","90","41","2.2515667975398257","2.2515667975398257","0.00375","false","true"
"1401","1430","2400","0.35","false","1.0","2400","90","41","2.268397883163971","2.268397883163971","0.00375","false","true"
"1431","1450","2300","0.35","false","1.0","2300","90","41","2.2652052206852566","2.2652052206852566","0.00375","false","true"
"1451","1490","2600","0.35","false","1.0","2600","90","41","2.27541677984436","2.27541677984436","0.00375","false","true"
"1491","1522","2800","0.35","false","1.0","2800","90","41","2.2739417399309425","2.2739417399309425","0.00375","false","true"
"1523","1541","3400","0.35","false","1.0","3400","90","41","2.2929434373205466","2.2929434373205466","0.00375","false","true"
"1542","1560","3800","0.35","false","1.0","3800","90","41","2.2839938320085316","2.2839938320085316","0.00375","false","true"
"1561","1600","5000","0.31","false","1.0","5000","90","41","2.295697381992685","2.295697381992685","0.00375","false","true"
"1601","1650","6300","0.29","false","1.0","6300","90","41","2.2966529654396193","2.2966529654396193","0.00375","false","true"
"1651","1700","6200","0.26","false","1.0","6200","90","41","2.2928411869629453","2.2928411869629453","0.00375","false","true"
"1701","1801","11300","0.25","false","1.0","11300","90","41","2.3127490304118865","2.3127490304118865","0.00375","false","true"
"1802","1811","12500","0.28","false","1.0","12500","90","41","2.3124124523283953","2.3124124523283953","0.00375","false","true"
"1812","1821","13400","0.28","false","1.0","13400","90","41","2.3078243880815017","2.3078243880815017","0.00375","false","true"
"1822","1831","15800","0.26","false","1.0","15800","90","41","2.3347777704875226","2.3347777704875226","0.00375","false","true"
"1832","1841","20200","0.25","false","1.0","20200","90","41","2.3537959619322573","2.3537959619322573","0.00375","false","true"
"1842","1851","27400","0.22","false","1.0","27400","90","41","2.378007234175174","2.378007234175174","0.00375","false","true"
"1852","1861","29000","0.25","false","1.0","29000","90","41","2.3085896263274255","2.3085896263274255","0.00375","false","true"
