"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","1.25","1500","4.911282079891011","6.139102599863763","0.2"
"1","43","1.066","2000","0.6","false","1.09375","2000","5.245717280252383","5.737503275276044","0.2"
"44","200","1.066","4500","0.6","false","1.09375","4500","0.9718404201959123","1.0629504595892791","0.2"
"201","410","1.066","3000","0.6","false","1.09375","3000","0.9240559919985665","1.010686241248432","0.2"
"411","430","1.066","1250","0.6","false","1.09375","1250","0.884121761963294","0.9670081771473528","0.2"
"431","500","1.066","1300","0.6","false","1.09375","1300","0.9215686804539532","1.0079657442465113","0.2"
"501","750","1.066","1300","0.6","false","0.957031","1300","5.0202161826737886","4.804502513520478","0.2"
"751","950","1.066","1400","0.6","false","0.957031","1400","1.0463090113870646","1.0013501594767737","0.2"
"951","1066","1.066","1500","0.6","false","0.957031","1500","1.0448919520295958","0.9999939897428362","0.2"
"1067","1086","1.066","2000","0.6","false","0.957031","2000","1.0600948661965341","1.0145436498909353","0.2"
"1087","1190","1.066","3700","0.6","false","0.957031","3700","1.0498534819209768","1.0047423276563143","0.2"
"1191","1220","1.066","4800","0.6","false","0.957031","4800","1.0518378124790948","1.0066413935146805","0.2"
"1221","1250","1.066","5000","0.6","false","0.957031","5000","1.0454110725441288","1.00049080416798","0.2"
"1251","1279","1.066","5300","0.6","false","0.957031","5300","1.0453975822253523","1.0004778935147112","0.2"
"1280","1290","1.066","5700","0.6","false","0.957031","5700","1.0500240552350937","1.004905571605697","0.2"
"1291","1315","1.066","5600","0.6","false","0.957031","5600","1.0431765464765066","0.9983522934509576","0.2"
"1316","1325","1.066","5000","0.6","false","0.957031","5000","1.031397158333922","0.9870790538374717","0.2"
"1326","1348","1.066","5700","0.6","false","0.957031","5700","1.0510355963394282","1.0058736478003194","0.2"
"1349","1351","1.066","3000","0.6","true","0.957031","3000","0.8518524252237092","0.8152491783642716","0.2"
"1352","1377","1.066","3000","0.6","false","0.957031","3000","1.0433318015641566","0.9985008773827463","0.2"
"1378","1400","1.066","2500","0.6","false","0.957031","2500","1.0334372600351862","0.9890314944087343","0.2"
"1401","1430","1.066","2400","0.6","false","0.957031","2400","1.042582035440818","0.9977833279599614","0.2"
"1431","1450","1.066","2300","0.6","false","0.957031","2300","1.0413168340812373","0.9965724910376006","0.2"
"1451","1490","1.066","2600","0.6","false","0.957031","2600","1.0471814086364204","1.002185070688722","0.2"
"1491","1522","1.066","2800","0.6","false","0.957031","2800","1.045703054384167","1.0007702398403338","0.2"
"1523","1541","1.066","3400","0.6","false","0.957031","3400","1.0515995512174139","1.0064133701011528","0.2"
"1542","1560","1.066","3800","0.6","false","0.957031","3800","1.0487346597169611","1.003671580123583","0.2"
"1561","1600","1.066","5000","0.6","false","0.957031","5000","1.0496898047518326","1.004585683531451","0.2"
"1601","1650","1.066","6300","0.6","false","0.957031","6300","1.04799255905173","1.0029613667818362","0.2"
"1651","1700","1.066","6200","0.6","false","0.957031","6200","1.0407003279325158","0.9959824755415835","0.2"
"1701","1801","1.066","11300","0.6","false","0.957031","11300","1.048426601826054","1.0033767591721903","0.2"
"1802","1811","1.066","12500","0.6","false","0.957031","12500","1.0520787672487688","1.0068719946988565","0.2"
"1812","1821","1.066","13400","0.6","false","0.957031","13400","1.0491342269003432","1.0040539783046623","0.2"
"1822","1831","1.066","15800","0.6","false","0.957031","15800","1.0590893270912918","1.013581317795506","0.2"
"1832","1841","1.066","20200","0.6","false","0.957031","20200","1.0694746822789456","1.0235204246561016","0.2"
"1842","1851","1.066","27400","0.6","false","0.957031","27400","1.0731005489693712","1.0269904914807062","0.2"
"1852","1861","1.066","29000","0.6","false","0.957031","29000","1.0483359662612721","1.0032900181269915","0.2"
"1862","1871","1.066","31500","0.6","false","0.957031","31500","1.0500414145450478","1.0049221850034618","0.2"
"1872","1881","1.066","35000","0.6","false","0.957031","35000","1.0532051567188057","1.0079499843397552","0.2"
"1882","1891","1.066","37800","0.6","false","0.957031","37800","1.050291137268064","1.0051611773907925","0.2"
"1892","1901","1.066","38200","0.6","false","0.957031","38200","1.0430394276651016","0.9982210664977598","0.2"
"1902","1911","1.066","42100","0.6","false","0.957031","42100","1.0528620680298055","1.0076216378286327","0.2"
"1912","1921","1.066","44000","0.6","false","0.957031","44000","1.0459892039253453","1.0010440938218772","0.2"
"1922","1931","1.066","45000","0.6","false","0.957031","45000","1.0438689160191585","0.9990149125667313","0.2"
"1932","1941","1.066","50200","0.6","false","0.957031","50200","1.0538647849994038","1.0085812690527645","0.2"
"1942","1951","1.066","52800","0.6","false","0.957031","52800","1.046869114582781","1.0018861955982736","0.2"
"1952","1961","1.066","55900","0.6","false","0.957031","55900","1.0477537970378286","1.00273286413291","0.2"
"1962","1971","1.066","56300","0.6","false","0.957031","56300","1.0432446011269128","0.9984174238610904","0.2"
"1972","1981","1.066","57400","0.6","false","0.957031","57400","1.0439790794403994","0.9991203423759248","0.2"
"1982","1991","1.066","59300","0.6","false","0.957031","59300","1.0440620117581905","0.9991997111749528","0.2"
"1992","2001","1.066","63200","0.6","false","0.957031","63200","1.0490189254144808","1.003943631208346","0.2"
"2002","2011","1.066","65600","0.6","false","0.957031","65600","1.0455308160734709","1.0006054024376099","0.2"
"2012","2015","1.066","66270","0.6","false","0.957031","66270","1.0445812570313038","0.9996966449979257","0.2"
