"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.0","1500","0.9934024498066679","1.9868048996133358"
"1","43","1.066","2000","0.6","false","2.0","2000","0.9281206942859932","1.8562413885719864"
"44","200","1.066","4500","0.6","false","1.5","4500","3.6479921004645983","5.471988150696897"
"201","410","1.066","3000","0.6","false","1.5","3000","0.9836664962647828","1.4754997443971742"
"411","430","1.066","1250","0.6","false","1.5","1250","0.9203093723517174","1.380464058527576"
"431","500","1.066","1300","0.6","false","1.5","1300","0.9363646811340928","1.404547021701139"
"501","750","1.066","1300","0.6","false","1.5","1300","0.8936212396918839","1.340431859537826"
"751","950","1.066","1400","0.6","false","1.5","1400","0.8608815529716991","1.2913223294575487"
"951","1066","1.066","1500","0.6","false","1.5","1500","0.8452100864270262","1.2678151296405393"
"1067","1086","1.066","2000","0.6","false","1.5","2000","0.8735203103078171","1.3102804654617257"
"1087","1190","1.066","3700","0.6","false","1.125","3700","3.6446711663884304","4.100255062186984"
"1191","1220","1.066","4800","0.6","false","1.125","4800","1.1297689114241523","1.2709900253521713"
"1221","1250","1.066","5000","0.6","false","1.125","5000","1.0991776338524137","1.2365748380839654"
"1251","1279","1.066","5300","0.6","false","1.125","5300","1.095827036274847","1.232805415809203"
"1280","1290","1.066","5700","0.6","false","1.125","5700","1.10060563555942","1.2381813400043475"
"1291","1315","1.066","5600","0.6","false","1.125","5600","1.0922519016944772","1.2287833894062867"
"1316","1325","1.066","5000","0.6","false","1.125","5000","1.0785655341665104","1.2133862259373243"
"1326","1348","1.066","5700","0.6","false","1.125","5700","1.0977358093120066","1.2349527854760074"
"1349","1351","1.066","3000","0.6","true","1.125","3000","0.9168764618107582","1.031486019537103"
"1352","1377","1.066","3000","0.6","false","1.125","3000","1.0856372652790969","1.221341923438984"
"1378","1400","1.066","2500","0.6","false","1.125","2500","1.0747707311973025","1.2091170725969653"
"1401","1430","1.066","2400","0.6","false","1.125","2400","1.0795701512101554","1.214516420111425"
"1431","1450","1.066","2300","0.6","false","1.125","2300","1.0792582714869041","1.214165555422767"
"1451","1490","1.066","2600","0.6","false","1.125","2600","1.080423199335804","1.2154760992527796"
"1491","1522","1.066","2800","0.6","false","1.125","2800","1.076773939732822","1.2113706821994248"
"1523","1541","1.066","3400","0.6","false","1.125","3400","1.0970703436611997","1.2342041366188496"
"1542","1560","1.066","3800","0.6","false","1.125","3800","1.0806691662920505","1.2157528120785568"
"1561","1600","1.066","5000","0.6","false","1.125","5000","1.0927881596999311","1.2293866796624227"
"1601","1650","1.066","6300","0.6","false","1.125","6300","1.0782518373188563","1.2130333169837133"
"1651","1700","1.066","6200","0.6","false","1.125","6200","1.064281118007288","1.197316257758199"
"1701","1801","1.066","11300","0.6","false","1.125","11300","1.0987840166565446","1.2361320187386127"
"1802","1811","1.066","12500","0.6","false","1.125","12500","1.069464987898222","1.2031481113854998"
"1812","1821","1.066","13400","0.6","false","1.125","13400","1.0673623013111297","1.200782588975021"
"1822","1831","1.066","15800","0.6","false","1.125","15800","1.0887374686994786","1.2248296522869135"
"1832","1841","1.066","20200","0.6","false","1.125","20200","1.1223453537571912","1.2626385229768402"
"1842","1851","1.066","27400","0.6","false","1.125","27400","1.1483323505348693","1.2918738943517278"
"1852","1861","1.066","29000","0.6","false","1.125","29000","1.0639094908242457","1.1968981771772764"
"1862","1871","1.066","31500","0.6","false","1.125","31500","1.0650499675680372","1.1981812135140417"
"1872","1881","1.066","35000","0.6","false","1.125","35000","1.0703168541555832","1.2041064609250312"
"1882","1891","1.066","37800","0.6","false","1.125","37800","1.0642281968489784","1.1972567214551006"
"1892","1901","1.066","38200","0.6","false","1.125","38200","1.055599147233874","1.1875490406381082"
"1902","1911","1.003","42100","0.13","false","1.125","42100","1.0861701235772268","1.22194138902438"
"1912","1921","1.003","44000","0.13","false","1.125","44000","1.0443037399146948","1.1748417074040316"
"1922","1931","1.003","45000","0.13","false","1.125","45000","1.0466196087890594","1.1774470598876918"
"1932","1941","1.003","50200","0.13","false","1.125","50200","1.1118662282704135","1.2508495068042151"
"1942","1951","1.003","52800","0.13","false","1.125","52800","1.093872254396346","1.230606286195889"
"1952","1961","1.003","55900","0.13","false","1.125","55900","1.0828972167230968","1.218259368813484"
"1962","1971","1.003","56300","0.13","false","1.125","56300","1.0624311397407122","1.1952350322083012"
"1972","1981","1.003","57400","0.13","false","1.125","57400","1.0665282481856908","1.1998442792089021"
"1982","1991","1.003","59300","0.13","false","1.125","59300","1.066900784366976","1.200263382412848"
"1992","2001","1.003","63200","0.13","false","1.125","63200","1.0906574263379942","1.2269896046302435"
"2002","2011","1.003","65600","0.13","false","1.125","65600","1.0721540895716068","1.2061733507680577"
"2012","2015","1.003","66270","0.13","false","1.125","66270","1.0656635045194753","1.1988714425844098"
