"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.0","15","0.55","false","1.75","15","90","41","5.708685902969724","9.990200330197016","150.0"
"1","43","1.0","20","0.55","false","1.75","20","90","41","1.0846250449776624","1.8980938287109093","150.0"
"44","200","1.0","45","0.55","false","1.75","45","90","41","1.0889550808689021","1.9056713915205787","150.0"
"201","410","1.0","30","0.55","false","1.75","30","90","41","1.069069483316776","1.870871595804358","150.0"
"411","430","1.0","12","0.55","false","1.75","12","90","41","1.019471907070108","1.7840758373726888","150.0"
"431","500","1.0","13","0.55","false","1.75","13","90","41","1.1408776937348375","1.9965359640359657","150.0"
"501","750","1.0","13","0.55","false","1.75","13","90","41","1.14107209914269","1.9968761734997074","150.0"
"751","950","1.0","14","0.55","false","1.75","14","90","41","1.104020472582974","1.9320358270202047","150.0"
"951","1066","1.0","15","0.55","false","1.75","15","90","41","1.1587106140985461","2.027743574672456","150.0"
"1067","1086","1.0","20","0.55","false","1.75","20","90","41","1.1147175087983912","1.9507556403971846","150.0"
"1087","1190","1.0","37","0.55","false","1.75","37","90","41","1.108155896970359","1.9392728196981284","150.0"
"1191","1220","1.0","48","0.55","false","1.75","48","90","41","1.0708544617119011","1.873995307995827","150.0"
"1221","1250","1.0","50","0.55","false","1.75","50","90","41","1.0788474903955272","1.8879831081921725","150.0"
"1251","1279","1.0","53","0.55","false","1.75","53","90","41","1.0697060851794242","1.8719856490639923","150.0"
"1280","1290","1.0","57","0.55","false","1.75","57","90","41","1.1158651957859882","1.9527640926254795","150.0"
"1291","1315","1.0","56","0.55","false","1.75","56","90","41","1.0560431483084993","1.8480755095398738","150.0"
"1316","1325","1.0","50","0.55","false","1.75","50","90","41","1.05938559592188","1.8539247928632903","150.0"
"1326","1348","1.0","57","0.55","false","1.75","57","90","41","1.0499676597340626","1.8374434045346095","150.0"
"1349","1351","1.0","30","0.55","true","1.75","30","90","41","0.9017295597484276","1.5780267295597483","150.0"
"1352","1377","1.0","30","0.55","false","1.75","30","90","41","1.0703696123197912","1.8731468215596347","150.0"
"1378","1400","1.0","25","0.55","false","1.75","25","90","41","1.0614088227402225","1.8574654397953894","150.0"
"1401","1430","1.0","24","0.55","false","1.75","24","90","41","1.1058987637076882","1.9353228364884545","150.0"
"1431","1450","1.0","23","0.55","false","1.75","23","90","41","1.0704225955204214","1.8732395421607375","150.0"
"1451","1490","1.0","26","0.55","false","1.75","26","90","41","1.0845512529994794","1.897964692749089","150.0"
"1491","1522","1.0","28","0.55","false","1.75","28","90","41","1.1006738551303767","1.9261792464781593","150.0"
"1523","1541","1.0","34","0.55","false","1.75","34","90","41","1.0924490964555187","1.9117859187971578","150.0"
"1542","1560","1.0","38","0.55","false","1.75","38","90","41","1.0876675565333758","1.9034182239334076","150.0"
