"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","0.078125","1500","90","41","12.75185230359382","0.9962384612182672","0.0075","false"
"1","43","2000","0.35","false","0.048826999999999995","2000","90","41","5.814298499505776","0.2838947528353685","0.0075","false"
"44","200","4500","0.35","false","0.024412999999999997","4500","90","41","2.95718519857588","0.07219376225283296","0.0075","false"
"201","410","3000","0.35","false","0.018309","3000","90","41","4.400089810513689","0.08056124434069513","0.0075","false"
"411","430","1250","0.35","false","0.018309","1250","90","41","1.863276662695726","0.03411473241729605","0.0075","false"
"431","500","1300","0.35","false","0.018309","1300","90","41","1.929961664120191","0.03533566810837658","0.0075","false"
"501","750","1300","0.35","false","0.018309","1300","90","41","1.894212217991098","0.03468113149919901","0.0075","false"
"751","950","1400","0.35","false","0.018309","1400","90","41","1.8719738293015893","0.034273968840682796","0.0075","false"
"951","1066","1500","0.35","false","0.018309","1500","90","41","1.8616211344432843","0.03408442135052209","0.0075","false"
"1067","1086","2000","0.35","false","0.018309","2000","90","41","1.8851704815120442","0.03451558634600402","0.0075","false"
"1087","1190","3700","0.35","false","0.018309","3700","90","41","1.8670217790282826","0.03418330175222883","0.0075","false"
"1191","1220","4800","0.35","false","0.018309","4800","90","41","1.8689793233130836","0.034219142430539244","0.0075","false"
"1221","1250","5000","0.35","false","0.018309","5000","90","41","1.8543689191531672","0.03395164054077533","0.0075","false"
"1251","1279","5300","0.35","false","0.018309","5300","90","41","1.8528926261121412","0.03392461109148719","0.0075","false"
"1280","1290","5700","0.35","false","0.018309","5700","90","41","1.8635613345047048","0.03411994447344664","0.0075","false"
"1291","1315","5600","0.35","false","0.018309","5600","90","41","1.8481557441579366","0.033837883519787657","0.0075","false"
"1316","1325","5000","0.35","false","0.018309","5000","90","41","1.8300991507700046","0.033507285351448014","0.0075","false"
"1326","1348","5700","0.35","false","0.018309","5700","90","41","1.8605240813726969","0.03406433540585271","0.0075","false"
"1349","1351","3000","0.35","true","0.018309","3000","90","41","1.5082207519511732","0.02761401374747403","0.0075","false"
"1352","1377","3000","0.35","false","0.018309","3000","90","41","1.8470635965801543","0.03381788738978604","0.0075","false"
"1378","1400","2500","0.35","false","0.018309","2500","90","41","1.8328514617341671","0.03355767741289086","0.0075","false"
"1401","1430","2400","0.35","false","0.018309","2400","90","41","1.8457065267234205","0.0337930407977791","0.0075","false"
"1431","1450","2300","0.35","false","0.018309","2300","90","41","1.840007752232827","0.03368870193563083","0.0075","false"
"1451","1490","2600","0.35","false","0.018309","2600","90","41","1.8534632818446266","0.033935059227293264","0.0075","false"
"1491","1522","2800","0.35","false","0.018309","2800","90","41","1.850402888702094","0.033879026489246636","0.0075","false"
"1523","1541","3400","0.35","false","0.018309","3400","90","41","1.8655113682160858","0.034155647640668314","0.0075","false"
"1542","1560","3800","0.35","false","0.018309","3800","90","41","1.8571289117128158","0.03400217324454994","0.0075","false"
"1561","1600","5000","0.31","false","0.018309","5000","90","41","1.8650829721196203","0.034147804136538125","0.0075","false"
"1601","1650","6300","0.29","false","0.018309","6300","90","41","1.8650942145907101","0.03414800997494131","0.0075","false"
"1651","1700","6200","0.26","false","0.018309","6200","90","41","1.8617794432947314","0.03408731982728323","0.0075","false"
"1701","1801","11300","0.25","false","0.018309","11300","90","41","1.876785790615735","0.03436207104038349","0.0075","false"
"1802","1811","12500","0.28","false","0.018309","12500","90","41","1.8775841777022773","0.03437668870955099","0.0075","false"
"1812","1821","13400","0.28","false","0.018309","13400","90","41","1.8734534082622492","0.03430105845187352","0.0075","false"
"1822","1831","15800","0.26","false","0.018309","15800","90","41","1.893810228340607","0.034673771470688175","0.0075","false"
"1832","1841","20200","0.25","false","0.018309","20200","90","41","1.9103812487113765","0.03497717028265659","0.0075","false"
"1842","1851","27400","0.22","false","0.018309","27400","90","41","1.9299670605581176","0.035335766911758576","0.0075","false"
"1852","1861","29000","0.25","false","0.018309","29000","90","41","1.874439790506024","0.03431911812437479","0.0075","false"
"1862","1871","31500","0.22","false","0.018309","31500","90","41","1.8889024478280796","0.034583914917284304","0.0075","false"
"1872","1881","35000","0.21","false","0.018309","35000","90","41","1.8935007937439174","0.03466810603265738","0.0075","false"
"1882","1891","37800","0.19","false","0.018309","37800","90","41","1.8935159446094256","0.03466838342985397","0.0075","false"
"1892","1901","38200","0.18","false","0.018309","38200","90","41","1.8850489244506488","0.034513360757766925","0.0075","false"
"1902","1911","42100","0.13","false","0.018309","42100","90","41","1.9170141221150019","0.03509861156180357","0.0075","false"
