Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,1.5625,1400000,2.477120755061932,3.8705011797842683
1,43,1.066,2000000,0.6,false,1.5625,2000000,1.0463715870692618,1.6349556047957217
44,200,1.066,4400000,0.6,false,1.5625,4400000,0.9867607703170092,1.5418137036203268
201,410,1.066,3000000,0.6,false,1.5625,3000000,0.9573023621177094,1.4957849408089208
411,430,1.066,1200000,0.6,false,1.5625,1200000,0.9638690476190476,1.5060453869047619
431,500,1.066,1200000,0.6,false,1.5625,1200000,1.050510204081633,1.6414221938775515
501,750,1.066,1200000,0.6,false,1.5625,1200000,1.2156476190476184,1.8994494047619037
751,950,1.066,1400000,0.6,false,1.5625,1400000,1.2133055555555559,1.8957899305555561
951,1066,1.066,1400000,0.6,false,1.5625,1400000,0.9738266283524906,1.5216041068007664
1067,1086,1.066,2000000,0.6,false,1.5625,2000000,0.9796356421356421,1.5306806908369408
1087,1190,1.066,3600000,0.6,false,1.5625,3600000,0.9609637563827295,1.5015058693480148
1191,1220,1.066,4800000,0.6,false,1.5625,4800000,0.9471133380970044,1.4798645907765693
1221,1250,1.066,5000000,0.6,false,1.5625,5000000,0.9203738383148676,1.4380841223669807
1251,1279,1.066,5200000,0.6,false,1.5625,5200000,0.9517712069332142,1.487142510833147
1280,1290,1.066,5600000,0.6,false,1.5625,5600000,0.9103665747231383,1.4224477730049037
1291,1315,1.066,5600000,0.6,false,1.5625,5600000,0.8995180759149874,1.405496993617168
1316,1325,1.066,5000000,0.6,false,1.5625,5000000,0.901189993754649,1.4081093652416392
1326,1348,1.066,5600000,0.6,false,1.5625,5600000,0.9138950304640939,1.4279609851001467
1349,1351,1.066,3000000,0.6,true,1.5625,3000000,0.8279569892473119,1.2936827956989247
1352,1377,1.066,3000000,0.6,false,1.5625,3000000,0.9609844093352075,1.5015381395862617
1378,1400,1.066,2400000,0.6,false,1.5625,2400000,0.931005950571168,1.4546967977674499
1401,1430,1.066,2400000,0.6,false,1.5625,2400000,0.924835164835165,1.4450549450549455
1431,1450,1.066,2200000,0.6,false,1.5625,2200000,0.9531135531135531,1.4892399267399266
1451,1490,1.066,2600000,0.6,false,1.5625,2600000,1.021178300865801,1.5955910951028143
1491,1522,1.066,2800000,0.6,false,1.5625,2800000,0.94454185520362,1.4758466487556563
1523,1541,1.066,3400000,0.6,false,1.5625,3400000,0.9840160877903262,1.5375251371723848
1542,1560,1.066,3800000,0.6,false,1.5625,3800000,0.9147603955249667,1.4293131180077605
1561,1600,1.066,5000000,0.6,false,1.5625,5000000,0.9246397832122228,1.4447496612690982
1601,1650,1.066,6200000,0.6,false,1.5625,6200000,0.9249138526757694,1.4451778948058898
1651,1700,1.066,6200000,0.6,false,1.5625,6200000,0.9056290896565262,1.4150454525883223
1701,1801,1.066,11200000,0.6,false,1.5625,11200000,0.9435078311885874,1.4742309862321679
1802,1811,1.066,12400000,0.6,false,1.5625,12400000,0.9261816930766209,1.44715889543222
1812,1821,1.066,13400000,0.6,false,1.5625,13400000,0.9499746461901374,1.4843353846720897
1822,1831,1.066,15800000,0.6,false,1.5625,15800000,0.9470261053538976,1.479728289615465
1832,1841,1.066,20200000,0.6,false,1.5625,20200000,0.958939471541426,1.498342924283478
1842,1851,1.066,27400000,0.6,false,1.5625,27400000,0.9840421666291203,1.5375658853580003
1852,1861,1.066,29000000,0.6,false,1.5625,29000000,0.923307591318912,1.4426681114358
1862,1871,1.066,31400000,0.6,false,1.5625,31400000,0.9276988586020742,1.449529466565741
1872,1881,1.066,35000000,0.6,false,1.5625,35000000,0.921280554992407,1.439500867175636
1882,1891,1.066,37800000,0.6,false,1.5625,37800000,0.9207374094406682,1.438652202251044
1892,1901,1.066,38200000,0.6,false,1.5625,38200000,0.9250769082250432,1.44543266910163
1902,1911,1.003,42000000,0.13,false,1.5625,42000000,0.9326934848123454,1.4573335700192898
1912,1921,1.003,44000000,0.13,false,1.5625,44000000,0.9017919171249469,1.4090498705077295
1922,1931,1.003,45000000,0.13,false,1.5625,45000000,0.8998573232320458,1.4060270675500717
1932,1941,1.003,50200000,0.13,false,1.5625,50200000,0.9917448724922415,1.5496013632691275
1942,1951,1.003,52800000,0.13,false,1.5625,52800000,1.061625810636622,1.658790329119722
1952,1961,1.003,55800000,0.13,false,1.5625,55800000,1.0700358397800063,1.6719309996562597
1962,1971,1.003,56200000,0.13,false,1.5625,56200000,0.9989768786412412,1.5609013728769394
1972,1981,1.003,57400000,0.13,false,1.5625,57400000,0.960008940702658,1.5000139698479031
1982,1991,1.003,59200000,0.13,false,1.5625,59200000,0.9318758225004281,1.4560559726569189
1992,2001,1.003,63200000,0.13,false,1.5625,63200000,0.9705696906610817,1.51651514165794
2002,2011,1.003,65600000,0.13,false,1.5625,65600000,0.9675104612801414,1.511735095750221
2012,2015,1.003,66200000,0.13,false,1.5625,66200000,0.918874673981908,1.4357416780967314
