"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","1.25","15","2.2956804383484353","2.869600547935544"
"1","43","1.066","20","0.6","false","1.25","20","1.0933370914651062","1.3666713643313826"
"44","200","1.066","45","0.6","false","1.25","45","1.0459206622994317","1.3074008278742897"
"201","410","1.066","30","0.6","false","1.25","30","0.9766149878137941","1.2207687347672427"
"411","430","1.066","12","0.6","false","1.09375","12","5.7686696636696615","6.309482444638692"
"431","500","1.066","13","0.6","false","1.09375","13","1.2018826015254591","1.314559095418471"
"501","750","1.066","13","0.6","false","1.09375","13","1.1913096681096713","1.302994949494953"
"751","950","1.066","14","0.6","false","1.09375","14","1.1624537970199729","1.2714338404905954"
"951","1066","1.066","15","0.6","false","1.09375","15","1.1485548026179375","1.2562318153633691"
"1067","1086","1.066","20","0.6","false","1.09375","20","1.2140111307680965","1.3278246742776056"
"1087","1190","1.066","37","0.6","false","1.09375","37","1.1507343827506986","1.2586157311335766"
"1191","1220","1.066","48","0.6","false","1.09375","48","1.094788089306381","1.1974244726788543"
"1221","1250","1.066","50","0.6","false","1.09375","50","1.099431846924069","1.2025035825732004"
"1251","1279","1.066","53","0.6","false","1.09375","53","1.12217031448206","1.2273737814647532"
"1280","1290","1.066","57","0.6","false","1.09375","57","1.1098458567576215","1.2138939058286484"
"1291","1315","1.066","56","0.6","false","1.09375","56","1.0962332662035217","1.1990051349101019"
"1316","1325","1.066","50","0.6","false","1.09375","50","1.1058054973477085","1.209474762724056"
"1326","1348","1.066","57","0.6","false","1.09375","57","1.104322115507966","1.207852313836838"
"1349","1351","1.066","30","0.6","true","1.09375","30","0.8980488747223028","0.9822409567275187"
"1352","1377","1.066","30","0.6","false","1.09375","30","1.124125405598131","1.2295121623729557"
"1378","1400","1.066","25","0.6","false","1.09375","25","1.1123215180742616","1.2166016603937235"
"1401","1430","1.066","24","0.6","false","1.09375","24","1.1930435151662773","1.3048913447131159"
"1431","1450","1.066","23","0.6","false","1.09375","23","1.1609999597925298","1.2698437060230794"
"1451","1490","1.066","26","0.6","false","1.09375","26","1.0928007350942135","1.195250804009296"
"1491","1522","1.066","28","0.6","false","1.09375","28","1.083432774919844","1.1850045975685795"
"1523","1541","1.066","34","0.6","false","1.09375","34","1.1615862866206814","1.2704850009913704"
"1542","1560","1.066","38","0.6","false","1.09375","38","1.1025164519821467","1.205877369355473"
"1561","1600","1.066","50","0.6","false","1.09375","50","1.125636626569721","1.2311650603106323"
"1601","1650","1.066","63","0.6","false","1.09375","63","1.107525020861779","1.2113554915675708"
"1651","1700","1.066","62","0.6","false","1.09375","62","1.0995368225451976","1.2026183996588098"
"1701","1801","1.066","113","0.6","false","1.09375","113","1.1371545425439074","1.2437627809073986"
"1802","1811","1.066","125","0.6","false","1.09375","125","1.1200992444921458","1.2251085486632844"
"1812","1821","1.066","134","0.6","false","1.09375","134","1.0878210239061992","1.1898042448974053"
"1822","1831","1.066","158","0.6","false","1.09375","158","1.116498811201262","1.2211705747513801"
"1832","1841","1.066","202","0.6","false","1.09375","202","1.16109149084884","1.2699438181159186"
"1842","1851","1.066","274","0.6","false","1.09375","274","1.1944264006293548","1.3064038756883567"
"1852","1861","1.066","290","0.6","false","1.09375","290","1.1006681147206985","1.2038557504757639"
"1862","1871","1.066","315","0.6","false","1.09375","315","1.1051486420526488","1.2087563272450847"
"1872","1881","1.066","350","0.6","false","1.09375","350","1.0988299142015852","1.2018452186579838"
"1882","1891","1.066","378","0.6","false","1.09375","378","1.0983712691692322","1.2013435756538478"
"1892","1901","1.066","382","0.6","false","1.09375","382","1.0936626694595701","1.196193544721405"
"1902","1911","1.003","421","0.13","false","1.09375","421","1.1588811155466807","1.2675262201291821"
"1912","1921","1.003","440","0.13","false","1.09375","440","1.0809436001804116","1.1822820626973252"
"1922","1931","1.003","450","0.13","false","1.09375","450","1.0820373462527126","1.1834783474639043"
"1932","1941","1.003","502","0.13","false","1.09375","502","1.1321902878763648","1.238333127364774"
"1942","1951","1.003","528","0.13","false","1.09375","528","1.1165143673004905","1.2211875892349116"
"1952","1961","1.003","559","0.13","false","1.09375","559","1.1108974640880884","1.2150441013463467"
"1962","1971","1.003","563","0.13","false","1.09375","563","1.0937416626981027","1.1962799435760498"
"1972","1981","1.003","574","0.13","false","1.09375","574","1.095132720065092","1.1978014125711944"
"1982","1991","1.003","593","0.13","false","1.09375","593","1.101873745120955","1.2051744087260445"
"1992","2001","1.003","632","0.13","false","1.09375","632","1.1150468841286234","1.219582529515682"
"2002","2011","1.003","656","0.13","false","1.09375","656","1.1199222710251564","1.2249149839337647"
"2012","2015","1.003","662","0.13","false","1.09375","662","1.0965318610847672","1.1993317230614642"
