"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","0.019531","1500","90","41","2.261720728844884","0.04417366755506943","0.00375","false","true"
"-50","0","1500","0.35","false","0.019531","1500","90","41","1.8675813267419603","0.03647573089259722","0.00375","false","true"
"1","43","2000","0.35","false","0.019531","2000","90","41","1.8825401333665746","0.03676789134478257","0.00375","false","true"
"44","200","4500","0.35","false","0.019531","4500","90","41","1.8780792104039132","0.03668076505839883","0.00375","false","true"
"201","410","3000","0.35","false","0.019531","3000","90","41","1.864450105310167","0.03641457500681287","0.00375","false","true"
"411","430","1250","0.35","false","0.019531","1250","90","41","1.7859221831763186","0.034880846159616674","0.00375","false","true"
"431","500","1300","0.35","false","0.019531","1300","90","41","1.8690734268341762","0.03650487309949829","0.00375","false","true"
"501","750","1300","0.35","false","0.019531","1300","90","41","1.8678721446141764","0.03648141085645948","0.00375","false","true"
"751","950","1400","0.35","false","0.019531","1400","90","41","1.8682029295683291","0.03648787141739904","0.00375","false","true"
"951","1066","1500","0.35","false","0.019531","1500","90","41","1.8692595772185354","0.036508508802655215","0.00375","false","true"
"1067","1086","2000","0.35","false","0.019531","2000","90","41","1.89777596707849","0.03706546241300999","0.00375","false","true"
"1087","1190","3700","0.35","false","0.019531","3700","90","41","1.87848978339902","0.036688783959566255","0.00375","false","true"
"1191","1220","4800","0.35","false","0.019531","4800","90","41","1.8835173644449728","0.03678697764497476","0.00375","false","true"
"1221","1250","5000","0.35","false","0.019531","5000","90","41","1.8697117892899882","0.036517340956622756","0.00375","false","true"
"1251","1279","5300","0.35","false","0.019531","5300","90","41","1.8705815785641484","0.036534328810936385","0.00375","false","true"
"1280","1290","5700","0.35","false","0.019531","5700","90","41","1.8798430520754403","0.036715214650085426","0.00375","false","true"
"1291","1315","5600","0.35","false","0.019531","5600","90","41","1.866561947380115","0.036455821394281024","0.00375","false","true"
"1316","1325","5000","0.35","false","0.019531","5000","90","41","1.846369416033448","0.036061441064549275","0.00375","false","true"
"1326","1348","5700","0.35","false","0.019531","5700","90","41","1.8778156861758213","0.036675618166699966","0.00375","false","true"
"1349","1351","3000","0.35","true","0.019531","3000","90","41","1.5295251992244447","0.02987315666605263","0.00375","false","true"
"1352","1377","3000","0.35","false","0.019531","3000","90","41","1.8700810035091953","0.03652455207953809","0.00375","false","true"
"1378","1400","2500","0.35","false","0.019531","2500","90","41","1.8496965259657967","0.03612642284863798","0.00375","false","true"
"1401","1430","2400","0.35","false","0.019531","2400","90","41","1.865015021352724","0.03642560838204005","0.00375","false","true"
"1431","1450","2300","0.35","false","0.019531","2300","90","41","1.8583159393291375","0.036294768611037385","0.00375","false","true"
"1451","1490","2600","0.35","false","0.019531","2600","90","41","1.8754595908671097","0.03662960126922552","0.00375","false","true"
"1491","1522","2800","0.35","false","0.019531","2800","90","41","1.8703128433540468","0.03652908014354789","0.00375","false","true"
"1523","1541","3400","0.35","false","0.019531","3400","90","41","1.8872514273559624","0.0368599076276893","0.00375","false","true"
"1542","1560","3800","0.35","false","0.019531","3800","90","41","1.8792583036831816","0.03670379392923622","0.00375","false","true"
"1561","1600","5000","0.31","false","0.019531","5000","90","41","1.8870597827716136","0.036856164617312386","0.00375","false","true"
"1601","1650","6300","0.29","false","0.019531","6300","90","41","1.8889650688045785","0.03689337675882222","0.00375","false","true"
"1651","1700","6200","0.26","false","0.019531","6200","90","41","1.8859444103468725","0.03683438027848477","0.00375","false","true"
