"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-5050","-5001","15","0.35","false","1.75","15","90","41","5.953883028735967","10.419295300287942","150.0","false"
"-5000","-51","15","0.35","false","1.75","15","90","41","2.2609321841441714","3.9566313222523","150.0","false"
"-50","0","15","0.35","false","1.75","15","90","41","2.206408091139926","3.8612141594948706","150.0","false"
"1","43","20","0.35","false","1.75","20","90","41","2.253939246508008","3.9443936813890144","150.0","false"
"44","200","45","0.35","false","1.75","45","90","41","2.2043343057180693","3.8575850350066214","150.0","false"
"201","410","30","0.35","false","1.75","30","90","41","2.152339620804066","3.7665943364071155","150.0","false"
"411","430","12","0.35","false","1.75","12","90","41","2.0984731755316117","3.6723280571803203","150.0","false"
"431","500","13","0.35","false","1.75","13","90","41","2.3204157747014906","4.0607276057276085","150.0","false"
"501","750","13","0.35","false","1.75","13","90","41","2.2999329725829725","4.024882702020202","150.0","false"
"751","950","14","0.35","false","1.75","14","90","41","2.255436743811745","3.9470143016705537","150.0","false"
"951","1066","15","0.35","false","1.75","15","90","41","2.3433183196114205","4.100807059319986","150.0","false"
"1067","1086","20","0.35","false","1.75","20","90","41","2.3558263876646235","4.122696178413091","150.0","false"
"1087","1190","37","0.35","false","1.75","37","90","41","2.1988415648730384","3.847972738527817","150.0","false"
"1191","1220","48","0.35","false","1.75","48","90","41","2.211631306374217","3.8703547861548793","150.0","false"
"1221","1250","50","0.35","false","1.75","50","90","41","2.1670712302286668","3.792374652900167","150.0","false"
"1251","1279","53","0.35","false","1.75","53","90","41","2.153016598514437","3.767779047400265","150.0","false"
"1280","1290","57","0.35","false","1.75","57","90","41","2.170475963310512","3.798332935793396","150.0","false"
"1291","1315","56","0.35","false","1.75","56","90","41","2.134047298555453","3.734582772472043","150.0","false"
"1316","1325","50","0.35","false","1.75","50","90","41","2.1298681097695127","3.727269192096647","150.0","false"
"1326","1348","57","0.35","false","1.75","57","90","41","2.1617889726957866","3.7831307022176266","150.0","false"
"1349","1351","30","0.35","true","1.75","30","90","41","1.7925218874379585","3.1369133030164273","150.0","false"
"1352","1377","30","0.35","false","1.75","30","90","41","2.1439768181890853","3.7519594318308993","150.0","false"
"1378","1400","25","0.35","false","1.75","25","90","41","2.1131889820007443","3.6980807185013025","150.0","false"
"1401","1430","24","0.35","false","1.75","24","90","41","2.1966094314078206","3.844066504963686","150.0","false"
"1431","1450","23","0.35","false","1.75","23","90","41","2.1903501917609467","3.8331128355816566","150.0","false"
"1451","1490","26","0.35","false","1.75","26","90","41","2.2002687604792865","3.8504703308387516","150.0","false"
"1491","1522","28","0.35","false","1.75","28","90","41","2.1546432130671267","3.7706256228674717","150.0","false"
"1523","1541","34","0.35","false","1.75","34","90","41","2.194320134364587","3.840060235138027","150.0","false"
"1542","1560","38","0.35","false","1.75","38","90","41","2.1123984441275745","3.6966972772232554","150.0","false"
"1561","1600","50","0.31","false","1.75","50","90","41","2.174732473505917","3.8057818286353546","150.0","false"
"1601","1650","63","0.29","false","1.75","63","90","41","2.1636642539347437","3.7864124443858014","150.0","false"
"1651","1700","62","0.26","false","1.75","62","90","41","2.169798946320995","3.7971481560617413","150.0","false"
"1701","1801","0","0.25","false","1.90625","113","90","41","1.0","1.90625","150.0","false"
"1802","1811","0","0.28","false","1.90625","125","90","41","1.0","1.90625","150.0","false"
"1812","1821","0","0.28","false","1.90625","134","90","41","1.0","1.90625","150.0","false"
"1822","1831","0","0.26","false","1.90625","158","90","41","1.0","1.90625","150.0","false"
"1832","1841","0","0.25","false","1.953125","202","90","41","1.0","1.953125","150.0","false"
"1842","1851","0","0.22","false","1.953125","274","90","41","1.0","1.953125","150.0","false"
"1852","1861","0","0.25","false","1.892089","290","90","41","1.0","1.892089","150.0","false"
"1862","1871","0","0.22","false","1.892089","315","90","41","1.0","1.892089","150.0","false"
"1872","1881","0","0.21","false","1.9460439999999999","350","90","41","1.0","1.9460439999999999","150.0","false"
"1882","1891","0","0.19","false","1.9460439999999999","378","90","41","1.0","1.9460439999999999","150.0","false"
"1892","1901","0","0.18","false","1.9460439999999999","382","90","41","1.0","1.9460439999999999","150.0","false"
"1902","1911","0","0.13","false","1.9460439999999999","421","90","41","1.0","1.9460439999999999","150.0","false"
"1912","1921","0","0.14","false","1.9460439999999999","440","90","41","1.0","1.9460439999999999","150.0","false"
"1922","1931","0","0.12","false","1.88523","450","90","41","1.0","1.88523","150.0","false"
"1932","1951","0","0.07","false","1.942615","502","90","41","1.0","1.942615","150.0","false"
"1952","1961","0","0.09","false","1.971307","559","90","41","1.0","1.971307","150.0","true"
"1962","1971","0","0.1","false","1.971307","563","90","41","1.0","1.971307","150.0","true"
"1972","1981","0","0.07","false","1.971307","574","90","41","1.0","1.971307","150.0","true"
"1982","1991","0","0.1","false","1.971307","593","90","41","1.0","1.971307","150.0","true"
"1992","2001","0","0.09","false","1.971307","632","90","41","1.0","1.971307","150.0","true"
"2002","2011","0","0.09","false","1.971307","656","90","41","1.0","1.971307","150.0","true"
"2012","2015","0","0.09","false","1.971307","662","90","41","1.0","1.971307","150.0","true"
