"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","2.5","1500","90","41","2.3022252366400044","5.755563091600012","0.0075","false"
"1","43","2000","0.35","false","1.875","2000","90","41","4.430164694911491","8.306558802959044","0.0075","false"
"44","200","4500","0.35","false","1.171875","4500","90","41","5.750332044712406","6.738670364897351","0.0075","false"
"201","410","3000","0.35","false","1.171875","3000","90","41","1.9135929282175015","2.2424917127548847","0.0075","false"
"411","430","1250","0.35","false","1.171875","1250","90","41","1.765568526435573","2.069025616916687","0.0075","false"
"431","500","1300","0.35","false","1.171875","1300","90","41","1.8324384951561894","2.1473888615111596","0.0075","false"
"501","750","1300","0.35","false","1.171875","1300","90","41","1.806494045401722","2.116985209455143","0.0075","false"
"751","950","1400","0.35","false","1.171875","1400","90","41","1.788184754631206","2.0955290093334447","0.0075","false"
"951","1066","1500","0.35","false","1.171875","1500","90","41","1.7801811005172277","2.086149727168626","0.0075","false"
"1067","1086","2000","0.35","false","1.171875","2000","90","41","1.8017303955271529","2.1114028072583824","0.0075","false"
"1087","1190","3700","0.35","false","1.171875","3700","90","41","1.7865964132413938","2.093667671767258","0.0075","false"
"1191","1220","4800","0.35","false","1.171875","4800","90","41","1.7905718237308166","2.098326355934551","0.0075","false"
"1221","1250","5000","0.35","false","1.171875","5000","90","41","1.7769832135540748","2.0824022033836815","0.0075","false"
"1251","1279","5300","0.35","false","1.171875","5300","90","41","1.7771786904633067","2.0826312778866876","0.0075","false"
"1280","1290","5700","0.35","false","1.171875","5700","90","41","1.7851644173386803","2.091989551568766","0.0075","false"
"1291","1315","5600","0.35","false","1.171875","5600","90","41","1.7729541396246769","2.077680632372668","0.0075","false"
"1316","1325","5000","0.35","false","1.171875","5000","90","41","1.7516103474846638","2.05266837595859","0.0075","false"
"1326","1348","5700","0.35","false","1.171875","5700","90","41","1.7828192807589351","2.089241344639377","0.0075","false"
"1349","1351","3000","0.35","true","1.171875","3000","90","41","1.447770100926082","1.6966055870227523","0.0075","false"
"1352","1377","3000","0.35","false","1.171875","3000","90","41","1.7733631595194963","2.0781599525619097","0.0075","false"
"1378","1400","2500","0.35","false","1.171875","2500","90","41","1.7575452389131614","2.059623326851361","0.0075","false"
"1401","1430","2400","0.35","false","1.171875","2400","90","41","1.7687668747425616","2.0727736813389392","0.0075","false"
"1431","1450","2300","0.35","false","1.171875","2300","90","41","1.7675235080632716","2.0713166110116465","0.0075","false"
"1451","1490","2600","0.35","false","1.171875","2600","90","41","1.7750405399509455","2.0801256327550144","0.0075","false"
"1491","1522","2800","0.35","false","1.171875","2800","90","41","1.7716643349398613","2.07616914250765","0.0075","false"
"1523","1541","3400","0.35","false","1.171875","3400","90","41","1.7880079916615466","2.095321865228375","0.0075","false"
"1542","1560","3800","0.35","false","1.171875","3800","90","41","1.779667748126542","2.0855481423357913","0.0075","false"
"1561","1600","5000","0.31","false","1.171875","5000","90","41","1.789035496395679","2.096525972338686","0.0075","false"
"1601","1650","6300","0.29","false","1.171875","6300","90","41","1.7897386698526105","2.0973500037335278","0.0075","false"
"1651","1700","6200","0.26","false","1.171875","6200","90","41","1.787316588592577","2.094511627256926","0.0075","false"
"1701","1801","11300","0.25","false","1.171875","11300","90","41","1.8014943973178534","2.1111262468568595","0.0075","false"
"1802","1811","12500","0.28","false","1.171875","12500","90","41","1.8022426319244569","2.112003084286473","0.0075","false"
"1812","1821","13400","0.28","false","1.171875","13400","90","41","1.79775598760035","2.10674529796916","0.0075","false"
"1822","1831","15800","0.26","false","1.171875","15800","90","41","1.81749915920703","2.1298818271957383","0.0075","false"
"1832","1841","20200","0.25","false","1.171875","20200","90","41","1.8340363971964337","2.1492614029645707","0.0075","false"
"1842","1851","27400","0.22","false","1.171875","27400","90","41","1.8519388805261172","2.1702408756165434","0.0075","false"
"1852","1861","29000","0.25","false","1.171875","29000","90","41","1.7968606231668744","2.105696042773681","0.0075","false"
"1862","1871","31500","0.22","false","1.171875","31500","90","41","1.8140029758980958","2.125784737380581","0.0075","false"
"1872","1881","35000","0.21","false","1.171875","35000","90","41","1.817629591207578","2.1300346771963805","0.0075","false"
"1882","1891","37800","0.19","false","1.171875","37800","90","41","1.8181768449001878","2.1306759901174077","0.0075","false"
"1892","1901","38200","0.18","false","1.171875","38200","90","41","1.8084102139246183","2.1192307194429123","0.0075","false"
"1902","1911","42100","0.13","false","1.171875","42100","90","41","1.8398975265606148","2.1561299139382206","0.0075","false"
"1912","1921","44000","0.14","false","1.171875","44000","90","41","1.8270705149437874","2.141098259699751","0.0075","false"
"1922","1931","45000","0.12","false","1.171875","45000","90","41","1.832291529385629","2.147216635998784","0.0075","false"
"1932","1951","50200","0.07","false","1.171875","50200","90","41","1.8562301962206802","2.17526976119611","0.0075","false"
"1952","1961","55900","0.09","false","1.171875","55900","90","41","1.86600782271161","2.1867279172401677","0.0075","true"
"1962","1971","56300","0.1","false","1.171875","56300","90","41","1.8503846713735836","2.1684195367659185","0.0075","true"
"1972","1981","57400","0.07","false","1.171875","57400","90","41","1.8638021314235935","2.184143122762024","0.0075","true"
"1982","1991","59300","0.1","false","1.171875","59300","90","41","1.8605835613984372","2.1803713610137936","0.0075","true"
"1992","2001","63200","0.09","false","1.171875","63200","90","41","1.8778270751410975","2.200578603680974","0.0075","true"
"2002","2011","65600","0.09","false","1.171875","65600","90","41","1.8959732482030414","2.2218436502379393","0.0075","true"
"2012","2015","66270","0.09","false","1.171875","66270","90","41","1.9026971102382784","2.2297231760604825","0.0075","true"
