"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.0","1500","0.6","false","1.09375","1500","9.975311292980535","10.91049672669746","0.2"
"1","43","1.0","2000","0.6","false","0.957031","2000","4.846410041362147","4.638164648294857","0.2"
"44","200","1.0","4500","0.6","false","0.957031","4500","0.9863984751133229","0.9440139190361785","0.2"
"201","410","1.0","3000","0.6","false","0.957031","3000","0.97514998348262","0.9332487638423553","0.2"
"411","430","1.0","1250","0.6","false","0.957031","1250","0.9363388979369616","0.8961053518315082","0.2"
"431","500","1.0","1300","0.6","false","0.957031","1300","0.9754577497774014","0.9335433057272162","0.2"
"501","750","1.0","1300","0.6","false","0.957031","1300","0.9740622600642339","0.9322077788115338","0.2"
"751","950","1.0","1400","0.6","false","0.957031","1400","0.9752279614433238","0.9333233911680656","0.2"
"951","1066","1.0","1500","0.6","false","0.957031","1500","0.9750655558583446","0.9331679639886674","0.2"
"1067","1086","1.0","2000","0.6","false","0.957031","2000","0.9874678170810318","0.9450373124488769","0.2"
"1087","1190","1.0","3700","0.6","false","0.957031","3700","0.9802533723314215","0.9381328651757126","0.2"
"1191","1220","1.0","4800","0.6","false","0.957031","4800","0.9815797997102109","0.9394022972964629","0.2"
"1221","1250","1.0","5000","0.6","false","0.957031","5000","0.9750673103194154","0.9331696430623004","0.2"
"1251","1279","1.0","5300","0.6","false","0.957031","5300","0.9756442105740756","0.9337217544899181","0.2"
"1280","1290","1.0","5700","0.6","false","0.957031","5700","0.982927981369942","0.9406925489384569","0.2"
"1291","1315","1.0","5600","0.6","false","0.957031","5600","0.9730196976973915","0.9312100143070322","0.2"
"1316","1325","1.0","5000","0.6","false","0.957031","5000","0.9625187404188065","0.9211602726617507","0.2"
"1326","1348","1.0","5700","0.6","false","0.957031","5700","0.9802287910288865","0.9381093401071663","0.2"
"1349","1351","1.0","3000","0.6","true","0.957031","3000","0.7978958229964711","0.7636110373781357","0.2"
"1352","1377","1.0","3000","0.6","false","0.957031","3000","0.9733595048116709","0.9315352202494181","0.2"
"1378","1400","1.0","2500","0.6","false","0.957031","2500","0.9664798512934331","0.9249511785632055","0.2"
"1401","1430","1.0","2400","0.6","false","0.957031","2400","0.9734920738249222","0.9316620929047391","0.2"
"1431","1450","1.0","2300","0.6","false","0.957031","2300","0.9737811968096401","0.9319387925639266","0.2"
"1451","1490","1.0","2600","0.6","false","0.957031","2600","0.9786988340882079","0.9366451238862716","0.2"
"1491","1522","1.0","2800","0.6","false","0.957031","2800","0.976493406157158","0.934534460987991","0.2"
"1523","1541","1.0","3400","0.6","false","0.957031","3400","0.9835548654346211","0.9412924964217608","0.2"
"1542","1560","1.0","3800","0.6","false","0.957031","3800","0.9772995810537514","0.9353059953554527","0.2"
"1561","1600","1.0","5000","0.6","false","0.957031","5000","0.9802640293657141","0.9381430642878987","0.2"
"1601","1650","1.0","6300","0.6","false","0.957031","6300","0.9797201624147638","0.9376225667559638","0.2"
"1651","1700","1.0","6200","0.6","false","0.957031","6200","0.9731187197727753","0.9313047815028589","0.2"
"1701","1801","1.0","11300","0.6","false","0.957031","11300","0.9791025102506883","0.9370314544877264","0.2"
"1802","1811","1.0","12500","0.6","false","0.957031","12500","0.9827076758571645","0.940481709733258","0.2"
"1812","1821","1.0","13400","0.6","false","0.957031","13400","0.9804145559663171","0.9382871229110004","0.2"
"1822","1831","1.0","15800","0.6","false","0.957031","15800","0.990910362662456","0.9483319352892129","0.2"
"1832","1841","1.0","20200","0.6","false","0.957031","20200","0.9981569542675652","0.9552671480996422","0.2"
"1842","1851","1.0","27400","0.6","false","0.957031","27400","1.0029401861109897","0.9598448492539865","0.2"
"1852","1861","1.0","29000","0.6","false","0.957031","29000","0.9796681678900045","0.9375728063839389","0.2"
"1862","1871","1.0","31500","0.6","false","0.957031","31500","0.9819030675837481","0.939711674672742","0.2"
"1872","1881","1.0","35000","0.6","false","0.957031","35000","0.984597287130506","0.9422901262997952","0.2"
"1882","1891","1.0","37800","0.6","false","0.957031","37800","0.9814837282373468","0.9393103539187162","0.2"
"1892","1901","1.0","38200","0.6","false","0.957031","38200","0.974108789547266","0.9322523089692095","0.2"
"1902","1911","1.0","42100","0.6","false","0.957031","42100","0.9837466540341235","0.9414760440569312","0.2"
"1912","1921","1.0","44000","0.6","false","0.957031","44000","0.9783666645335355","0.936327227325194","0.2"
"1922","1931","1.0","45000","0.6","false","0.957031","45000","0.9763932764161348","0.9344386337218099","0.2"
"1932","1941","1.0","50200","0.6","false","0.957031","50200","0.983502211778009","0.9412421052401198","0.2"
"1942","1951","1.0","52800","0.6","false","0.957031","52800","0.9793595656015022","0.9372774644271712","0.2"
"1952","1961","1.0","55900","0.6","false","0.957031","55900","0.9795453629292705","0.9374552782295626","0.2"
"1962","1971","1.0","56300","0.6","false","0.957031","56300","0.9741972391145728","0.9323369579470587","0.2"
"1972","1981","1.0","57400","0.6","false","0.957031","57400","0.9756018455476351","0.9336812098462987","0.2"
"1982","1991","1.0","59300","0.6","false","0.957031","59300","0.9780774115393548","0.9360504032429202","0.2"
"1992","2001","1.0","63200","0.6","false","0.957031","63200","0.9793985504053","0.9373147740929346","0.2"
"2002","2011","1.0","65600","0.6","false","0.957031","65600","0.9780741949125685","0.9360473248313703","0.2"
"2012","2015","1.0","66270","0.6","false","0.957031","66270","0.9756162094278399","0.933694956524935","0.2"
