"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.0","1500","0.6","false","1.25","1500","2.6971904587274924","3.3714880734093655"
"1","43","1.0","2000","0.6","false","0.9375","2000","3.4313541729929855","3.216894537180924"
"44","200","1.0","4500","0.6","false","0.9375","4500","1.066310426755339","0.9996660250831303"
"201","410","1.0","3000","0.6","false","0.9375","3000","1.0153324589637214","0.9518741802784888"
"411","430","1.0","1250","0.6","false","0.9375","1250","0.980059234444169","0.9188055322914084"
"431","500","1.0","1300","0.6","false","0.9375","1300","1.0165753461065037","0.9530393869748472"
"501","750","1.0","1300","0.6","false","0.9375","1300","1.0163568536242416","0.9528345502727265"
"751","950","1.0","1400","0.6","false","0.9375","1400","1.017813630896247","0.9542002789652316"
"951","1066","1.0","1500","0.6","false","0.9375","1500","1.0175612215061323","0.953963645161999"
"1067","1086","1.0","2000","0.6","false","0.9375","2000","1.0577294667579369","0.9916213750855658"
"1087","1190","1.0","3700","0.6","false","0.9375","3700","1.0569825695978567","0.9909211589979907"
"1191","1220","1.0","4800","0.6","false","0.9375","4800","1.043028328007247","0.977839057506794"
"1221","1250","1.0","5000","0.6","false","0.9375","5000","1.018015412327716","0.9543894490572338"
"1251","1279","1.0","5300","0.6","false","0.9375","5300","1.0199699656286416","0.9562218427768515"
"1280","1290","1.0","5700","0.6","false","0.9375","5700","1.02569012647259","0.9615844935680531"
"1291","1315","1.0","5600","0.6","false","0.9375","5600","1.0156012770904979","0.9521261972723417"
"1316","1325","1.0","5000","0.6","false","0.9375","5000","1.0057178861031766","0.942860518221728"
"1326","1348","1.0","5700","0.6","false","0.9375","5700","1.0267091711549017","0.9625398479577203"
"1349","1351","1.0","3000","0.6","true","0.9375","3000","0.8630635086206017","0.809122039331814"
"1352","1377","1.0","3000","0.6","false","0.9375","3000","1.0153177737319656","0.9518604128737178"
"1378","1400","1.0","2500","0.6","false","0.9375","2500","1.0117367636646677","0.9485032159356259"
"1401","1430","1.0","2400","0.6","false","0.9375","2400","1.016889913478847","0.953334293886419"
"1431","1450","1.0","2300","0.6","false","0.9375","2300","1.016696536788817","0.9531530032395159"
"1451","1490","1.0","2600","0.6","false","0.9375","2600","1.0229462011512997","0.9590120635793435"
"1491","1522","1.0","2800","0.6","false","0.9375","2800","1.018597680592226","0.954935325555212"
"1523","1541","1.0","3400","0.6","false","0.9375","3400","1.0401334281943175","0.9751250889321726"
"1542","1560","1.0","3800","0.6","false","0.9375","3800","1.0279378498689582","0.9636917342521483"
"1561","1600","1.0","5000","0.6","false","0.9375","5000","1.0394256959275705","0.9744615899320973"
"1601","1650","1.0","6300","0.6","false","0.9375","6300","1.029051994245912","0.9647362446055425"
"1651","1700","1.0","6200","0.6","false","0.9375","6200","1.0166756579604626","0.9531334293379337"
"1701","1801","1.0","11300","0.6","false","0.9375","11300","1.0539715068988527","0.9880982877176744"
"1802","1811","1.0","12500","0.6","false","0.9375","12500","1.033236183600199","0.9686589221251867"
"1812","1821","1.0","13400","0.6","false","0.9375","13400","1.0263018257290015","0.9621579616209389"
"1822","1831","1.0","15800","0.6","false","0.9375","15800","1.0480532090265002","0.982549883462344"
"1832","1841","1.0","20200","0.6","false","0.9375","20200","1.083618077524131","1.0158919476788728"
"1842","1851","1.0","27400","0.6","false","0.9375","27400","1.115995044001956","1.0462453537518337"
"1852","1861","1.0","29000","0.6","false","0.9375","29000","1.025475799775321","0.9613835622893634"
"1862","1871","1.0","31500","0.6","false","0.9375","31500","1.0293044022327718","0.9649728770932235"
"1872","1881","1.0","35000","0.6","false","0.9375","35000","1.0334817945378614","0.968889182379245"
"1882","1891","1.0","37800","0.6","false","0.9375","37800","1.0289013052217784","0.9645949736454172"
"1892","1901","1.0","38200","0.6","false","0.9375","38200","1.0189211919060484","0.9552386174119203"
"1902","1911","1.0","42100","0.6","false","0.9375","42100","1.0323817112359142","0.9678578542836695"
"1912","1921","1.0","44000","0.6","false","0.9375","44000","1.0225679253362692","0.9586574300027524"
"1922","1931","1.0","45000","0.6","false","0.9375","45000","1.0193105454639344","0.9556036363724385"
"1932","1941","1.0","50200","0.6","false","0.9375","50200","1.0345718229003638","0.969911083969091"
"1942","1951","1.0","52800","0.6","false","0.9375","52800","1.0231968822080177","0.9592470770700167"
"1952","1961","1.0","55900","0.6","false","0.9375","55900","1.0234345890223242","0.9594699272084289"
"1962","1971","1.0","56300","0.6","false","0.9375","56300","1.0178727850780365","0.9542557360106592"
"1972","1981","1.0","57400","0.6","false","0.9375","57400","1.0188958280775766","0.9552148388227281"
"1982","1991","1.0","59300","0.6","false","0.9375","59300","1.0206085475457733","0.9568205133241625"
"1992","2001","1.0","63200","0.6","false","0.9375","63200","1.02470420878491","0.9606601957358532"
"2002","2011","1.0","65600","0.6","false","0.9375","65600","1.020701645453697","0.956907792612841"
"2012","2015","1.0","66270","0.6","false","0.9375","66270","1.0182099050414086","0.9545717859763205"
