"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.5","1500","1.1872011675599932","2.968002918899983"
"1","43","1.066","2000","0.6","false","2.5","2000","1.0482472818145552","2.620618204536388"
"44","200","1.066","4500","0.6","false","1.875","4500","3.899998566318536","7.312497311847255"
"201","410","1.066","3000","0.6","false","1.875","3000","0.9787979695604949","1.835246192925928"
"411","430","1.066","1250","0.6","false","1.875","1250","0.8722258294612388","1.6354234302398227"
"431","500","1.066","1300","0.6","false","1.875","1300","0.8807803998923524","1.6514632497981607"
"501","750","1.066","1300","0.6","false","1.40625","1300","3.5844451501533197","5.040625992403106"
"751","950","1.066","1400","0.6","false","1.40625","1400","1.031747782887133","1.450895319685031"
"951","1066","1.066","1500","0.6","false","1.40625","1500","1.0042253395848828","1.4121918837912415"
"1067","1086","1.066","2000","0.6","false","1.40625","2000","1.0315906531069257","1.4506743559316142"
"1087","1190","1.066","3700","0.6","false","1.40625","3700","1.015825750089151","1.4285049610628686"
"1191","1220","1.066","4800","0.6","false","1.40625","4800","0.9939647709475896","1.397762959145048"
"1221","1250","1.066","5000","0.6","false","1.40625","5000","0.9692440551059793","1.3629994524927835"
"1251","1279","1.066","5300","0.6","false","1.40625","5300","0.9659426629465874","1.3583568697686386"
"1280","1290","1.066","5700","0.6","false","1.40625","5700","0.9663741990266385","1.3589637173812104"
"1291","1315","1.066","5600","0.6","false","1.40625","5600","0.9574102333309473","1.3463581406216447"
"1316","1325","1.066","5000","0.6","false","1.40625","5000","0.9428391406776993","1.3258675415780146"
"1326","1348","1.066","5700","0.6","false","1.40625","5700","0.9614777082025282","1.3520780271598052"
"1349","1351","1.066","3000","0.6","true","1.40625","3000","0.8048224291115519","1.1317815409381198"
"1352","1377","1.066","3000","0.6","false","1.40625","3000","0.9490187308741496","1.3345575902917728"
"1378","1400","1.066","2500","0.6","false","1.40625","2500","0.9415202784744189","1.3240128916046516"
"1401","1430","1.066","2400","0.6","false","1.40625","2400","0.9428688484184603","1.3259093180884598"
"1431","1450","1.066","2300","0.6","false","1.40625","2300","0.9369674273200179","1.3176104446687753"
"1451","1490","1.066","2600","0.6","false","1.40625","2600","0.9417042249133966","1.324271566284464"
"1491","1522","1.066","2800","0.6","false","1.40625","2800","0.9351762800275545","1.3150916437887485"
"1523","1541","1.066","3400","0.6","false","1.40625","3400","0.948102250465023","1.3332687897164386"
"1542","1560","1.066","3800","0.6","false","1.40625","3800","0.9376303385002999","1.3185426635160467"
"1561","1600","1.066","5000","0.6","false","1.40625","5000","0.9451785179931734","1.3291572909279001"
"1601","1650","1.066","6300","0.6","false","1.40625","6300","0.9334160861173744","1.3126163711025578"
"1651","1700","1.066","6200","0.6","false","1.40625","6200","0.9178093794281296","1.2906694398208072"
"1701","1801","1.066","11300","0.6","false","1.40625","11300","0.9460164997549549","1.3303357027804055"
"1802","1811","1.066","12500","0.6","false","1.40625","12500","0.922708854360214","1.297559326444051"
"1812","1821","1.066","13400","0.6","false","1.40625","13400","0.9159853693838448","1.2881044256960317"
"1822","1831","1.066","15800","0.6","false","1.40625","15800","0.9353863091249626","1.3153869972069787"
"1832","1841","1.066","20200","0.6","false","1.40625","20200","0.9611352821802261","1.351596490565943"
"1842","1851","1.066","27400","0.6","false","1.40625","27400","0.9930456744232903","1.396470479657752"
"1852","1861","1.066","29000","0.6","false","1.40625","29000","0.912906500171041","1.2837747658655265"
"1862","1871","1.066","31500","0.6","false","1.40625","31500","0.9170840829737289","1.2896494916818062"
"1872","1881","1.066","35000","0.6","false","1.40625","35000","0.920429931107552","1.294354590619995"
"1882","1891","1.066","37800","0.6","false","1.40625","37800","0.9141632340394198","1.285542047867934"
"1892","1901","1.066","38200","0.6","false","1.40625","38200","0.9059370148508155","1.2739739271339592"
"1902","1911","1.003","42100","0.13","false","1.40625","42100","0.9345106107872396","1.3141555464195558"
"1912","1921","1.003","44000","0.13","false","1.40625","44000","0.8976540424231094","1.2623259971574976"
"1922","1931","1.003","45000","0.13","false","1.40625","45000","0.8991372330399479","1.2644117339624268"
"1932","1941","1.003","50200","0.13","false","1.40625","50200","0.954425131566647","1.3421603412655974"
"1942","1951","1.003","52800","0.13","false","1.40625","52800","0.945051156659664","1.3289781890526524"
"1952","1961","1.003","55900","0.13","false","1.40625","55900","0.9373220453883542","1.318109126327373"
"1962","1971","1.003","56300","0.13","false","1.40625","56300","0.915436075112779","1.2873319806273456"
"1972","1981","1.003","57400","0.13","false","1.40625","57400","0.9189725458620215","1.2923051426184677"
"1982","1991","1.003","59300","0.13","false","1.40625","59300","0.9199509083283255","1.2936809648367078"
"1992","2001","1.003","63200","0.13","false","1.40625","63200","0.939518042992975","1.3211972479588712"
"2002","2011","1.003","65600","0.13","false","1.40625","65600","0.925087552173187","1.3009043702435443"
"2012","2015","1.003","66270","0.13","false","1.40625","66270","0.9183780498974882","1.2914691326683427"
