"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","2.5","15","90","41","1.2305643702702525","3.0764109256756313","150.0"
"1","43","20","0.35","false","2.5","20","90","41","1.1783490050760914","2.9458725126902285","150.0"
"44","200","45","0.35","false","2.5","45","90","41","1.1482129923109292","2.870532480777323","150.0"
"201","410","30","0.35","false","2.5","30","90","41","1.1422863168019104","2.855715792004776","150.0"
"411","430","12","0.35","false","2.5","12","90","41","1.116453138140781","2.791132845351952","150.0"
"431","500","13","0.35","false","2.5","13","90","41","1.2313253413253418","3.078313353313354","150.0"
"501","750","13","0.35","false","2.5","13","90","41","1.2545093795093825","3.1362734487734563","150.0"
"751","950","14","0.35","false","2.5","14","90","41","1.3032429653679682","3.2581074134199204","150.0"
"951","1066","15","0.35","false","2.5","15","90","41","1.275821209441899","3.1895530236047476","150.0"
"1067","1086","20","0.35","false","2.5","20","90","41","1.1866536935286935","2.966634233821734","150.0"
"1087","1190","37","0.35","false","2.5","37","90","41","1.1980896150192846","2.9952240375482115","150.0"
"1191","1220","48","0.35","false","2.5","48","90","41","1.1770623026680667","2.9426557566701668","150.0"
"1221","1250","50","0.35","false","2.5","50","90","41","1.1251710567672737","2.812927641918184","150.0"
"1251","1279","53","0.35","false","2.5","53","90","41","1.1509456341071123","2.8773640852677804","150.0"
"1280","1290","57","0.35","false","2.5","57","90","41","1.1459849683636882","2.8649624209092206","150.0"
"1291","1315","56","0.35","false","2.5","56","90","41","1.1494612742452215","2.873653185613054","150.0"
"1316","1325","50","0.35","false","2.5","50","90","41","1.1497794144011324","2.874448536002831","150.0"
"1326","1348","57","0.35","false","2.5","57","90","41","1.1439436900966953","2.8598592252417383","150.0"
"1349","1351","30","0.35","true","2.5","30","90","41","1.0108145015638077","2.527036253909519","150.0"
"1352","1377","30","0.35","false","2.5","30","90","41","1.1812960543729771","2.9532401359324427","150.0"
"1378","1400","25","0.35","false","2.5","25","90","41","1.1518571077455766","2.8796427693639415","150.0"
"1401","1430","24","0.35","false","2.5","24","90","41","1.1387146918157147","2.8467867295392866","150.0"
"1431","1450","23","0.35","false","2.5","23","90","41","1.1625800667677093","2.9064501669192735","150.0"
"1451","1490","26","0.35","false","2.5","26","90","41","1.2007687128141595","3.001921782035399","150.0"
"1491","1522","28","0.35","false","2.5","28","90","41","1.173282867494824","2.9332071687370598","150.0"
"1523","1541","34","0.35","false","2.5","34","90","41","1.2232558590279727","3.0581396475699316","150.0"
"1542","1560","38","0.35","false","2.5","38","90","41","1.1712434977258164","2.928108744314541","150.0"
"1561","1600","50","0.31","false","2.5","50","90","41","1.168415970066408","2.92103992516602","150.0"
"1601","1650","63","0.29","false","2.5","63","90","41","1.1671093238702002","2.9177733096755003","150.0"
"1651","1700","62","0.26","false","2.5","62","90","41","1.1543904046155042","2.8859760115387605","150.0"
"1701","1801","113","0.25","false","2.5","113","90","41","1.173354662450216","2.93338665612554","150.0"
"1802","1811","125","0.28","false","2.5","125","90","41","1.1518051521965527","2.8795128804913817","150.0"
"1812","1821","134","0.28","false","2.5","134","90","41","1.169232643504183","2.923081608760458","150.0"
"1822","1831","158","0.26","false","2.5","158","90","41","1.1649401792645693","2.912350448161423","150.0"
"1832","1841","202","0.25","false","2.5","202","90","41","1.1889937717467052","2.972484429366763","150.0"
"1842","1851","274","0.22","false","2.5","274","90","41","1.2230166756250536","3.057541689062634","150.0"
"1852","1861","290","0.25","false","2.5","290","90","41","1.1628131827616657","2.907032956904164","150.0"
"1862","1871","315","0.22","false","2.5","315","90","41","1.1827425914179224","2.9568564785448057","150.0"
"1872","1881","350","0.21","false","2.5","350","90","41","1.180647194801014","2.951617987002535","150.0"
"1882","1891","378","0.19","false","2.5","378","90","41","1.1770471011063193","2.9426177527657984","150.0"
"1892","1901","382","0.18","false","2.5","382","90","41","1.1754205977164542","2.9385514942911355","150.0"
"1902","1911","421","0.13","false","2.5","421","90","41","1.1945242319952052","2.9863105799880127","150.0"
"1912","1921","440","0.14","false","2.5","440","90","41","1.1871968824505024","2.967992206126256","150.0"
"1922","1931","450","0.12","false","2.5","450","90","41","1.1895014548307392","2.973753637076848","150.0"
"1932","1941","502","0.07","false","2.5","502","90","41","1.2222617746989486","3.0556544367473712","150.0"
"1942","1951","528","0.08","false","2.5","528","90","41","1.2055296623190919","3.01382415579773","150.0"
"1952","1961","559","0.09","false","2.5","559","90","41","1.2038889767153438","3.0097224417883597","150.0"
"1962","1971","563","0.1","false","2.5","563","90","41","1.2059350594781615","3.0148376486954036","150.0"
"1972","1981","574","0.07","false","2.5","574","90","41","1.2131578881353788","3.0328947203384473","150.0"
"1982","1991","593","0.1","false","2.5","593","90","41","1.2113036143549647","3.0282590358874115","150.0"
"1992","2001","632","0.09","false","2.5","632","90","41","1.224590712744749","3.061476781861873","150.0"
"2002","2011","656","0.09","false","2.5","656","90","41","1.2606819527226523","3.151704881806631","150.0"
"2012","2015","662","0.09","false","2.5","662","90","41","1.2896268160517632","3.224067040129408","150.0"
