"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.25","1500","90","41","1.8480106259957894","2.3100132824947366","0.00375","false","true"
"-50","0","1500","0.35","false","1.25","1500","90","41","1.76841445969732","2.2105180746216497","0.00375","false","true"
"1","43","2000","0.35","false","1.25","2000","90","41","1.777711169810396","2.222138962262995","0.00375","false","true"
"44","200","4500","0.35","false","1.25","4500","90","41","1.7747595860020786","2.2184494825025984","0.00375","false","true"
"201","410","3000","0.35","false","1.25","3000","90","41","1.7618966668866711","2.202370833608339","0.00375","false","true"
"411","430","1250","0.35","false","1.25","1250","90","41","1.6868089290972812","2.1085111613716014","0.00375","false","true"
"431","500","1300","0.35","false","1.25","1300","90","41","1.7646908637427676","2.2058635796784594","0.00375","false","true"
"501","750","1300","0.35","false","1.25","1300","90","41","1.7644846566031371","2.2056058207539215","0.00375","false","true"
"751","950","1400","0.35","false","0.9375","1400","90","41","4.9964396557542345","4.684162177269595","0.00375","false","true"
"951","1066","1500","0.35","false","1.191406","1500","90","41","4.529472503097344","5.396440717025195","0.00375","false","true"
"1067","1086","2000","0.35","false","1.191406","2000","90","41","1.8763743974894294","2.235523715415291","0.00375","false","true"
"1087","1190","3700","0.35","false","1.191406","3700","90","41","1.861040617806317","2.217254958298153","0.00375","false","true"
"1191","1220","4800","0.35","false","1.191406","4800","90","41","1.8668697973594155","2.224199877792792","0.00375","false","true"
"1221","1250","5000","0.35","false","1.191406","5000","90","41","1.8520503036752318","2.206543844100493","0.00375","false","true"
"1251","1279","5300","0.35","false","1.191406","5300","90","41","1.8531679953042015","2.2078754686133975","0.00375","false","true"
"1280","1290","5700","0.35","false","1.191406","5700","90","41","1.8629079348239934","2.2194796909969146","0.00375","false","true"
"1291","1315","5600","0.35","false","1.191406","5600","90","41","1.848765626174674","2.2026304596182635","0.00375","false","true"
"1316","1325","5000","0.35","false","1.191406","5000","90","41","1.8317550562033684","2.18236396449103","0.00375","false","true"
"1326","1348","5700","0.35","false","1.191406","5700","90","41","1.8617575697000412","2.2181091390860472","0.00375","false","true"
"1349","1351","3000","0.35","true","1.191406","3000","90","41","1.510740093201549","1.7999048114808844","0.00375","false","true"
"1352","1377","3000","0.35","false","1.191406","3000","90","41","1.850417678417751","2.2045987245729792","0.00375","false","true"
"1378","1400","2500","0.35","false","1.191406","2500","90","41","1.8371320490453678","2.1887701460249454","0.00375","false","true"
"1401","1430","2400","0.35","false","1.191406","2400","90","41","1.8473938895386395","2.200996164359672","0.00375","false","true"
"1431","1450","2300","0.35","false","1.191406","2300","90","41","1.8448248312474942","2.197935372897252","0.00375","false","true"
"1451","1490","2600","0.35","false","1.191406","2600","90","41","1.8569811729999846","2.2124185113992194","0.00375","false","true"
"1491","1522","2800","0.35","false","1.191406","2800","90","41","1.8533934368887264","2.20814406106985","0.00375","false","true"
"1523","1541","3400","0.35","false","1.191406","3400","90","41","1.8714975347012308","2.2297133918282546","0.00375","false","true"
"1542","1560","3800","0.35","false","1.191406","3800","90","41","1.8603106250603383","2.2163852405606375","0.00375","false","true"
"1561","1600","5000","0.31","false","1.191406","5000","90","41","1.8704590834195969","2.2284761747406083","0.00375","false","true"
"1601","1650","6300","0.29","false","1.191406","6300","90","41","1.8720047098196082","2.23031764330734","0.00375","false","true"
"1651","1700","6200","0.26","false","1.191406","6200","90","41","1.870230785446935","2.228204179166191","0.00375","false","true"
"1701","1801","11300","0.25","false","1.191406","11300","90","41","1.8856573371379608","2.2465834654101893","0.00375","false","true"
"1802","1811","12500","0.28","false","1.191406","12500","90","41","1.8867459105690636","2.2478803983274456","0.00375","false","true"
"1812","1821","13400","0.28","false","1.191406","13400","90","41","1.880317196791862","2.240221190161005","0.00375","false","true"
"1822","1831","15800","0.26","false","1.191406","15800","90","41","1.9041762969954221","2.268647065298128","0.00375","false","true"
"1832","1841","20200","0.25","false","1.191406","20200","90","41","1.9186441514180206","2.285884153864338","0.00375","false","true"
"1842","1851","27400","0.22","false","1.191406","27400","90","41","1.9391889929749329","2.310361401364293","0.00375","false","true"
"1852","1861","29000","0.25","false","1.191406","29000","90","41","1.882408809964834","2.242713150644963","0.00375","false","true"
"1862","1871","31500","0.22","false","1.191406","31500","90","41","1.8979923603972526","2.261279486131449","0.00375","false","true"
"1872","1881","35000","0.21","false","1.191406","35000","90","41","1.902920535941129","2.2671509440434767","0.00375","false","true"
"1882","1891","37800","0.19","false","1.191406","37800","90","41","1.9031812928271683","2.2674616113620454","0.00375","false","true"
"1892","1901","38200","0.18","false","1.191406","38200","90","41","1.8939870464478592","2.256507531060258","0.00375","false","true"
"1902","1911","42100","0.13","false","1.191406","42100","90","41","1.9274596298417244","2.2963869677512094","0.00375","false","true"
"1912","1921","44000","0.14","false","1.191406","44000","90","41","1.9135656760368753","2.2798336278243894","0.00375","false","true"
"1922","1931","45000","0.12","false","1.191406","45000","90","41","1.91917100598237","2.2865118515534313","0.00375","false","true"
"1932","1951","50200","0.07","false","1.191406","50200","90","41","1.9447585430344851","2.3169969967225437","0.00375","false","true"
"1952","1961","55900","0.09","false","1.191406","55900","90","41","1.9540098114863587","2.3280190134637166","0.00375","false","true"
"1962","1971","56300","0.1","false","1.191406","56300","90","41","1.9393953037589893","2.3106072012702823","0.00375","false","true"
"1972","1981","57400","0.07","false","1.191406","57400","90","41","1.9517703220141158","2.3253508722695497","0.00375","true","true"
"1982","1991","59300","0.1","false","1.191406","59300","90","41","1.9494371472806773","2.3225711138930825","0.00375","true","true"
"1992","2001","63200","0.09","false","1.191406","63200","90","41","1.9654464642799603","2.34164471022193","0.00375","true","true"
"2002","2011","65600","0.09","false","1.191406","65600","90","41","1.9826529956698464","2.362144674959029","0.00375","true","true"
"2012","2015","66270","0.09","false","1.191406","66270","90","41","1.99208684083032","2.373384214686288","0.00375","true","true"
