"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","2.5","1500","90","41","3.5686939251250815","8.921734812812703","0.0075","false"
"1","43","2000","0.35","false","1.5625","2000","90","41","5.696788279121046","8.901231686126634","0.0075","false"
"44","200","4500","0.35","false","0.78125","4500","90","41","3.600432059966906","2.8128375468491456","0.0075","false"
"201","410","3000","0.35","false","0.5859369999999999","3000","90","41","5.057024124744791","2.963097544580588","0.0075","false"
"411","430","1250","0.35","false","0.5859369999999999","1250","90","41","2.1324430715047997","1.2494772959883076","0.0075","false"
"431","500","1300","0.35","false","0.5859369999999999","1300","90","41","2.210443477091693","1.295180619636675","0.0075","false"
"501","750","1300","0.35","false","0.5859369999999999","1300","90","41","2.1722264168131065","1.272787829988221","0.0075","false"
"751","950","1400","0.35","false","0.5859369999999999","1400","90","41","2.146920764855844","1.2579603121973386","0.0075","false"
"951","1066","1500","0.35","false","0.5859369999999999","1500","90","41","2.1347419311883002","1.250824282934679","0.0075","false"
"1067","1086","2000","0.35","false","0.5859369999999999","2000","90","41","2.1610239122052075","1.2662238680457825","0.0075","false"
"1087","1190","3700","0.35","false","0.5859369999999999","3700","90","41","2.138794172902885","1.2531986412881977","0.0075","false"
"1191","1220","4800","0.35","false","0.5859369999999999","4800","90","41","2.1430408517281614","1.2556869275390437","0.0075","false"
"1221","1250","5000","0.35","false","0.5859369999999999","5000","90","41","2.1270094070456502","1.246293510936107","0.0075","false"
"1251","1279","5300","0.35","false","0.5859369999999999","5300","90","41","2.127717191902021","1.2467082282714943","0.0075","false"
"1280","1290","5700","0.35","false","0.5859369999999999","5700","90","41","2.133451523433889","1.2500681852862825","0.0075","false"
"1291","1315","5600","0.35","false","0.5859369999999999","5600","90","41","2.1211561143163595","1.2428638501541847","0.0075","false"
"1316","1325","5000","0.35","false","0.5859369999999999","5000","90","41","2.0995901627405464","1.2302275611857074","0.0075","false"
"1326","1348","5700","0.35","false","0.5859369999999999","5700","90","41","2.134344919033498","1.2505916588237307","0.0075","false"
"1349","1351","3000","0.35","true","0.5859369999999999","3000","90","41","1.7356660085107463","1.016990934028761","0.0075","false"
"1352","1377","3000","0.35","false","0.5859369999999999","3000","90","41","2.1210982486337393","1.242829944509707","0.0075","false"
"1378","1400","2500","0.35","false","0.5859369999999999","2500","90","41","2.104394909591666","1.233042840141412","0.0075","false"
"1401","1430","2400","0.35","false","0.5859369999999999","2400","90","41","2.1158019544292155","1.239726649772391","0.0075","false"
"1431","1450","2300","0.35","false","0.5859369999999999","2300","90","41","2.1183361549687025","1.2412115316338965","0.0075","false"
"1451","1490","2600","0.35","false","0.5859369999999999","2600","90","41","2.1265473269169677","1.2460227610917471","0.0075","false"
"1491","1522","2800","0.35","false","0.5859369999999999","2800","90","41","2.1221187819148506","1.2434279127188417","0.0075","false"
"1523","1541","3400","0.35","false","0.5859369999999999","3400","90","41","2.1407993343072915","1.2543735395460114","0.0075","false"
"1542","1560","3800","0.35","false","0.5859369999999999","3800","90","41","2.128028265076078","1.2468904975538817","0.0075","false"
"1561","1600","5000","0.31","false","0.5859369999999999","5000","90","41","2.1415920276475604","1.2548380079037285","0.0075","false"
"1601","1650","6300","0.29","false","0.5859369999999999","6300","90","41","2.140898480053116","1.2544316327068825","0.0075","false"
"1651","1700","6200","0.26","false","0.5859369999999999","6200","90","41","2.1390857370720058","1.2533694795227597","0.0075","false"
"1701","1801","11300","0.25","false","0.5859369999999999","11300","90","41","2.155542728215568","1.263012239542445","0.0075","false"
"1802","1811","12500","0.28","false","0.5859369999999999","12500","90","41","2.154154056585396","1.262198565453477","0.0075","false"
"1812","1821","13400","0.28","false","0.5859369999999999","13400","90","41","2.1507082859401856","1.2601795609389344","0.0075","false"
"1822","1831","15800","0.26","false","0.5859369999999999","15800","90","41","2.1739539414051627","1.2738000505651166","0.0075","false"
"1832","1841","20200","0.25","false","0.5859369999999999","20200","90","41","2.1927748417843915","1.2848279124706208","0.0075","false"
"1842","1851","27400","0.22","false","0.5859369999999999","27400","90","41","2.2159754234463205","1.2984219916878665","0.0075","false"
"1852","1861","29000","0.25","false","0.5859369999999999","29000","90","41","2.1503729891249934","1.259983098128931","0.0075","false"
"1862","1871","31500","0.22","false","0.5859369999999999","31500","90","41","2.1686102706143635","1.2706689961329682","0.0075","false"
"1872","1881","35000","0.21","false","0.5859369999999999","35000","90","41","2.1742937529313116","1.2739991587113138","0.0075","false"
"1882","1891","37800","0.19","false","0.5859369999999999","37800","90","41","2.1759747853936995","1.274984137829228","0.0075","false"
"1892","1901","38200","0.18","false","0.5859369999999999","38200","90","41","2.163729554398789","1.2678092039157631","0.0075","false"
"1902","1911","42100","0.13","false","0.5859369999999999","42100","90","41","2.2011420810985265","1.2897305875726273","0.0075","false"
"1912","1921","44000","0.14","false","0.5859369999999999","44000","90","41","2.1851017105806103","1.280331940992471","0.0075","false"
"1922","1931","45000","0.12","false","0.5859369999999999","45000","90","41","2.1928873990974487","1.2848938639649616","0.0075","false"
"1932","1951","50200","0.07","false","0.5859369999999999","50200","90","41","2.220664961517818","1.3011697655568655","0.0075","false"
"1952","1961","55900","0.09","false","0.5859369999999999","55900","90","41","2.232342621187533","1.3080121384307595","0.0075","true"
"1962","1971","56300","0.1","false","0.5859369999999999","56300","90","41","2.21465962384522","1.2976510160169965","0.0075","true"
"1972","1981","57400","0.07","false","0.5859369999999999","57400","90","41","2.228721999776719","1.3058906823831713","0.0075","true"
"1982","1991","59300","0.1","false","0.5859369999999999","59300","90","41","2.225628191792519","1.304077905814333","0.0075","true"
"1992","2001","63200","0.09","false","0.5859369999999999","63200","90","41","2.244457507038731","1.3151106983017529","0.0075","true"
"2002","2011","65600","0.09","false","0.5859369999999999","65600","90","41","2.266316380465596","1.3279186210208698","0.0075","true"
"2012","2015","66270","0.09","false","0.5859369999999999","66270","90","41","2.2761213560297486","1.3336637189880027","0.0075","true"
