"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","0.9375","1500","11.939155262300785","11.192958058406987","1.0"
"1","43","1.066","2000","0.6","false","0.703125","2000","3.1376944199853867","2.206191389052225","1.0"
"44","200","1.066","4500","0.6","false","0.703125","4500","0.8727795657932476","0.6136731321983772","1.0"
"201","410","1.066","3000","0.6","false","0.703125","3000","0.8609672037974967","0.6053675651701149","1.0"
"411","430","1.066","1250","0.6","false","0.703125","1250","0.8262501085386159","0.5809571075662143","1.0"
"431","500","1.066","1300","0.6","false","0.703125","1300","0.8636351686759098","0.6072434779752491","1.0"
"501","750","1.066","1300","0.6","false","0.703125","1300","0.8628635109625795","0.6067009061455637","1.0"
"751","950","1.066","1400","0.6","false","0.703125","1400","0.8633906687111501","0.6070715639375274","1.0"
"951","1066","1.066","1500","0.6","false","0.703125","1500","0.862992392445769","0.6067915259384313","1.0"
"1067","1086","1.066","2000","0.6","false","0.703125","2000","0.8759668988397026","0.6159142257466659","1.0"
"1087","1190","1.066","3700","0.6","false","0.703125","3700","0.8684367570548337","0.6106195948041799","1.0"
"1191","1220","1.066","4800","0.6","false","0.703125","4800","0.8695438862250544","0.6113980450019914","1.0"
"1221","1250","1.066","5000","0.6","false","0.703125","5000","0.863712033957803","0.6072975238765803","1.0"
"1251","1279","1.066","5300","0.6","false","0.703125","5300","0.86428395957109","0.6076996590734227","1.0"
"1280","1290","1.066","5700","0.6","false","0.703125","5700","0.8689455771703141","0.6109773589478771","1.0"
"1291","1315","1.066","5600","0.6","false","0.703125","5600","0.8629844522983443","0.6067859430222733","1.0"
"1316","1325","1.066","5000","0.6","false","0.703125","5000","0.8515169713578541","0.5987228704859912","1.0"
"1326","1348","1.066","5700","0.6","false","0.703125","5700","0.8679991547412843","0.6103119056774655","1.0"
"1349","1351","1.066","3000","0.6","true","0.703125","3000","0.7050218302519723","0.49571847439591804","1.0"
"1352","1377","1.066","3000","0.6","false","0.703125","3000","0.8625312177017672","0.606467262446555","1.0"
"1378","1400","1.066","2500","0.6","false","0.703125","2500","0.8552071929841766","0.6013175575669991","1.0"
"1401","1430","1.066","2400","0.6","false","0.703125","2400","0.8620601088309953","0.6061360140217935","1.0"
"1431","1450","1.066","2300","0.6","false","0.703125","2300","0.8601660736145516","0.6048042705102316","1.0"
"1451","1490","1.066","2600","0.6","false","0.703125","2600","0.8640262766010951","0.607518475735145","1.0"
"1491","1522","1.066","2800","0.6","false","0.703125","2800","0.863999826750903","0.6074998781842287","1.0"
"1523","1541","1.066","3400","0.6","false","0.703125","3400","0.872226656558291","0.6132843678925484","1.0"
"1542","1560","1.066","3800","0.6","false","0.703125","3800","0.8663099499877759","0.609124183585155","1.0"
"1561","1600","1.066","5000","0.6","false","0.703125","5000","0.868167071691628","0.610429972283176","1.0"
"1601","1650","1.066","6300","0.6","false","0.703125","6300","0.8666009669070196","0.6093288048564982","1.0"
"1651","1700","1.066","6200","0.6","false","0.703125","6200","0.8620236232927327","0.6061103601277027","1.0"
"1701","1801","1.066","11300","0.6","false","0.703125","11300","0.8676419119662301","0.6100607193512555","1.0"
"1802","1811","1.066","12500","0.6","false","0.703125","12500","0.8719845885364705","0.6131141638147058","1.0"
"1812","1821","1.066","13400","0.6","false","0.703125","13400","0.8691931383801489","0.6111514254235422","1.0"
"1822","1831","1.066","15800","0.6","false","0.703125","15800","0.876736269495716","0.6164551894891753","1.0"
"1832","1841","1.066","20200","0.6","false","0.703125","20200","0.8836280055616849","0.6213009414105597","1.0"
"1842","1851","1.066","27400","0.6","false","0.703125","27400","0.8888026906238011","0.6249393918448601","1.0"
"1852","1861","1.066","29000","0.6","false","0.703125","29000","0.8670721556524154","0.6096601094431046","1.0"
"1862","1871","1.066","31500","0.6","false","0.703125","31500","0.8695167177218165","0.6113789421481522","1.0"
"1872","1881","1.066","35000","0.6","false","0.703125","35000","0.8718640987010092","0.6130294443991471","1.0"
"1882","1891","1.066","37800","0.6","false","0.703125","37800","0.8696462974498742","0.6114700528944428","1.0"
"1892","1901","1.066","38200","0.6","false","0.703125","38200","0.862583730392647","0.60650418543233","1.0"
"1902","1911","1.066","42100","0.6","false","0.703125","42100","0.8711444516150684","0.612523442541845","1.0"
"1912","1921","1.066","44000","0.6","false","0.703125","44000","0.8666460794026134","0.6093605245799626","1.0"
"1922","1931","1.066","45000","0.13","false","0.703125","45000","0.9117704351846652","0.6410885872392177","1.0"
"1932","1941","1.066","50200","0.13","false","0.703125","50200","0.9125264426756668","0.6416201550063283","1.0"
"1942","1951","1.066","52800","0.13","false","0.703125","52800","0.9145488645783575","0.6430421704066576","1.0"
"1952","1961","1.066","55900","0.13","false","0.703125","55900","0.9656086893915521","0.678943609728435","1.0"
"1962","1971","1.066","56300","0.13","false","0.703125","56300","1.07585385295566","0.7564597403594485","1.0"
"1972","1981","1.066","57400","0.13","false","0.703125","57400","1.1532831399429022","0.8109022077723531","1.0"
"1982","1991","1.066","59300","0.13","false","0.703125","59300","1.1581662922584237","0.8143356742442042","1.0"
"1992","2001","1.066","63200","0.13","false","5.3515619999999995","63200","2.470180222513825","13.21932261195653","1.0"
"2002","2011","1.066","65600","0.13","false","5.3515619999999995","65600","1.2363607125519789","6.616461007586093","1.0"
"2012","2015","1.066","66270","0.13","false","5.3515619999999995","66270","1.2192875784926527","6.525093072133297","1.0"
