"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.0","1500","2.209593391488796","4.419186782977592"
"1","43","1.066","2000","0.6","false","2.0","2000","1.0688249530085132","2.1376499060170264"
"44","200","1.066","4500","0.6","false","1.0","4500","1.5438373137930093","1.5438373137930093"
"201","410","1.066","3000","0.6","false","0.5","3000","2.221893746805577","1.1109468734027885"
"411","430","1.066","1250","0.6","false","0.5","1250","1.3460906604322151","0.6730453302161076"
"431","500","1.066","1300","0.6","false","0.5","1300","1.3720331857307384","0.6860165928653692"
"501","750","1.066","1300","0.6","false","0.5","1300","1.3323674899626115","0.6661837449813057"
"751","950","1.066","1400","0.6","false","0.5","1400","1.3037997151338505","0.6518998575669253"
"951","1066","1.066","1500","0.6","false","0.5","1500","1.29357278650475","0.646786393252375"
"1067","1086","1.066","2000","0.6","false","0.5","2000","1.3515182933777943","0.6757591466888971"
"1087","1190","1.066","3700","0.6","false","0.5","3700","1.3367497713298713","0.6683748856649356"
"1191","1220","1.066","4800","0.6","false","0.5","4800","1.3162950012206533","0.6581475006103267"
"1221","1250","1.066","5000","0.6","false","0.5","5000","1.2851351161597906","0.6425675580798953"
"1251","1279","1.066","5300","0.6","false","0.5","5300","1.2894580768909196","0.6447290384454598"
"1280","1290","1.066","5700","0.6","false","0.5","5700","1.2947569687458136","0.6473784843729068"
"1291","1315","1.066","5600","0.6","false","0.5","5600","1.2842832877323136","0.6421416438661568"
"1316","1325","1.066","5000","0.6","false","0.5","5000","1.271536126725395","0.6357680633626975"
"1326","1348","1.066","5700","0.6","false","0.5","5700","1.293851998314097","0.6469259991570485"
"1349","1351","1.066","3000","0.6","true","0.5","3000","1.0895787313728842","0.5447893656864421"
"1352","1377","1.066","3000","0.6","false","0.5","3000","1.2813601145969062","0.6406800572984531"
"1378","1400","1.066","2500","0.6","false","0.5","2500","1.274267881159885","0.6371339405799425"
"1401","1430","1.066","2400","0.6","false","0.5","2400","1.2755924402630483","0.6377962201315241"
"1431","1450","1.066","2300","0.6","false","0.5","2300","1.2756524712116497","0.6378262356058249"
"1451","1490","1.066","2600","0.6","false","0.5","2600","1.2849850594105416","0.6424925297052708"
"1491","1522","1.066","2800","0.6","false","0.5","2800","1.2859278488021206","0.6429639244010603"
"1523","1541","1.066","3400","0.6","false","0.5","3400","1.3067502640896898","0.6533751320448449"
"1542","1560","1.066","3800","0.6","false","0.5","3800","1.2888606914155474","0.6444303457077737"
"1561","1600","1.066","5000","0.6","false","0.5","5000","1.3025695872018395","0.6512847936009197"
"1601","1650","1.066","6300","0.6","false","0.5","6300","1.2926635202108352","0.6463317601054176"
"1651","1700","1.066","6200","0.6","false","0.5","6200","1.2775550842749184","0.6387775421374592"
"1701","1801","1.066","11300","0.6","false","0.5","11300","1.3210278611078754","0.6605139305539377"
"1802","1811","1.066","12500","0.6","false","0.5","12500","1.2959841491577717","0.6479920745788859"
"1812","1821","1.066","13400","0.6","false","0.5","13400","1.2874866163148497","0.6437433081574249"
"1822","1831","1.066","15800","0.6","false","0.5","15800","1.3155912249726338","0.6577956124863169"
"1832","1841","1.066","20200","0.6","false","0.5","20200","1.3558971255797994","0.6779485627898997"
"1842","1851","1.066","27400","0.6","false","0.5","27400","1.3914674836072165","0.6957337418036083"
"1852","1861","1.066","29000","0.6","false","0.5","29000","1.2841924028613654","0.6420962014306827"
"1862","1871","1.066","31500","0.6","false","0.5","31500","1.290571714483267","0.6452858572416335"
"1872","1881","1.066","35000","0.6","false","0.5","35000","1.2947814144918128","0.6473907072459064"
"1882","1891","1.066","37800","0.6","false","0.5","37800","1.2885289318893434","0.6442644659446717"
"1892","1901","1.066","38200","0.6","false","0.5","38200","1.2783426141958463","0.6391713070979231"
"1902","1911","1.003","42100","0.13","false","0.5","42100","1.32205505787483","0.661027528937415"
"1912","1921","1.003","44000","0.13","false","0.5","44000","1.2649604696446137","0.6324802348223069"
"1922","1931","1.003","45000","0.13","false","0.5","45000","1.2663312273099177","0.6331656136549588"
"1932","1941","1.003","50200","0.13","false","0.5","50200","1.3523821080352898","0.6761910540176449"
"1942","1951","1.003","52800","0.13","false","0.5","52800","1.3502677134627266","0.6751338567313633"
"1952","1961","1.003","55900","0.13","false","0.5","55900","1.3427818619573606","0.6713909309786803"
"1962","1971","1.003","56300","0.13","false","0.5","56300","1.2878773823439593","0.6439386911719797"
"1972","1981","1.003","57400","0.13","false","0.5","57400","1.300362631636533","0.6501813158182665"
"1982","1991","1.003","59300","0.13","false","0.5","59300","1.2941693111348445","0.6470846555674222"
"1992","2001","1.003","63200","0.13","false","0.5","63200","1.3242669682333523","0.6621334841166762"
"2002","2011","1.003","65600","0.13","false","0.5","65600","1.305782182527599","0.6528910912637995"
"2012","2015","1.003","66270","0.13","false","0.5","66270","1.2891926273658283","0.6445963136829141"
