"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","5.0","15","1.1928036400354738","5.964018200177369"
"1","43","1.066","20","0.6","false","5.0","20","1.215614153208653","6.078070766043266"
"44","200","1.066","45","0.6","false","5.0","45","1.1532444380701452","5.766222190350726"
"201","410","1.066","30","0.6","false","5.0","30","1.1100729578577664","5.550364789288832"
"411","430","1.066","12","0.6","false","5.0","12","1.132315462315462","5.661577311577311"
"431","500","1.066","13","0.6","false","5.0","13","1.2854535147392292","6.427267573696146"
"501","750","1.066","13","0.6","false","7.5","13","1.9807626137536345","14.85571960315226"
"751","950","1.066","14","0.6","false","7.5","14","0.7615035081260849","5.711276310945637"
"951","1066","1.066","15","0.6","false","5.625","15","3.4689135126069504","19.512638508414096"
"1067","1086","1.066","20","0.6","false","5.625","20","1.0410476949950636","5.855893284347233"
"1087","1190","1.066","37","0.6","false","5.625","37","1.0209315688360983","5.742740074703053"
"1191","1220","1.066","48","0.6","false","5.625","48","0.9906720231377021","5.572530130149574"
"1221","1250","1.066","50","0.6","false","5.625","50","0.9948202494457774","5.595863903132498"
"1251","1279","1.066","53","0.6","false","5.625","53","0.983822033413396","5.5339989379503525"
"1280","1290","1.066","57","0.6","false","5.625","57","1.0047248963047735","5.65157754171435"
"1291","1315","1.066","56","0.6","false","5.625","56","0.972086689473227","5.4679876282869015"
"1316","1325","1.066","50","0.6","false","5.625","50","1.0105064921102658","5.684099018120245"
"1326","1348","1.066","57","0.6","false","5.625","57","0.9902681076554971","5.570258105562171"
"1349","1351","1.066","30","0.6","true","5.625","30","0.804182376763022","4.523525869291999"
"1352","1377","1.066","30","0.6","false","5.625","30","0.9904151741426005","5.571085354552128"
"1378","1400","1.066","25","0.6","false","5.625","25","0.9502730551961369","5.3452859354782705"
"1401","1430","1.066","24","0.6","false","5.625","24","1.019768540299433","5.736198039184311"
"1431","1450","1.066","23","0.6","false","5.625","23","0.9589308561808562","5.393986066017316"
"1451","1490","1.066","26","0.6","false","5.625","26","1.024938045217537","5.765276504348646"
"1491","1522","1.066","28","0.6","false","5.625","28","0.983132971226339","5.530122963148157"
"1523","1541","1.066","34","0.6","false","5.625","34","1.0141804903265006","5.7047652580865655"
"1542","1560","1.066","38","0.6","false","5.625","38","0.9848031700986928","5.539517831805147"
"1561","1600","1.066","50","0.6","false","5.625","50","1.0001194371920092","5.625671834205052"
"1601","1650","1.066","63","0.6","false","5.625","63","0.999439774379112","5.621848730882505"
"1651","1700","1.066","62","0.6","false","5.625","62","0.9865231661172669","5.549192809409626"
"1701","1801","1.066","113","0.6","false","5.625","113","0.9952580697213791","5.598326642182758"
"1802","1811","1.066","125","0.6","false","5.625","125","1.0157917825853684","5.713828777042697"
"1812","1821","1.066","134","0.6","false","5.625","134","0.9761545272995551","5.4908692160599974"
"1822","1831","1.066","158","0.6","false","5.625","158","1.0134416837220903","5.700609470936758"
"1832","1841","1.066","202","0.6","false","5.625","202","1.0207999881707985","5.7419999334607414"
"1842","1851","1.066","274","0.6","false","5.625","274","1.0619444299812066","5.973437418644288"
"1852","1861","1.066","290","0.6","false","5.625","290","0.9888148999133151","5.562083812012397"
"1862","1871","1.066","315","0.6","false","5.625","315","0.9812293301595117","5.519414982147254"
"1872","1881","1.066","350","0.6","false","5.625","350","0.9887508645211263","5.561723612931335"
"1882","1891","1.066","378","0.6","false","5.625","378","0.9915401406247689","5.5774132910143255"
"1892","1901","1.066","382","0.6","false","5.625","382","0.970898119003498","5.461301919394677"
"1902","1911","1.003","421","0.13","false","5.625","421","1.0194781120009062","5.734564380005097"
"1912","1921","1.003","440","0.13","false","5.625","440","0.9734507899965881","5.475660693730808"
"1922","1931","1.003","450","0.13","false","5.625","450","0.9710165484548823","5.461968085058713"
"1932","1941","1.003","502","0.13","false","5.625","502","1.0479751118237448","5.894860004008565"
"1942","1951","1.003","528","0.13","false","5.625","528","1.0462440254322476","5.885122643056393"
"1952","1961","1.003","559","0.13","false","5.625","559","1.0533162203430615","5.924903739429721"
"1962","1971","1.003","563","0.13","false","5.625","563","0.9815637616691962","5.5212961593892285"
"1972","1981","1.003","574","0.13","false","5.625","574","0.9807689204012485","5.516825177257023"
"1982","1991","1.003","593","0.13","false","5.625","593","0.9813424494151816","5.5200512779603965"
"1992","2001","1.003","632","0.13","false","5.625","632","1.0134267059970272","5.700525221233278"
"2002","2011","1.003","656","0.13","false","5.625","656","0.9891891372872808","5.564188897240954"
"2012","2015","1.003","662","0.13","false","5.625","662","0.9760861912913218","5.490484826013685"
