"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","5.0","15","90","41","1.0617749465067803","5.308874732533901","150.0"
"1","43","20","0.35","false","5.0","20","90","41","1.0946078222583013","5.473039111291507","150.0"
"44","200","45","0.35","false","5.0","45","90","41","1.0825139041201854","5.412569520600927","150.0"
"201","410","30","0.35","false","5.0","30","90","41","1.0582270540796104","5.291135270398052","150.0"
"411","430","12","0.35","false","5.0","12","90","41","0.9924107400505962","4.962053700252981","150.0"
"431","500","13","0.35","false","5.0","13","90","41","1.1043532657818378","5.521766328909189","150.0"
"501","750","13","0.35","false","5.0","13","90","41","1.1362339105339134","5.681169552669568","150.0"
"751","950","14","0.35","false","5.0","14","90","41","1.1117676767676787","5.558838383838394","150.0"
"951","1066","15","0.35","false","5.0","15","90","41","1.0760910320240957","5.380455160120478","150.0"
"1067","1086","20","0.35","false","5.0","20","90","41","1.1113834123392947","5.556917061696474","150.0"
"1087","1190","37","0.35","false","5.0","37","90","41","1.0709855137206612","5.354927568603306","150.0"
"1191","1220","48","0.35","false","5.0","48","90","41","1.071574963764531","5.357874818822656","150.0"
"1221","1250","50","0.35","false","5.0","50","90","41","1.0485066919682233","5.242533459841116","150.0"
"1251","1279","53","0.35","false","5.0","53","90","41","1.0666121839495153","5.3330609197475765","150.0"
"1280","1290","57","0.35","false","5.0","57","90","41","1.0369570516629338","5.184785258314669","150.0"
"1291","1315","56","0.35","false","5.0","56","90","41","1.0512975289611701","5.25648764480585","150.0"
"1316","1325","50","0.35","false","5.0","50","90","41","1.0484912000312585","5.2424560001562925","150.0"
"1326","1348","57","0.35","false","5.0","57","90","41","1.0511895659508057","5.255947829754028","150.0"
"1349","1351","30","0.35","true","5.0","30","90","41","0.913003663003663","4.565018315018315","150.0"
"1352","1377","30","0.35","false","5.0","30","90","41","1.0976278216331266","5.488139108165633","150.0"
"1378","1400","25","0.35","false","5.0","25","90","41","1.1050694804667818","5.525347402333908","150.0"
"1401","1430","24","0.35","false","5.0","24","90","41","1.0779592991549511","5.389796495774756","150.0"
"1431","1450","23","0.35","false","5.0","23","90","41","1.051451982799809","5.257259913999045","150.0"
"1451","1490","26","0.35","false","5.0","26","90","41","1.090745034808822","5.453725174044109","150.0"
"1491","1522","28","0.35","false","5.0","28","90","41","1.078324120525208","5.39162060262604","150.0"
"1523","1541","34","0.35","false","5.0","34","90","41","1.0620509827635003","5.310254913817501","150.0"
"1542","1560","38","0.35","false","5.0","38","90","41","1.0733260900365333","5.366630450182667","150.0"
"1561","1600","50","0.31","false","5.0","50","90","41","1.0569135926893223","5.284567963446611","150.0"
"1601","1650","63","0.29","false","5.0","63","90","41","1.068845319487982","5.34422659743991","150.0"
"1651","1700","62","0.26","false","5.0","62","90","41","1.0675259894524904","5.337629947262452","150.0"
"1701","1801","113","0.25","false","5.0","113","90","41","1.0705208686995746","5.352604343497873","150.0"
"1802","1811","125","0.28","false","5.0","125","90","41","1.0631709242626748","5.315854621313374","150.0"
"1812","1821","134","0.28","false","5.0","134","90","41","1.0767977752366913","5.383988876183457","150.0"
"1822","1831","158","0.26","false","5.0","158","90","41","1.0962828756181167","5.481414378090584","150.0"
"1832","1841","202","0.25","false","5.0","202","90","41","1.1059606191172218","5.529803095586109","150.0"
"1842","1851","274","0.22","false","5.0","274","90","41","1.1044639655809987","5.522319827904994","150.0"
"1852","1861","290","0.25","false","5.0","290","90","41","1.0643007638156963","5.321503819078481","150.0"
"1862","1871","315","0.22","false","5.0","315","90","41","1.0817133094220837","5.408566547110418","150.0"
"1872","1881","350","0.21","false","5.0","350","90","41","1.0693042404098987","5.346521202049494","150.0"
"1882","1891","378","0.19","false","5.0","378","90","41","1.0788725738835345","5.394362869417673","150.0"
"1892","1901","382","0.18","false","5.0","382","90","41","1.0715532320542391","5.357766160271195","150.0"
"1902","1911","421","0.13","false","5.0","421","90","41","1.0868297951266268","5.434148975633134","150.0"
"1912","1921","440","0.14","false","5.0","440","90","41","1.0862861978064369","5.431430989032185","150.0"
"1922","1931","450","0.12","false","5.0","450","90","41","1.0900397231261738","5.450198615630869","150.0"
"1932","1941","502","0.07","false","5.0","502","90","41","1.1040190779708943","5.520095389854472","150.0"
"1942","1951","528","0.08","false","5.0","528","90","41","1.097512008421063","5.487560042105315","150.0"
"1952","1961","559","0.09","false","5.0","559","90","41","1.1053929350933638","5.526964675466819","150.0"
"1962","1971","563","0.1","false","5.0","563","90","41","1.0975704955598","5.4878524777990005","150.0"
"1972","1981","574","0.07","false","5.0","574","90","41","1.1067797453683688","5.533898726841844","150.0"
"1982","1991","593","0.1","false","5.0","593","90","41","1.1031317488683918","5.515658744341959","150.0"
"1992","2001","632","0.09","false","5.0","632","90","41","1.1207450323121733","5.603725161560867","150.0"
"2002","2011","656","0.09","false","5.0","656","90","41","1.1479816777497374","5.739908388748686","150.0"
"2012","2015","662","0.09","false","5.0","662","90","41","1.1298783899446296","5.649391949723148","150.0"
