"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","0.625","1500","90","41","2.8628770098870473","1.7892981311794045","0.00375","false","true"
"-50","0","1500","0.35","false","0.625","1500","90","41","2.1157131915618086","1.3223207447261305","0.00375","false","true"
"1","43","2000","0.35","false","0.625","2000","90","41","2.13141009084454","1.3321313067778375","0.00375","false","true"
"44","200","4500","0.35","false","0.625","4500","90","41","2.1275055975104937","1.3296909984440586","0.00375","false","true"
"201","410","3000","0.35","false","0.625","3000","90","41","2.1125469853541046","1.3203418658463153","0.00375","false","true"
"411","430","1250","0.35","false","0.625","1250","90","41","2.0210628258190737","1.2631642661369211","0.00375","false","true"
"431","500","1300","0.35","false","0.625","1300","90","41","2.117763716812405","1.3236023230077532","0.00375","false","true"
"501","750","1300","0.35","false","0.625","1300","90","41","2.1166333511053015","1.3228958444408134","0.00375","false","true"
"751","950","1400","0.35","false","0.625","1400","90","41","2.1175946894232482","1.32349668088953","0.00375","false","true"
"951","1066","1500","0.35","false","0.625","1500","90","41","2.1177603480342593","1.323600217521412","0.00375","false","true"
"1067","1086","2000","0.35","false","0.625","2000","90","41","2.1491546446482173","1.3432216529051357","0.00375","false","true"
"1087","1190","3700","0.35","false","0.625","3700","90","41","2.1296314232364755","1.3310196395227971","0.00375","false","true"
"1191","1220","4800","0.35","false","0.625","4800","90","41","2.1350923998643028","1.3344327499151891","0.00375","false","true"
"1221","1250","5000","0.35","false","0.625","5000","90","41","2.1209127384373834","1.3255704615233646","0.00375","false","true"
"1251","1279","5300","0.35","false","0.625","5300","90","41","2.1197425386195654","1.3248390866372284","0.00375","false","true"
"1280","1290","5700","0.35","false","0.625","5700","90","41","2.129379141007063","1.3308619631294145","0.00375","false","true"
"1291","1315","5600","0.35","false","0.625","5600","90","41","2.115899930771917","1.3224374567324482","0.00375","false","true"
"1316","1325","5000","0.35","false","0.625","5000","90","41","2.091279010058037","1.3070493812862733","0.00375","false","true"
"1326","1348","5700","0.35","false","0.625","5700","90","41","2.130119276321955","1.331324547701222","0.00375","false","true"
"1349","1351","3000","0.35","true","0.625","3000","90","41","1.7372150090263059","1.0857593806414412","0.00375","false","true"
"1352","1377","3000","0.35","false","0.625","3000","90","41","2.118465194846743","1.3240407467792141","0.00375","false","true"
"1378","1400","2500","0.35","false","0.625","2500","90","41","2.100027909614111","1.3125174435088194","0.00375","false","true"
"1401","1430","2400","0.35","false","0.625","2400","90","41","2.1127525139145567","1.320470321196598","0.00375","false","true"
"1431","1450","2300","0.35","false","0.625","2300","90","41","2.112738301613035","1.320461438508147","0.00375","false","true"
"1451","1490","2600","0.35","false","0.625","2600","90","41","2.123531537507987","1.3272072109424917","0.00375","false","true"
"1491","1522","2800","0.35","false","0.625","2800","90","41","2.122897246186323","1.3268107788664518","0.00375","false","true"
"1523","1541","3400","0.35","false","0.625","3400","90","41","2.137365575139646","1.335853484462279","0.00375","false","true"
"1542","1560","3800","0.35","false","0.625","3800","90","41","2.129160747249497","1.3307254670309356","0.00375","false","true"
"1561","1600","5000","0.31","false","0.625","5000","90","41","2.139790793920534","1.3373692462003337","0.00375","false","true"
"1601","1650","6300","0.29","false","0.625","6300","90","41","2.1415767672806867","1.338485479550429","0.00375","false","true"
