"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-5050","-51","1500","0.35","false","0.068359","1500","90","41","6.632307165852847","0.45337788555053476","0.0075","false"
"-50","0","1500","0.35","false","0.068359","1500","90","41","1.9735930592256534","0.13491284793560646","0.0075","false"
"1","43","2000","0.35","false","0.068359","2000","90","41","1.9891106293280387","0.1359736135102354","0.0075","false"
"44","200","4500","0.35","false","0.068359","4500","90","41","1.9851841254656224","0.1357052016327045","0.0075","false"
"201","410","3000","0.35","false","0.068359","3000","90","41","1.9703022032673247","0.13468788831315107","0.0075","false"
"411","430","1250","0.35","false","0.068359","1250","90","41","1.8897389596484362","0.12918066554260746","0.0075","false"
"431","500","1300","0.35","false","0.068359","1300","90","41","1.976138889999996","0.13508687838150973","0.0075","false"
"501","750","1300","0.35","false","0.068359","1300","90","41","1.9753816928955636","0.13503511714464783","0.0075","false"
"751","950","1400","0.35","false","0.068359","1400","90","41","1.9748187860561148","0.13499663739600995","0.0075","false"
"951","1066","1500","0.35","false","0.068359","1500","90","41","1.9745945501497255","0.1349813088536851","0.0075","false"
"1067","1086","2000","0.35","false","0.068359","2000","90","41","2.0013419975758593","0.13680973761228818","0.0075","false"
"1087","1190","3700","0.35","false","0.068359","3700","90","41","1.9853512863885063","0.1357166285862319","0.0075","false"
"1191","1220","4800","0.35","false","0.068359","4800","90","41","1.9900399743279482","0.1360371426050842","0.0075","false"
"1221","1250","5000","0.35","false","0.068359","5000","90","41","1.9757889899709662","0.13506295956542527","0.0075","false"
"1251","1279","5300","0.35","false","0.068359","5300","90","41","1.9781543259240955","0.13522465156584526","0.0075","false"
"1280","1290","5700","0.35","false","0.068359","5700","90","41","1.9873726182929736","0.1358548048138894","0.0075","false"
"1291","1315","5600","0.35","false","0.068359","5600","90","41","1.9733129484681264","0.13489369984433267","0.0075","false"
"1316","1325","5000","0.35","false","0.068359","5000","90","41","1.9551625689616423","0.13365295805164892","0.0075","false"
"1326","1348","5700","0.35","false","0.068359","5700","90","41","1.9843449865642322","0.13564783893654436","0.0075","false"
"1349","1351","3000","0.35","true","0.068359","3000","90","41","1.6137637541805125","0.11031527647202566","0.0075","false"
"1352","1377","3000","0.35","false","0.068359","3000","90","41","1.9754069165519421","0.13503684140857422","0.0075","false"
"1378","1400","2500","0.35","false","0.068359","2500","90","41","1.9575621443937228","0.1338169906286105","0.0075","false"
