"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","0.15625","1500","3.5596417728124927","0.556194027001952"
"1","43","1.066","2000","0.6","false","0.09765599999999999","2000","4.4162719174315415","0.4312754503686946"
"44","200","1.066","4500","0.6","false","0.048827999999999996","4500","1.9860004188012785","0.09697242844922882"
"201","410","1.066","3000","0.6","false","0.024413999999999998","3000","2.099009325189047","0.051245213665165386"
"411","430","1.066","1250","0.6","false","0.024413999999999998","1250","1.0619319258902669","0.025926006038684973"
"431","500","1.066","1300","0.6","false","0.024413999999999998","1300","1.0267413512363366","0.02506686334908392"
"501","750","1.066","1300","0.6","false","0.01831","1300","3.773097847850343","0.06908542159413979"
"751","950","1.066","1400","0.6","false","0.01831","1400","0.992136154777254","0.018166012993971522"
"951","1066","1.066","1500","0.6","false","0.01831","1500","0.9425008156293045","0.017257189934172565"
"1067","1086","1.066","2000","0.6","false","0.01831","2000","0.9604726072505907","0.017586253438758314"
"1087","1190","1.066","3700","0.6","false","0.01831","3700","0.9441207113338919","0.01728685022452356"
"1191","1220","1.066","4800","0.6","false","0.01831","4800","0.9194114828561945","0.01683442425109692"
"1221","1250","1.066","5000","0.6","false","0.01831","5000","0.895057516527949","0.016388503127626745"
"1251","1279","1.066","5300","0.6","false","0.01831","5300","0.890074621657288","0.016297266322544943"
"1280","1290","1.066","5700","0.6","false","0.01831","5700","0.891296778237022","0.016319644009519872"
"1291","1315","1.066","5600","0.6","false","0.01831","5600","0.8827423946294164","0.016163013245664614"
"1316","1325","1.066","5000","0.6","false","0.01831","5000","0.8686869012327094","0.01590565716157091"
"1326","1348","1.066","5700","0.6","false","0.01831","5700","0.8870403057500458","0.01624170799828334"
"1349","1351","1.066","3000","0.6","true","0.01831","3000","0.7346528577045901","0.013451493824571045"
"1352","1377","1.066","3000","0.6","false","0.01831","3000","0.8761667679749576","0.016042613521621472"
"1378","1400","1.066","2500","0.6","false","0.01831","2500","0.8666887659479888","0.015869071304507675"
"1401","1430","1.066","2400","0.6","false","0.013732","2400","3.727940264055938","0.05119207570601614"
"1431","1450","1.066","2300","0.6","false","0.013732","2300","1.1535160334956918","0.015840082171962838"
"1451","1490","1.066","2600","0.6","false","0.013732","2600","1.1584514170740414","0.015907854859260735"
"1491","1522","1.066","2800","0.6","false","0.013732","2800","1.1514646005937377","0.015811911895353206"
"1523","1541","1.066","3400","0.6","false","0.013732","3400","1.1681717509348564","0.016041334483837447"
"1542","1560","1.066","3800","0.6","false","0.013732","3800","1.152972910351111","0.015832624004941457"
"1561","1600","1.066","5000","0.6","false","0.013732","5000","1.1609829318616898","0.015942617620324725"
"1601","1650","1.066","6300","0.6","false","0.013732","6300","1.1426229407497885","0.015690498222376094"
"1651","1700","1.066","6200","0.6","false","0.013732","6200","1.1194074189371395","0.015371702676844798"
"1701","1801","1.066","11300","0.6","false","0.013732","11300","1.1472662084645473","0.015754259574635162"
"1802","1811","1.066","12500","0.6","false","0.013732","12500","1.113357098761563","0.015288619680193783"
"1812","1821","1.066","13400","0.6","false","0.013732","13400","1.104699916931898","0.015169739259308824"
"1822","1831","1.066","15800","0.6","false","0.013732","15800","1.1296660631949966","0.015512574379793692"
"1832","1841","1.066","20200","0.6","false","0.013732","20200","1.1582344764704644","0.015904875830892416"
"1842","1851","1.066","27400","0.6","false","0.013732","27400","1.1919815297963523","0.01636829036716351"
"1852","1861","1.066","29000","0.6","false","0.013732","29000","1.100610080191301","0.015113577621186945"
"1862","1871","1.066","31500","0.6","false","0.013732","31500","1.1022123520198717","0.015135580017936877"
"1872","1881","1.066","35000","0.6","false","0.013732","35000","1.1074293137661952","0.015207219336637393"
"1882","1891","1.066","37800","0.6","false","0.013732","37800","1.098150559467728","0.015079803482610841"
"1892","1901","1.066","38200","0.6","false","0.013732","38200","1.088124515057474","0.014942125840769234"
"1902","1911","1.003","42100","0.13","false","0.013732","42100","1.1222383115192684","0.015410576493782593"
"1912","1921","1.003","44000","0.13","false","0.013732","44000","1.076636547832589","0.014784373074837112"
"1922","1931","1.003","45000","0.13","false","0.013732","45000","1.0766348704008908","0.014784350040345031"
"1932","1941","1.003","50200","0.13","false","0.013732","50200","1.1394437583496004","0.015646841689656712"
"1942","1951","1.003","52800","0.13","false","0.013732","52800","1.1246576406044553","0.01544379872078038"
"1952","1961","1.003","55900","0.13","false","0.013732","55900","1.112164576018316","0.015272243957883515"
"1962","1971","1.003","56300","0.13","false","0.013732","56300","1.0898304787366664","0.014965552134011902"
"1972","1981","1.003","57400","0.13","false","0.013732","57400","1.0923752451311575","0.015000496866141053"
"1982","1991","1.003","59300","0.13","false","0.013732","59300","1.0934113510852925","0.015014724673103236"
"1992","2001","1.003","63200","0.13","false","0.013732","63200","1.1125575299675263","0.01527764000151407"
"2002","2011","1.003","65600","0.13","false","0.013732","65600","1.0957147557127946","0.015046355025448096"
"2012","2015","1.003","66270","0.13","false","0.013732","66270","1.0877138746794428","0.014936486927098107"
