"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","150","0.6","false","0.15625","150","3.587334876656835","0.5605210744776304","0.2"
"1","43","1.066","200","0.6","false","0.117187","200","3.424972354396282","0.4013622352946371","0.2"
"44","200","1.066","450","0.6","false","0.058593","450","1.7804835381694126","0.1043238719519604","0.2"
"201","410","1.066","300","0.6","false","0.043944","300","3.4178238562871694","0.15019285154068338","0.2"
"411","430","1.066","125","0.6","false","0.043944","125","0.8840792652257925","0.03884997923108222","0.2"
"431","500","1.066","130","0.6","false","0.038451","130","4.8230301923823395","0.18545033392729332","0.2"
"501","750","1.066","130","0.6","false","0.033644","130","5.058966790502039","0.1702038786996506","0.2"
"751","950","1.066","140","0.6","false","0.033644","140","1.0417604069150734","0.03504898713025073","0.2"
"951","1066","1.066","150","0.6","false","0.033644","150","1.0408569179368792","0.03501859014706837","0.2"
"1067","1086","1.066","200","0.6","false","0.033644","200","1.0477520505120608","0.035250569987427774","0.2"
"1087","1190","1.066","370","0.6","false","0.033644","370","1.0435939519967479","0.035110674920978586","0.2"
"1191","1220","1.066","480","0.6","false","0.033644","480","1.051827734514419","0.03538769230000311","0.2"
"1221","1250","1.066","500","0.6","false","0.033644","500","1.0374199760336171","0.03490295767367502","0.2"
"1251","1279","1.066","530","0.6","false","0.033644","530","1.036278623314092","0.03486455800277931","0.2"
"1280","1290","1.066","570","0.6","false","0.033644","570","1.0487129629333445","0.035282898924929446","0.2"
"1291","1315","1.066","560","0.6","false","0.033644","560","1.03880464297555","0.034949543408269404","0.2"
"1316","1325","1.066","500","0.6","false","0.033644","500","1.0264051019389897","0.03453237324963537","0.2"
"1326","1348","1.066","570","0.6","false","0.033644","570","1.0423932510265101","0.03507027853753591","0.2"
"1349","1351","1.066","300","0.6","true","0.038509999999999996","300","9.127584245209098","0.35150326928300235","0.2"
"1352","1377","1.066","300","0.6","false","0.038509999999999996","300","0.9076528384376092","0.03495371080823233","0.2"
"1378","1400","1.066","250","0.6","false","0.033696","250","4.854276580218359","0.16356970364703782","0.2"
"1401","1430","1.066","240","0.6","false","0.033696","240","1.0403696287349227","0.035056295009851954","0.2"
"1431","1450","1.066","230","0.6","false","0.033696","230","1.027518944635445","0.03462327835843595","0.2"
"1451","1490","1.066","260","0.6","false","0.033696","260","1.030879270060293","0.03473650788395163","0.2"
"1491","1522","1.066","280","0.6","false","0.033696","280","1.0405294042798956","0.03506167880661536","0.2"
"1523","1541","1.066","340","0.6","false","0.033696","340","1.0517455911361164","0.03543961943892258","0.2"
"1542","1560","1.066","380","0.6","false","0.033696","380","1.0448679511719539","0.035207870482690154","0.2"
"1561","1600","1.066","500","0.6","false","0.033696","500","1.0405929480295943","0.03506381997680521","0.2"
"1601","1650","1.066","630","0.6","false","0.033696","630","1.037112477541672","0.034946542043244176","0.2"
"1651","1700","1.066","620","0.6","false","0.033696","620","1.0280580446376453","0.03464144387211009","0.2"
"1701","1801","1.066","1130","0.6","false","0.033696","1130","1.036872261854133","0.03493844773543686","0.2"
"1802","1811","1.066","1250","0.6","false","0.033696","1250","1.0439314285494319","0.03517631341640165","0.2"
"1812","1821","1.066","1340","0.6","false","0.033696","1340","1.0379285325445455","0.034974039832621005","0.2"
"1822","1831","1.066","1580","0.6","false","0.033696","1580","1.0486343510640332","0.03533478309345366","0.2"
"1832","1841","1.066","2020","0.6","false","0.033696","2020","1.0580688152068698","0.03565268679721068","0.2"
"1842","1851","1.066","2740","0.6","false","0.033696","2740","1.0610754202232022","0.03575399735984102","0.2"
"1852","1861","1.066","2900","0.6","false","0.033696","2900","1.032814109297562","0.03480170422689065","0.2"
"1862","1871","1.066","3150","0.6","false","0.033696","3150","1.0398464415028734","0.03503866569288082","0.2"
"1872","1881","1.066","3500","0.6","false","0.033696","3500","1.0407539612372319","0.03506924547784976","0.2"
"1882","1891","1.066","3780","0.6","false","0.033696","3780","1.0401059410329743","0.0350474097890471","0.2"
"1892","1901","1.066","3820","0.6","false","0.033696","3820","1.031818119994735","0.03476814337134258","0.2"
"1902","1911","1.066","4210","0.6","false","0.033696","4210","1.0368541499140749","0.034937837435504666","0.2"
"1912","1921","1.066","4400","0.6","false","0.033696","4400","1.033230355904791","0.03481573007256784","0.2"
"1922","1931","1.066","4500","0.6","false","0.033696","4500","1.0305337069531995","0.034724863789495006","0.2"
"1932","1941","1.066","5020","0.6","false","0.033696","5020","1.0401140997765517","0.035047684706070684","0.2"
"1942","1951","1.066","5280","0.6","false","0.033696","5280","1.0337396547614597","0.03483289140684214","0.2"
"1952","1961","1.066","5590","0.6","false","0.033696","5590","1.0319161144797477","0.03477144539350958","0.2"
"1962","1971","1.066","5630","0.6","false","0.033696","5630","1.0297700674342134","0.034699132192263255","0.2"
"1972","1981","1.066","5740","0.6","false","0.033696","5740","1.0287527199004118","0.034664851649764274","0.2"
"1982","1991","1.066","5930","0.6","false","0.033696","5930","1.0321273052253148","0.034778561676872204","0.2"
"1992","2001","1.066","6320","0.6","false","0.033696","6320","1.034484060132916","0.03485797489023873","0.2"
"2002","2011","1.066","6560","0.6","false","0.033696","6560","1.029392810061622","0.03468642012783642","0.2"
"2012","2015","1.066","6627","0.6","false","0.033696","6627","1.0281742290385076","0.03464535882168155","0.2"
