"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.55","false","0.078125","15","90","41","3.284551121191936","0.25660555634312","150.0"
"1","43","20","0.55","false","0.058593","20","90","41","4.640872583198141","0.2719226472673287","150.0"
"44","200","45","0.55","false","0.058593","45","90","41","0.9723250620605707","0.05697144236131502","150.0"
"201","410","30","0.55","false","0.058593","30","90","41","0.8519692142685901","0.049919432171639494","150.0"
"411","430","12","0.55","false","0.058593","12","90","41","0.8380070145890828","0.04910134500581813","150.0"
"431","500","13","0.55","false","0.058593","13","90","41","0.8804891746908544","0.05159050221266123","150.0"
"501","750","13","0.55","false","0.058593","13","90","41","0.9003432761940495","0.05275381358203794","150.0"
"751","950","14","0.55","false","0.058593","14","90","41","0.8819031371320447","0.051673350513977895","150.0"
"951","1066","15","0.55","false","0.058593","15","90","41","0.8801102667438606","0.05156830085932303","150.0"
"1067","1086","20","0.55","false","0.058593","20","90","41","0.8993383893218999","0.05269493424553808","150.0"
"1087","1190","37","0.55","false","0.058593","37","90","41","0.8459387850123546","0.0495660912302289","150.0"
"1191","1220","48","0.55","false","0.058593","48","90","41","0.8437156905181252","0.04943583345452851","150.0"
"1221","1250","50","0.55","false","0.058593","50","90","41","0.8242318007209416","0.04829421389964213","150.0"
"1251","1279","53","0.55","false","0.058593","53","90","41","0.8149059261592319","0.04774778293144787","150.0"
"1280","1290","57","0.55","false","0.058593","57","90","41","0.8055845955807086","0.04720161820886046","150.0"
"1291","1315","56","0.55","false","0.058593","56","90","41","0.816674295041939","0.047851396969392335","150.0"
"1316","1325","50","0.55","false","0.058593","50","90","41","0.7809292018223909","0.04575698472237935","150.0"
"1326","1348","57","0.55","false","0.058593","57","90","41","0.8034213462455639","0.047074866940566326","150.0"
"1349","1351","30","0.55","true","0.058593","30","90","41","0.639488180584071","0.03746953096496247","150.0"
"1352","1377","30","0.55","false","0.043944","30","90","41","3.418308857885852","0.15021416445093586","150.0"
"1378","1400","25","0.55","false","0.043944","25","90","41","1.0011781972360148","0.04399577469933943","150.0"
"1401","1430","24","0.55","false","0.043944","24","90","41","1.0081505402809747","0.04430216734210715","150.0"
"1431","1450","23","0.55","false","0.043944","23","90","41","1.0078530780813388","0.04428909566320635","150.0"
"1451","1490","26","0.55","false","0.043944","26","90","41","1.0514947525777045","0.04620688540727465","150.0"
"1491","1522","28","0.55","false","0.043944","28","90","41","1.0128010560908567","0.0445065296088566","150.0"
"1523","1541","34","0.55","false","0.043944","34","90","41","1.0319758556119474","0.045349146999011415","150.0"
"1542","1560","38","0.55","false","0.043944","38","90","41","1.0061521425492015","0.04421434975218211","150.0"
"1561","1600","50","0.55","false","0.043944","50","90","41","1.0225916792045817","0.04493676875096614","150.0"
"1601","1650","63","0.55","false","0.043944","63","90","41","1.0202247296295563","0.04483275551884122","150.0"
"1651","1700","62","0.55","false","0.043944","62","90","41","1.0086540390007892","0.044324293089850676","150.0"
"1701","1801","113","0.28","false","0.043944","113","90","41","1.039172563965725","0.045665399150909815","150.0"
"1802","1811","125","0.28","false","0.043944","125","90","41","1.0157199726384438","0.04463479847762377","150.0"
"1812","1821","134","0.28","false","0.043944","134","90","41","1.0240428817598346","0.04500054039605417","150.0"
"1822","1831","158","0.26","false","0.043944","158","90","41","1.0173850051063764","0.044707966664394604","150.0"
"1832","1841","202","0.25","false","0.043944","202","90","41","1.0303002231676646","0.04527551300687985","150.0"
"1842","1851","274","0.22","false","0.043944","274","90","41","1.0320415525253348","0.04535203398417331","150.0"
"1852","1861","290","0.25","false","0.043944","290","90","41","1.0030235116577577","0.0440768651962885","150.0"
"1862","1871","315","0.22","false","0.043944","315","90","41","1.0095598202692977","0.044364096741914015","150.0"
"1872","1881","350","0.21","false","0.043944","350","90","41","1.0068854424347102","0.044246573882350905","150.0"
"1882","1891","378","0.19","false","0.043944","378","90","41","1.0050160358014262","0.04416442467725787","150.0"
"1892","1901","382","0.18","false","0.043944","382","90","41","0.9987818111299976","0.043890467908296614","150.0"
"1902","1911","421","0.13","false","0.043944","421","90","41","1.0071697284562187","0.04425906654728007","150.0"
"1912","1921","440","0.14","false","0.043944","440","90","41","1.011072778676602","0.0444305821861646","150.0"
"1922","1931","450","0.12","false","0.043944","450","90","41","1.002534382571082","0.044055370907703624","150.0"
"1932","1941","502","0.07","false","0.043944","502","90","41","1.0401990942192798","0.04571050899637203","150.0"
"1942","1951","528","0.08","false","0.043944","528","90","41","1.024092589285633","0.045002724743567854","150.0"
"1952","1961","559","0.09","false","0.043944","559","90","41","1.0171312444476899","0.04469681540600928","150.0"
"1962","1971","563","0.1","false","0.043944","563","90","41","1.01248257366489","0.04449253421712992","150.0"
"1972","1981","574","0.07","false","0.043944","574","90","41","1.0288039751680267","0.04520976188478376","150.0"
"1982","1991","593","0.1","false","0.043944","593","90","41","1.0210316747737105","0.04486821591625593","150.0"
"1992","2001","632","0.09","false","0.043944","632","90","41","1.0393378430109734","0.04567266217327421","150.0"
"2002","2011","656","0.09","false","0.043944","656","90","41","1.0364639518707293","0.045546371901007326","150.0"
"2012","2015","662","0.09","false","0.043944","662","90","41","1.0432502797839347","0.045844590294825224","150.0"
