"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","5.0","1500","1.1016826714972152","5.508413357486076"
"1","43","1.066","2000","0.6","false","3.75","2000","3.6241714076252993","13.590642778594873"
"44","200","1.066","4500","0.6","false","3.75","4500","1.0990952808695627","4.12160730326086"
"201","410","1.066","3000","0.6","false","3.75","3000","1.054638904816789","3.9548958930629587"
"411","430","1.066","1250","0.6","false","3.75","1250","1.024972717074281","3.843647689028554"
"431","500","1.066","1300","0.6","false","3.75","1300","1.0572038590162534","3.96451447131095"
"501","750","1.066","1300","0.6","false","3.75","1300","1.056500396691073","3.961876487591524"
"751","950","1.066","1400","0.6","false","3.75","1400","1.056894717221268","3.9633551895797545"
"951","1066","1.066","1500","0.6","false","3.75","1500","1.0561646074216553","3.9606172778312074"
"1067","1086","1.066","2000","0.6","false","3.75","2000","1.0999717296037275","4.124893986013978"
"1087","1190","1.066","3700","0.6","false","3.75","3700","1.097163806688262","4.114364275080983"
"1191","1220","1.066","4800","0.6","false","3.75","4800","1.082904226001362","4.0608908475051075"
"1221","1250","1.066","5000","0.6","false","3.75","5000","1.0585783031068654","3.9696686366507454"
"1251","1279","1.066","5300","0.6","false","3.75","5300","1.056596301037414","3.9622361288903023"
"1280","1290","1.066","5700","0.6","false","3.75","5700","1.0660702034497087","3.9977632629364077"
"1291","1315","1.066","5600","0.6","false","3.75","5600","1.054389676064455","3.9539612852417068"
"1316","1325","1.066","5000","0.6","false","3.75","5000","1.0436329965099538","3.9136237369123266"
"1326","1348","1.066","5700","0.6","false","3.75","5700","1.06748604500707","4.003072668776513"
"1349","1351","1.066","3000","0.6","true","3.75","3000","0.8767956010781986","3.287983504043245"
"1352","1377","1.066","3000","0.6","false","3.75","3000","1.0538997529835894","3.95212407368846"
"1378","1400","1.066","2500","0.6","false","3.75","2500","1.0483494176454402","3.931310316170401"
"1401","1430","1.066","2400","0.6","false","3.75","2400","1.0518714177327897","3.9445178164979615"
"1431","1450","1.066","2300","0.6","false","3.75","2300","1.0560025948379868","3.9600097306424504"
"1451","1490","1.066","2600","0.6","false","3.75","2600","1.063197871091569","3.986992016593384"
"1491","1522","1.066","2800","0.6","false","3.75","2800","1.0598545475613899","3.974454553355212"
"1523","1541","1.066","3400","0.6","false","3.75","3400","1.0826576323555308","4.0599661213332405"
"1542","1560","1.066","3800","0.6","false","3.75","3800","1.065119035649666","3.9941963836862477"
"1561","1600","1.066","5000","0.6","false","3.75","5000","1.0743600998069303","4.028850374275988"
"1601","1650","1.066","6300","0.6","false","3.75","6300","1.065696759016709","3.9963628463126586"
"1651","1700","1.066","6200","0.6","false","3.75","6200","1.0558657667084255","3.9594966251565955"
"1701","1801","1.066","11300","0.6","false","3.75","11300","1.0932862320315773","4.099823370118415"
"1802","1811","1.066","12500","0.6","false","3.75","12500","1.081245630818892","4.054671115570845"
"1812","1821","1.066","13400","0.6","false","3.75","13400","1.0651287423841969","3.9942327839407383"
"1822","1831","1.066","15800","0.6","false","3.75","15800","1.0841222872824354","4.0654585773091325"
"1832","1841","1.066","20200","0.6","false","3.75","20200","1.117693286521877","4.191349824457038"
"1842","1851","1.066","27400","0.6","false","3.75","27400","1.1609892229108367","4.353709585915638"
"1852","1861","1.066","29000","0.6","false","3.75","29000","1.0614571287492756","3.9804642328097835"
"1862","1871","1.066","31500","0.6","false","3.75","31500","1.0610069997658944","3.978776249122104"
"1872","1881","1.066","35000","0.6","false","3.75","35000","1.0660534758778863","3.9977005345420737"
"1882","1891","1.066","37800","0.6","false","3.75","37800","1.0689156822262478","4.008433808348429"
"1892","1901","1.066","38200","0.6","false","3.75","38200","1.0607414785660225","3.9777805446225845"
"1902","1911","1.003","42100","0.13","false","3.75","42100","1.117369338277521","4.190135018540704"
"1912","1921","1.003","44000","0.13","false","3.75","44000","1.0700245829125943","4.012592185922228"
"1922","1931","1.003","45000","0.13","false","3.75","45000","1.0630088232852333","3.9862830873196247"
"1932","1941","1.003","50200","0.13","false","3.75","50200","1.1415518768161033","4.2808195380603875"
"1942","1951","1.003","52800","0.13","false","3.75","52800","1.1433595348723742","4.287598255771403"
"1952","1961","1.003","55900","0.13","false","3.75","55900","1.1241508259852115","4.215565597444543"
"1962","1971","1.003","56300","0.13","false","3.75","56300","1.0943801101734492","4.103925413150434"
"1972","1981","1.003","57400","0.13","false","3.75","57400","1.0953670781127358","4.107626542922759"
"1982","1991","1.003","59300","0.13","false","3.75","59300","1.0887490538674363","4.082808952002886"
"1992","2001","1.003","63200","0.13","false","3.75","63200","1.1119427510019295","4.169785316257236"
"2002","2011","1.003","65600","0.13","false","3.75","65600","1.106955502584923","4.151083134693461"
"2012","2015","1.003","66270","0.13","false","3.75","66270","1.0929427092276134","4.09853515960355"
