"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","1.25","1500","4.0336259842898174","5.042032480362272","2.0E-4"
"1","43","1.066","2000","0.6","false","0.9375","2000","3.5856982348229973","3.36159209514656","2.0E-4"
"44","200","1.066","4500","0.6","false","0.9375","4500","1.071460023446756","1.0044937719813336","2.0E-4"
"201","410","1.066","3000","0.6","false","0.9375","3000","1.0597057672612462","0.9934741568074184","2.0E-4"
"411","430","1.066","1250","0.6","false","0.9375","1250","1.012675372754118","0.9493831619569857","2.0E-4"
"431","500","1.066","1300","0.6","false","0.9375","1300","1.0580456420220001","0.9919177893956251","2.0E-4"
"501","750","1.066","1300","0.6","false","0.9375","1300","1.0587560928565203","0.9925838370529878","2.0E-4"
"751","950","1.066","1400","0.6","false","0.9375","1400","1.0585372439939318","0.992378666244311","2.0E-4"
"951","1066","1.066","1500","0.6","false","0.9375","1500","1.0593373238512265","0.9931287411105248","2.0E-4"
"1067","1086","1.066","2000","0.6","false","0.9375","2000","1.0747914383651629","1.0076169734673401","2.0E-4"
"1087","1190","1.066","3700","0.6","false","0.9375","3700","1.0641524350635705","0.9976429078720973","2.0E-4"
"1191","1220","1.066","4800","0.6","false","0.9375","4800","1.0678372184647673","1.0010973923107194","2.0E-4"
"1221","1250","1.066","5000","0.6","false","0.9375","5000","1.0589959263891902","0.9928086809898657","2.0E-4"
"1251","1279","1.066","5300","0.6","false","0.9375","5300","1.0601887593822141","0.9939269619208257","2.0E-4"
"1280","1290","1.066","5700","0.6","false","0.9375","5700","1.0643329856678425","0.9978121740636023","2.0E-4"
"1291","1315","1.066","5600","0.6","false","0.9375","5600","1.0572186619239639","0.9911424955537161","2.0E-4"
"1316","1325","1.066","5000","0.6","false","0.9375","5000","1.0465956413846982","0.9811834137981545","2.0E-4"
"1326","1348","1.066","5700","0.6","false","0.9375","5700","1.063597255913637","0.9971224274190348","2.0E-4"
"1349","1351","1.066","3000","0.6","true","0.9375","3000","0.8649174048991766","0.810860067092978","2.0E-4"
"1352","1377","1.066","3000","0.6","false","0.9375","3000","1.0589110118727525","0.9927290736307055","2.0E-4"
"1378","1400","1.066","2500","0.6","false","0.9375","2500","1.052113455193013","0.9863563642434496","2.0E-4"
"1401","1430","1.066","2400","0.6","false","0.9375","2400","1.0557061380628132","0.9897245044338874","2.0E-4"
"1431","1450","1.066","2300","0.6","false","0.9375","2300","1.0551000271154574","0.9891562754207412","2.0E-4"
"1451","1490","1.066","2600","0.6","false","0.9375","2600","1.0602748134848161","0.994007637642015","2.0E-4"
"1491","1522","1.066","2800","0.6","false","0.9375","2800","1.060753136067055","0.9944560650628641","2.0E-4"
"1523","1541","1.066","3400","0.6","false","0.9375","3400","1.0666901776009974","1.000022041500935","2.0E-4"
"1542","1560","1.066","3800","0.6","false","0.9375","3800","1.0649701967950587","0.9984095594953675","2.0E-4"
"1561","1600","1.066","5000","0.6","false","0.9375","5000","1.0661153788868938","0.999483167706463","2.0E-4"
"1601","1650","1.066","6300","0.6","false","0.9375","6300","1.0622693480729344","0.995877513818376","2.0E-4"
"1651","1700","1.066","6200","0.6","false","0.9375","6200","1.0579899762409843","0.9918656027259228","2.0E-4"
"1701","1801","1.066","11300","0.6","false","0.9375","11300","1.0641080867515609","0.9976013313295883","2.0E-4"
"1802","1811","1.066","12500","0.6","false","0.9375","12500","1.0667006789077011","1.0000318864759699","2.0E-4"
"1812","1821","1.066","13400","0.6","false","0.9375","13400","1.0638158939436901","0.9973274005722095","2.0E-4"
"1822","1831","1.066","15800","0.6","false","0.9375","15800","1.0761600007765515","1.008900000728017","2.0E-4"
"1832","1841","1.066","20200","0.6","false","0.9375","20200","1.0829913845866996","1.015304423050031","2.0E-4"
"1842","1851","1.066","27400","0.6","false","0.9375","27400","1.09030859190452","1.0221643049104874","2.0E-4"
"1852","1861","1.066","29000","0.6","false","0.9375","29000","1.063764176757514","0.9972789157101692","2.0E-4"
"1862","1871","1.066","31500","0.6","false","0.9375","31500","1.0658645614767939","0.9992480263844943","2.0E-4"
"1872","1881","1.066","35000","0.6","false","0.9375","35000","1.0675030161570385","1.0007840776472237","2.0E-4"
"1882","1891","1.066","37800","0.6","false","0.9375","37800","1.0664933714104392","0.9998375356972867","2.0E-4"
"1892","1901","1.066","38200","0.6","false","0.9375","38200","1.0591573991554342","0.9929600617082195","2.0E-4"
"1902","1911","1.066","42100","0.6","false","0.9375","42100","1.0681797478611075","1.0014185136197882","2.0E-4"
"1912","1921","1.066","44000","0.6","false","0.9375","44000","1.0619922710720595","0.9956177541300558","2.0E-4"
"1922","1931","1.066","45000","0.6","false","0.9375","45000","1.059990428711862","0.9937410269173707","2.0E-4"
"1932","1941","1.066","50200","0.6","false","0.9375","50200","1.0704444116637752","1.0035416359347893","2.0E-4"
"1942","1951","1.066","52800","0.6","false","0.9375","52800","1.0634153742188721","0.9969519133301926","2.0E-4"
"1952","1961","1.066","55900","0.6","false","0.9375","55900","1.0628236511585034","0.996397172961097","2.0E-4"
"1962","1971","1.066","56300","0.6","false","0.9375","56300","1.0587344234622567","0.9925635219958656","2.0E-4"
"1972","1981","1.066","57400","0.6","false","0.9375","57400","1.0584646996484242","0.9923106559203977","2.0E-4"
"1982","1991","1.066","59300","0.6","false","0.9375","59300","1.0613164324457949","0.9949841554179327","2.0E-4"
"1992","2001","1.066","63200","0.6","false","0.9375","63200","1.064541807411759","0.998007944448524","2.0E-4"
"2002","2011","1.066","65600","0.6","false","0.9375","65600","1.062147454486184","0.9957632385807975","2.0E-4"
"2012","2015","1.066","66270","0.6","false","0.9375","66270","1.0608792623166727","0.9945743084218807","2.0E-4"
