"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.0","1500","0.6","false","1.25","1500","3.9159341822679736","4.894917727834967"
"1","43","1.0","2000","0.6","false","0.9375","2000","3.4318481401030336","3.217357631346594"
"44","200","1.0","4500","0.6","false","0.9375","4500","1.0657789601310206","0.9991677751228318"
"201","410","1.0","3000","0.6","false","0.9375","3000","1.0150615496593363","0.9516202028056278"
"411","430","1.0","1250","0.6","false","0.9375","1250","0.9883132820841383","0.9265437019538796"
"431","500","1.0","1300","0.6","false","0.9375","1300","1.0177106889819676","0.9541037709205946"
"501","750","1.0","1300","0.6","false","0.9375","1300","1.0160956599637516","0.9525896812160172"
"751","950","1.0","1400","0.6","false","0.9375","1400","1.0182578479076958","0.9546167324134648"
"951","1066","1.0","1500","0.6","false","0.9375","1500","1.0181857351797587","0.9545491267310238"
"1067","1086","1.0","2000","0.6","false","0.9375","2000","1.0747070723638346","1.0075378803410948"
"1087","1190","1.0","3700","0.6","false","0.9375","3700","1.057417892749068","0.9913292744522513"
"1191","1220","1.0","4800","0.6","false","0.9375","4800","1.0427389534831564","0.9775677688904592"
"1221","1250","1.0","5000","0.6","false","0.9375","5000","1.0188124077510954","0.9551366322666519"
"1251","1279","1.0","5300","0.6","false","0.9375","5300","1.0196915493175964","0.9559608274852467"
"1280","1290","1.0","5700","0.6","false","0.9375","5700","1.0225097305183963","0.9586028723609965"
"1291","1315","1.0","5600","0.6","false","0.9375","5600","1.0168397874419641","0.9532873007268414"
"1316","1325","1.0","5000","0.6","false","0.9375","5000","1.0057215245759916","0.9428639292899922"
"1326","1348","1.0","5700","0.6","false","0.9375","5700","1.0256984115240844","0.9615922608038291"
"1349","1351","1.0","3000","0.6","true","0.9375","3000","0.8539446850438807","0.8005731422286381"
"1352","1377","1.0","3000","0.6","false","0.9375","3000","1.0164794248485995","0.9529494607955621"
"1378","1400","1.0","2500","0.6","false","0.9375","2500","1.0072317622012101","0.9442797770636345"
"1401","1430","1.0","2400","0.6","false","0.9375","2400","1.0161732571192668","0.9526624285493126"
"1431","1450","1.0","2300","0.6","false","0.9375","2300","1.014630510832171","0.9512161039051602"
"1451","1490","1.0","2600","0.6","false","0.9375","2600","1.0218488382717035","0.957983285879722"
"1491","1522","1.0","2800","0.6","false","0.9375","2800","1.021399477999128","0.9575620106241824"
"1523","1541","1.0","3400","0.6","false","0.9375","3400","1.040315699022333","0.9752959678334372"
"1542","1560","1.0","3800","0.6","false","0.9375","3800","1.027856481727566","0.963615451619593"
"1561","1600","1.0","5000","0.6","false","0.9375","5000","1.0373839988935722","0.972547498962724"
"1601","1650","1.0","6300","0.6","false","0.9375","6300","1.0285733665221366","0.964287531114503"
"1651","1700","1.0","6200","0.6","false","0.9375","6200","1.0151241865087066","0.9516789248519124"
"1701","1801","1.0","11300","0.6","false","0.9375","11300","1.0554144178612668","0.9894510167449376"
"1802","1811","1.0","12500","0.6","false","0.9375","12500","1.0320915818182945","0.9675858579546511"
"1812","1821","1.0","13400","0.6","false","0.9375","13400","1.025422812303996","0.9613338865349962"
"1822","1831","1.0","15800","0.6","false","0.9375","15800","1.0503464221478649","0.9846997707636234"
"1832","1841","1.0","20200","0.6","false","0.9375","20200","1.0869774276863167","1.0190413384559218"
"1842","1851","1.0","27400","0.6","false","0.9375","27400","1.1178346368197118","1.0479699720184799"
"1852","1861","1.0","29000","0.6","false","0.9375","29000","1.024313587006157","0.9602939878182722"
"1862","1871","1.0","31500","0.6","false","0.9375","31500","1.0284037309933276","0.9641284978062447"
"1872","1881","1.0","35000","0.6","false","0.9375","35000","1.0327357959924939","0.968189808742963"
"1882","1891","1.0","37800","0.6","false","0.9375","37800","1.0277383931949888","0.963504743620302"
"1892","1901","1.0","38200","0.6","false","0.9375","38200","1.0189037718029195","0.955222286065237"
"1902","1911","1.0","42100","0.6","false","0.9375","42100","1.0316696766600306","0.9671903218687787"
"1912","1921","1.0","44000","0.6","false","0.9375","44000","1.0215997705226416","0.9577497848649765"
"1922","1931","1.0","45000","0.6","false","0.9375","45000","1.0192182543405561","0.9555171134442714"
"1932","1941","1.0","50200","0.6","false","0.9375","50200","1.033864473321415","0.9692479437388266"
"1942","1951","1.0","52800","0.6","false","0.9375","52800","1.0222736709289255","0.9583815664958677"
"1952","1961","1.0","55900","0.6","false","0.9375","55900","1.0236310650223188","0.9596541234584239"
"1962","1971","1.0","56300","0.6","false","0.9375","56300","1.0181403553053623","0.9545065830987771"
"1972","1981","1.0","57400","0.6","false","0.9375","57400","1.0194449994603445","0.955729686994073"
"1982","1991","1.0","59300","0.6","false","0.9375","59300","1.0205646970691664","0.9567794035023435"
"1992","2001","1.0","63200","0.6","false","0.9375","63200","1.024706696022934","0.9606625275215007"
"2002","2011","1.0","65600","0.6","false","0.9375","65600","1.020557248809615","0.9567724207590141"
"2012","2015","1.0","66270","0.6","false","0.9375","66270","1.0200484431765735","0.9562954154780376"
