Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,3.125,1400000,2.201739491445376,6.880435910766799
1,43,1.066,2000000,0.6,false,3.125,2000000,1.0713782341689317,3.3480569817779116
44,200,1.066,4400000,0.6,false,3.125,4400000,1.0198541747725656,3.1870442961642675
201,410,1.066,3000000,0.6,false,3.125,3000000,0.989534880017521,3.0922965000547533
411,430,1.066,1200000,0.6,false,3.125,1200000,1.0302976190476187,3.2196800595238084
431,500,1.066,1200000,0.6,false,4.589843,1200000,2.919607297464438,13.400539117016068
501,750,1.066,1200000,0.6,false,3.442382,1200000,2.8263558441558474,9.729396483516894
751,950,1.066,1400000,0.6,false,3.442382,1400000,1.0105845959595954,3.4788182226085835
951,1066,1.066,1400000,0.6,false,3.442382,1400000,0.9819226750261234,3.3801529419017764
1067,1086,1.066,2000000,0.6,false,3.442382,2000000,1.104569042069042,3.8023485881757124
1087,1190,1.066,3600000,0.6,false,3.442382,3600000,0.9895691616115025,3.406475069686527
1191,1220,1.066,4800000,0.6,false,3.442382,4800000,0.9075113920451253,3.1240008807710824
1221,1250,1.066,5000000,0.6,false,3.442382,5000000,0.8825514246410151,3.0380791382585866
1251,1279,1.066,5200000,0.6,false,3.442382,5200000,0.8748266687145981,3.011487577503096
1280,1290,1.066,5600000,0.6,false,3.442382,5600000,0.9152637542717429,3.1506874729574705
1291,1315,1.066,5600000,0.6,false,3.442382,5600000,0.8773520403273722,3.0201808712862204
1316,1325,1.066,5000000,0.6,false,3.442382,5000000,0.8577417000665054,2.952674588958337
1326,1348,1.066,5600000,0.6,false,3.442382,5600000,0.8738331304418515,3.0080674392366817
1349,1351,1.066,3000000,0.6,true,3.442382,3000000,0.8020833333333334,2.7610772291666668
1352,1377,1.066,3000000,0.6,false,3.442382,3000000,0.920639218783122,3.169191875233081
1378,1400,1.066,2400000,0.6,false,3.442382,2400000,0.8717321042129227,3.000834904364689
1401,1430,1.066,2400000,0.6,false,3.442382,2400000,0.9197394762100646,3.1660946175949545
1431,1450,1.066,2200000,0.6,false,3.442382,2200000,0.9143956043956045,3.1476989694505497
1451,1490,1.066,2600000,0.6,false,3.442382,2600000,0.9298194391392922,3.200793700543195
1491,1522,1.066,2800000,0.6,false,3.442382,2800000,0.8945187428885185,3.079275219182064
1523,1541,1.066,3400000,0.6,false,3.442382,3400000,0.8887154089370156,3.0592979268474214
1542,1560,1.066,3800000,0.6,false,3.442382,3800000,0.8903666940737879,3.064982281079114
1561,1600,1.066,5000000,0.6,false,3.442382,5000000,0.9035234666603078,3.1102729182090436
1601,1650,1.066,6200000,0.6,false,3.442382,6200000,0.8706118450166818,2.9969785442722148
1651,1700,1.066,6200000,0.6,false,3.442382,6200000,0.8781831244358338,3.0230417802616745
1701,1801,1.066,11200000,0.6,false,3.442382,11200000,0.892960615897564,3.073911550874688
1802,1811,1.066,12400000,0.6,false,3.442382,12400000,0.9043871965366513,3.1132462063882307
1812,1821,1.066,13400000,0.6,false,3.442382,13400000,0.8778812939630812,3.022002764475219
1822,1831,1.066,15800000,0.6,false,3.442382,15800000,0.8890619917202361,3.0604909971818897
1832,1841,1.066,20200000,0.6,false,3.442382,20200000,0.906814684760912,3.1216025481566376
1842,1851,1.066,27400000,0.6,false,3.442382,27400000,0.89887240555706,3.094262189186323
1852,1861,1.066,29000000,0.6,false,3.442382,29000000,0.8703398015253999,2.996042066654609
1862,1871,1.066,31400000,0.6,false,3.442382,31400000,0.8828531897760818,3.039117929127768
1872,1881,1.066,35000000,0.6,false,3.442382,35000000,0.8692140169760124,2.9921666861859193
1882,1891,1.066,37800000,0.6,false,3.442382,37800000,0.8645828138370977,2.9762243158621757
1892,1901,1.066,38200000,0.6,false,3.442382,38200000,0.8507659225375139,2.9286612979565323
1902,1911,1.003,42000000,0.13,false,3.442382,42000000,0.8680898360709606,2.988296826073625
1912,1921,1.003,44000000,0.13,false,3.442382,44000000,0.8591170205733464,2.9574089675153172
1922,1931,1.003,45000000,0.13,false,3.442382,45000000,0.85339445595017,2.9377097140626582
1932,1941,1.003,50200000,0.13,false,3.442382,50200000,0.884855658271763,3.046011190632868
1942,1951,1.003,52800000,0.13,false,3.442382,52800000,0.9104317190079497,3.134053761742024
1952,1961,1.003,55800000,0.13,false,3.442382,55800000,0.889463500360504,3.0618731432979924
1962,1971,1.003,56200000,0.13,false,3.442382,56200000,0.8647462290177266,2.9767868533384996
1972,1981,1.003,57400000,0.13,false,3.442382,57400000,0.8719014501148983,3.0014178576494235
1982,1991,1.003,59200000,0.13,false,3.442382,59200000,0.8885581355806286,3.0587565318763152
1992,2001,1.003,63200000,0.13,false,3.442382,63200000,0.8797291790650249,3.0283638908882184
2002,2011,1.003,65600000,0.13,false,3.442382,65600000,0.8844166362584488,3.0444999091566314
2012,2015,1.003,66200000,0.13,false,3.442382,66200000,0.8603231433178811,2.961560902740894
