"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","3.0","15","90","41","2.5683208803883546","7.704962641165064","150.0","false"
"1","43","20","0.35","false","3.0","20","90","41","0.9927453281672451","2.9782359845017354","150.0","false"
"44","200","45","0.35","false","3.0","45","90","41","0.9736044985743998","2.9208134957231993","150.0","false"
"201","410","30","0.35","false","3.0","30","90","41","0.9507696531397203","2.852308959419161","150.0","false"
"411","430","12","0.35","false","3.0","12","90","41","0.8848312303887201","2.6544936911661603","150.0","false"
"431","500","13","0.35","false","3.0","13","90","41","0.9926561533704387","2.977968460111316","150.0","false"
"501","750","13","0.35","false","3.0","13","90","41","0.9925380952380956","2.977614285714287","150.0","false"
"751","950","14","0.35","false","3.0","14","90","41","0.9865477010734357","2.959643103220307","150.0","false"
"951","1066","15","0.35","false","3.0","15","90","41","0.9904297148085189","2.971289144425557","150.0","false"
"1067","1086","20","0.35","false","3.0","20","90","41","0.9422598441290393","2.8267795323871177","150.0","false"
"1087","1190","37","0.35","false","3.0","37","90","41","0.9555182257365372","2.8665546772096118","150.0","false"
"1191","1220","48","0.35","false","3.0","48","90","41","0.961636849915939","2.884910549747817","150.0","false"
"1221","1250","50","0.35","false","3.0","50","90","41","0.9575242912419147","2.872572873725744","150.0","false"
"1251","1279","53","0.35","false","3.0","53","90","41","0.949447143703918","2.848341431111754","150.0","false"
"1280","1290","57","0.35","false","3.0","57","90","41","0.9467877260496227","2.840363178148868","150.0","false"
"1291","1315","56","0.35","false","3.0","56","90","41","0.9419816129601832","2.8259448388805497","150.0","false"
"1316","1325","50","0.35","false","3.0","50","90","41","0.93746806179148","2.81240418537444","150.0","false"
"1326","1348","57","0.35","false","3.0","57","90","41","0.9549609808648346","2.864882942594504","150.0","false"
"1349","1351","30","0.35","true","3.0","30","90","41","0.7536612203759697","2.2609836611279093","150.0","false"
"1352","1377","30","0.35","false","3.0","30","90","41","0.9859493607060349","2.9578480821181046","150.0","false"
"1378","1400","25","0.35","false","3.0","25","90","41","0.9568900237192297","2.870670071157689","150.0","false"
"1401","1430","24","0.35","false","3.0","24","90","41","0.9429664949779892","2.8288994849339675","150.0","false"
"1431","1450","23","0.35","false","3.0","23","90","41","0.9709623492865622","2.9128870478596864","150.0","false"
"1451","1490","26","0.35","false","3.0","26","90","41","0.9491575981004392","2.847472794301318","150.0","false"
"1491","1522","28","0.35","false","3.0","28","90","41","0.943322556382858","2.829967669148574","150.0","false"
"1523","1541","34","0.35","false","3.0","34","90","41","0.9668223468289631","2.9004670404868893","150.0","false"
"1542","1560","38","0.35","false","3.0","38","90","41","0.9684480338448473","2.905344101534542","150.0","false"
"1561","1600","50","0.31","false","3.0","50","90","41","0.9546612600768805","2.863983780230641","150.0","false"
"1601","1650","63","0.29","false","3.0","63","90","41","0.9543707500301031","2.8631122500903095","150.0","false"
"1651","1700","62","0.26","false","3.0","62","90","41","0.9521047380726703","2.8563142142180107","150.0","false"
"1701","1801","0","0.25","false","2.859375","113","90","41","1.0","2.859375","150.0","false"
"1802","1811","0","0.28","false","2.859375","125","90","41","1.0","2.859375","150.0","false"
"1812","1821","0","0.28","false","2.859375","134","90","41","1.0","2.859375","150.0","false"
"1822","1831","0","0.26","false","2.859375","158","90","41","1.0","2.859375","150.0","false"
"1832","1841","0","0.25","false","2.859375","202","90","41","1.0","2.859375","150.0","false"
"1842","1851","0","0.22","false","3.429687","274","90","41","1.0","3.429687","150.0","false"
"1852","1861","0","0.25","false","3.0009759999999996","290","90","41","1.0","3.0009759999999996","150.0","false"
"1862","1871","0","0.22","false","2.813414","315","90","41","1.0","2.813414","150.0","false"
"1872","1881","0","0.21","false","3.406707","350","90","41","1.0","3.406707","150.0","false"
"1882","1891","0","0.19","false","2.7679489999999998","378","90","41","1.0","2.7679489999999998","150.0","false"
"1892","1901","0","0.18","false","3.383974","382","90","41","1.0","3.383974","150.0","false"
"1902","1911","0","0.13","false","3.383974","421","90","41","1.0","3.383974","150.0","false"
"1912","1921","0","0.14","false","2.749478","440","90","41","1.0","2.749478","150.0","false"
"1922","1931","0","0.12","false","3.374739","450","90","41","1.0","3.374739","150.0","false"
"1932","1941","0","0.07","false","3.374739","502","90","41","1.0","3.374739","150.0","false"
"1942","1951","0","0.08","false","3.374739","528","90","41","1.0","3.374739","150.0","false"
"1952","1961","0","0.09","false","3.374739","559","90","41","1.0","3.374739","150.0","true"
"1962","1971","0","0.1","false","3.374739","563","90","41","1.0","3.374739","150.0","true"
"1972","1981","0","0.07","false","3.374739","574","90","41","1.0","3.374739","150.0","true"
"1982","1991","0","0.1","false","3.374739","593","90","41","1.0","3.374739","150.0","true"
"1992","2001","0","0.09","false","3.374739","632","90","41","1.0","3.374739","150.0","true"
"2002","2011","0","0.09","false","3.374739","656","90","41","1.0","3.374739","150.0","true"
"2012","2015","0","0.09","false","3.374739","662","90","41","1.0","3.374739","150.0","true"
