"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.0","1500","90","41","3.1811951282845987","3.1811951282845987","0.00375","false","true"
"-50","0","1500","0.35","false","1.375","1500","90","41","4.095894642019233","5.631855132776445","0.00375","false","true"
"1","43","2000","0.35","false","1.375","2000","90","41","1.81396238941499","2.4941982854456115","0.00375","false","true"
"44","200","4500","0.35","false","1.375","4500","90","41","1.8112397479286615","2.4904546534019096","0.00375","false","true"
"201","410","3000","0.35","false","1.375","3000","90","41","1.7977900493634382","2.4719613178747277","0.00375","false","true"
"411","430","1250","0.35","false","1.375","1250","90","41","1.7265959530361634","2.3740694354247247","0.00375","false","true"
"431","500","1300","0.35","false","1.375","1300","90","41","1.800989701090065","2.4763608389988394","0.00375","false","true"
"501","750","1300","0.35","false","1.375","1300","90","41","1.801138761248023","2.4765657967160317","0.00375","false","true"
"751","950","1400","0.35","false","1.375","1400","90","41","1.8000461157335579","2.475063409133642","0.00375","false","true"
"951","1066","1500","0.35","false","1.375","1500","90","41","1.7973117578523803","2.4713036670470228","0.00375","false","true"
"1067","1086","2000","0.35","false","1.375","2000","90","41","1.8225239562445357","2.5059704398362364","0.00375","false","true"
"1087","1190","3700","0.35","false","1.375","3700","90","41","1.8069702026484864","2.484584028641669","0.00375","false","true"
"1191","1220","4800","0.35","false","1.375","4800","90","41","1.812596648257799","2.4923203913544736","0.00375","false","true"
"1221","1250","5000","0.35","false","1.375","5000","90","41","1.796453701012742","2.47012383889252","0.00375","false","true"
"1251","1279","5300","0.35","false","1.375","5300","90","41","1.797708682791698","2.4718494388385848","0.00375","false","true"
"1280","1290","5700","0.35","false","1.375","5700","90","41","1.8083144520524217","2.48643237157208","0.00375","false","true"
"1291","1315","5600","0.35","false","1.375","5600","90","41","1.7912849695819293","2.463016833175153","0.00375","false","true"
"1316","1325","5000","0.35","false","1.375","5000","90","41","1.7772840457025798","2.443765562841047","0.00375","false","true"
"1326","1348","5700","0.35","false","1.375","5700","90","41","1.8045547491382805","2.4812627800651357","0.00375","false","true"
"1349","1351","3000","0.35","true","1.375","3000","90","41","1.4612678334772855","2.0092432710312678","0.00375","false","true"
"1352","1377","3000","0.35","false","1.375","3000","90","41","1.7956841225274094","2.4690656684751877","0.00375","false","true"
"1378","1400","2500","0.35","false","1.375","2500","90","41","1.7775895571076359","2.444185641022999","0.00375","false","true"
"1401","1430","2400","0.35","false","1.375","2400","90","41","1.7922745839004586","2.4643775528631306","0.00375","false","true"
"1431","1450","2300","0.35","false","1.375","2300","90","41","1.7911314821294844","2.462805787928041","0.00375","false","true"
"1451","1490","2600","0.35","false","1.375","2600","90","41","1.7996499404513613","2.4745186681206217","0.00375","false","true"
"1491","1522","2800","0.35","false","1.375","2800","90","41","1.7980171922607233","2.4722736393584945","0.00375","false","true"
"1523","1541","3400","0.35","false","1.375","3400","90","41","1.8151086617025036","2.4957744098409425","0.00375","false","true"
"1542","1560","3800","0.35","false","1.375","3800","90","41","1.8028109585691046","2.4788650680325186","0.00375","false","true"
"1561","1600","5000","0.31","false","1.375","5000","90","41","1.8140934720821704","2.4943785241129843","0.00375","false","true"
"1601","1650","6300","0.29","false","1.375","6300","90","41","1.8149220770210497","2.4955178559039433","0.00375","false","true"
"1651","1700","6200","0.26","false","1.375","6200","90","41","1.8132970589276338","2.4932834560254964","0.00375","false","true"
"1701","1801","11300","0.25","false","1.375","11300","90","41","1.8279651927672425","2.5134521400549583","0.00375","false","true"
"1802","1811","12500","0.28","false","1.375","12500","90","41","1.8285088078200538","2.514199610752574","0.00375","false","true"
"1812","1821","13400","0.28","false","1.375","13400","90","41","1.824468515093877","2.508644208254081","0.00375","false","true"
"1822","1831","15800","0.26","false","1.375","15800","90","41","1.8449313243597554","2.536780570994664","0.00375","false","true"
"1832","1841","20200","0.25","false","1.375","20200","90","41","1.861146275554103","2.5590761288868915","0.00375","false","true"
"1842","1851","27400","0.22","false","1.375","27400","90","41","1.88034428786287","2.585473395811446","0.00375","false","true"
"1852","1861","29000","0.25","false","1.375","29000","90","41","1.8262349478028193","2.5110730532288765","0.00375","false","true"
"1862","1871","31500","0.22","false","1.375","31500","90","41","1.8406776352074619","2.5309317484102603","0.00375","false","true"
"1872","1881","35000","0.21","false","1.375","35000","90","41","1.8448413877251109","2.5366569081220276","0.00375","false","true"
"1882","1891","37800","0.19","false","1.375","37800","90","41","1.8463079528522843","2.538673435171891","0.00375","false","true"
"1892","1901","38200","0.18","false","1.375","38200","90","41","1.836331821822153","2.5249562550054603","0.00375","false","true"
"1902","1911","42100","0.13","false","1.375","42100","90","41","1.86858868254647","2.569309438501396","0.00375","false","true"
"1912","1921","44000","0.14","false","1.375","44000","90","41","1.8557874446610225","2.551707736408906","0.00375","false","true"
"1922","1931","45000","0.12","false","1.375","45000","90","41","1.8606103114523092","2.558339178246925","0.00375","false","true"
"1932","1951","50200","0.07","false","1.375","50200","90","41","1.8854577754272266","2.5925044412124367","0.00375","false","true"
"1952","1961","55900","0.09","false","1.375","55900","90","41","1.8948620860339527","2.605435368296685","0.00375","false","true"
"1962","1971","56300","0.1","false","1.375","56300","90","41","1.8800416774892916","2.585057306547776","0.00375","false","true"
"1972","1981","57400","0.07","false","1.375","57400","90","41","1.8924891050755206","2.6021725194788408","0.00375","true","true"
"1982","1991","59300","0.1","false","1.375","59300","90","41","1.8902483659993685","2.5990915032491317","0.00375","true","true"
"1992","2001","63200","0.09","false","1.375","63200","90","41","1.9079320086982616","2.6234065119601095","0.00375","true","true"
"2002","2011","65600","0.09","false","1.375","65600","90","41","1.9271760706752534","2.6498670971784737","0.00375","true","true"
"2012","2015","66270","0.09","false","1.375","66270","90","41","1.940144139864384","2.667698192313528","0.00375","true","true"
