"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-9050","-51","1500","0.35","false","1.375","1500","90","41","3.500413233971922","4.813068196711392","0.0075","false"
"-50","0","1500","0.35","false","1.375","1500","90","41","1.8601550237184377","2.557713157612852","0.0075","false"
"1","43","2000","0.35","false","1.375","2000","90","41","1.8716403103860295","2.5735054267807906","0.0075","false"
"44","200","4500","0.35","false","1.375","4500","90","41","1.8712044806798678","2.572906160934818","0.0075","false"
"201","410","3000","0.35","false","1.375","3000","90","41","1.8574181435549417","2.5539499473880447","0.0075","false"
"411","430","1250","0.35","false","1.375","1250","90","41","1.7811935498318623","2.4491411310188105","0.0075","false"
"431","500","1300","0.35","false","1.375","1300","90","41","1.86085068491887","2.558669691763446","0.0075","false"
"501","750","1300","0.35","false","1.375","1300","90","41","1.8609898685485093","2.5588610692542004","0.0075","false"
"751","950","1400","0.35","false","1.375","1400","90","41","1.862857557134036","2.5614291410592993","0.0075","false"
"951","1066","1500","0.35","false","1.375","1500","90","41","1.8627844360570596","2.5613285995784567","0.0075","false"
"1067","1086","2000","0.35","false","1.375","2000","90","41","1.8900077336763412","2.5987606338049694","0.0075","false"
"1087","1190","3700","0.35","false","1.375","3700","90","41","1.87140911377436","2.573187531439745","0.0075","false"
"1191","1220","4800","0.35","false","1.375","4800","90","41","1.8781255605522864","2.5824226457593937","0.0075","false"
"1221","1250","5000","0.35","false","1.375","5000","90","41","1.8641956076206345","2.5632689604783723","0.0075","false"
"1251","1279","5300","0.35","false","1.375","5300","90","41","1.8652220996787892","2.5646803870583352","0.0075","false"
"1280","1290","5700","0.35","false","1.375","5700","90","41","1.872435459339849","2.5745987565922923","0.0075","false"
"1291","1315","5600","0.35","false","1.375","5600","90","41","1.860178793815443","2.557745841496234","0.0075","false"
"1316","1325","5000","0.35","false","1.375","5000","90","41","1.8378929130547204","2.5271027554502403","0.0075","false"
"1326","1348","5700","0.35","false","1.375","5700","90","41","1.8699383256619806","2.5711651977852235","0.0075","false"
"1349","1351","3000","0.35","true","1.375","3000","90","41","1.5266223308789673","2.09910570495858","0.0075","false"
"1352","1377","3000","0.35","false","1.375","3000","90","41","1.8625883692073748","2.5610590076601403","0.0075","false"
"1378","1400","2500","0.35","false","1.375","2500","90","41","1.8460610850713852","2.538333991973155","0.0075","false"
"1401","1430","2400","0.35","false","1.375","2400","90","41","1.8589666462179002","2.5560791385496127","0.0075","false"
"1431","1450","2300","0.35","false","1.375","2300","90","41","1.8586247485395062","2.555609029241821","0.0075","false"
"1451","1490","2600","0.35","false","1.375","2600","90","41","1.8662821195380492","2.5661379143648175","0.0075","false"
"1491","1522","2800","0.35","false","1.375","2800","90","41","1.8676025065634132","2.567953446524693","0.0075","false"
"1523","1541","3400","0.35","false","1.375","3400","90","41","1.8805756909417757","2.5857915750449414","0.0075","false"
"1542","1560","3800","0.35","false","1.375","3800","90","41","1.874213547081943","2.5770436272376718","0.0075","false"
"1561","1600","5000","0.31","false","1.375","5000","90","41","1.881644014640483","2.587260520130664","0.0075","false"
"1601","1650","6300","0.29","false","1.375","6300","90","41","1.88330101753044","2.589538899104355","0.0075","false"
"1651","1700","6200","0.26","false","1.375","6200","90","41","1.8797185838400259","2.5846130527800355","0.0075","false"
