"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","5.0","1500","1.156429177196091","5.782145885980455"
"1","43","1.066","2000","0.6","false","3.75","2000","3.938248918512845","14.768433444423168"
"44","200","1.066","4500","0.6","false","2.8125","4500","4.154519329542907","11.684585614339426"
"201","410","1.066","3000","0.6","false","2.109375","3000","4.010709417786272","8.460090178142917"
"411","430","1.066","1250","0.6","false","2.109375","1250","1.0455702383078342","2.205499721430588"
"431","500","1.066","1300","0.6","false","2.109375","1300","1.0243177728105342","2.1606703020222207"
"501","750","1.066","1300","0.6","false","1.8457029999999999","1300","5.0333510005211375","9.290071041714864"
"751","950","1.066","1400","0.6","false","1.8457029999999999","1400","0.9507033273157632","1.754715983336686"
"951","1066","1.066","1500","0.6","false","1.8457029999999999","1500","0.9104267481379511","1.6803773803184607"
"1067","1086","1.066","2000","0.6","false","1.8457029999999999","2000","0.9355305394358828","1.7267115232284271"
"1087","1190","1.066","3700","0.6","false","1.8457029999999999","3700","0.923786233300542","1.70503502216151"
"1191","1220","1.066","4800","0.6","false","1.8457029999999999","4800","0.9003629920388394","1.6618026754950619"
"1221","1250","1.066","5000","0.6","false","1.8457029999999999","5000","0.876465861467506","1.6176956699081602"
"1251","1279","1.066","5300","0.6","false","1.384277","5300","3.7429127717433692","5.181228062930596"
"1280","1290","1.066","5700","0.6","false","1.384277","5700","1.1685154908979376","1.6175491181937243"
"1291","1315","1.066","5600","0.6","false","1.384277","5600","1.1547714576660575","1.598523569103597"
"1316","1325","1.066","5000","0.6","false","1.384277","5000","1.1395464390482637","1.5774479260064134"
"1326","1348","1.066","5700","0.6","false","1.384277","5700","1.1594949998583863","1.6050622599189674"
"1349","1351","1.066","3000","0.6","true","1.384277","3000","0.9679124416604177","1.339858931004358"
"1352","1377","1.066","3000","0.6","false","1.384277","3000","1.1448989531786844","1.5848572882093297"
"1378","1400","1.066","2500","0.6","false","1.384277","2500","1.130846107743808","1.565404257489275"
"1401","1430","1.066","2400","0.6","false","1.384277","2400","1.1357457089397416","1.5721866627339787"
"1431","1450","1.066","2300","0.6","false","1.384277","2300","1.1301497713773132","1.564440335072873"
"1451","1490","1.066","2600","0.6","false","1.384277","2600","1.1340900855650131","1.5698948213756796"
"1491","1522","1.066","2800","0.6","false","1.384277","2800","1.124685759393405","1.5568766289558245"
"1523","1541","1.066","3400","0.6","false","1.384277","3400","1.1426807280111535","1.5817866501290956"
"1542","1560","1.066","3800","0.6","false","1.384277","3800","1.127890900819618","1.5613134325138784"
"1561","1600","1.066","5000","0.6","false","1.384277","5000","1.1360826635524537","1.5726531012543998"
"1601","1650","1.066","6300","0.6","false","1.384277","6300","1.1230745203002896","1.554646227737724"
"1651","1700","1.066","6200","0.6","false","1.384277","6200","1.1071885926971747","1.532655703533067"
"1701","1801","1.066","11300","0.6","false","1.384277","11300","1.1381231548713713","1.5754777064558771"
"1802","1811","1.066","12500","0.6","false","1.384277","12500","1.1112171534826671","1.538232347571526"
"1812","1821","1.066","13400","0.6","false","1.384277","13400","1.1028184492034925","1.526606214408063"
"1822","1831","1.066","15800","0.6","false","1.384277","15800","1.1272792857568965","1.5604667878496994"
"1832","1841","1.066","20200","0.6","false","1.384277","20200","1.1597522464582348","1.605418360470466"
"1842","1851","1.066","27400","0.6","false","1.384277","27400","1.1907629248938314","1.6483457293832582"
"1852","1861","1.066","29000","0.6","false","1.384277","29000","1.0983736788691552","1.5204534210639575"
"1862","1871","1.066","31500","0.6","false","1.384277","31500","1.1029869007446134","1.5268393980020512"
"1872","1881","1.066","35000","0.6","false","1.384277","35000","1.1075431462081686","1.533146503803605"
"1882","1891","1.066","37800","0.6","false","1.384277","37800","1.0997956670840154","1.5224218466440596"
"1892","1901","1.066","38200","0.6","false","1.384277","38200","1.0909171719332398","1.5101315500122294"
"1902","1911","1.003","42100","0.13","false","1.384277","42100","1.1259085568232883","1.558569319313671"
"1912","1921","1.003","44000","0.13","false","1.384277","44000","1.0788134538825127","1.493376651500123"
"1922","1931","1.003","45000","0.13","false","1.384277","45000","1.0805135057667055","1.4957299942222178"
"1932","1941","1.003","50200","0.13","false","1.384277","50200","1.1429549335755647","1.582166226585182"
"1942","1951","1.003","52800","0.13","false","1.384277","52800","1.1232065821782369","1.5548290379579432"
"1952","1961","1.003","55900","0.13","false","1.384277","55900","1.1131882424146506","1.5409608806450252"
"1962","1971","1.003","56300","0.13","false","1.384277","56300","1.0938905626579414","1.5142475464044471"
"1972","1981","1.003","57400","0.13","false","1.384277","57400","1.0956642286254419","1.5167027914089408"
"1982","1991","1.003","59300","0.13","false","1.384277","59300","1.097203032696324","1.5188329224917694"
"1992","2001","1.003","63200","0.13","false","1.384277","63200","1.1172765843027939","1.5466202782889185"
"2002","2011","1.003","65600","0.13","false","1.384277","65600","1.1008676138320983","1.5239057178726556"
"2012","2015","1.003","66270","0.13","false","1.384277","66270","1.0921990577808716","1.5119060351077316"
