"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","5.0","1500","1.1565672599116068","5.782836299558034","0.05"
"1","43","1.066","2000","0.6","false","5.0","2000","0.9179561630775667","4.589780815387833","0.05"
"44","200","1.066","4500","0.6","false","2.5","4500","2.149457138681248","5.37364284670312","0.05"
"201","410","1.066","3000","0.6","false","2.5","3000","1.0382498734152037","2.5956246835380092","0.05"
"411","430","1.066","1250","0.6","false","2.5","1250","0.8573706221876713","2.1434265554691785","0.05"
"431","500","1.066","1300","0.6","false","2.5","1300","0.8652003772505469","2.163000943126367","0.05"
"501","750","1.066","1300","0.6","false","1.875","1300","3.421974212589775","6.416201648605829","0.05"
"751","950","1.066","1400","0.6","false","1.875","1400","0.9721802666907067","1.822838000045075","0.05"
"951","1066","1.066","1500","0.6","false","1.875","1500","0.9273753242628768","1.738828732992894","0.05"
"1067","1086","1.066","2000","0.6","false","1.875","2000","0.9284086918237817","1.7407662971695907","0.05"
"1087","1190","1.066","3700","0.6","false","1.875","3700","0.9117403388677973","1.7095131353771198","0.05"
"1191","1220","1.066","4800","0.6","false","1.875","4800","0.9057320403025751","1.6982475755673283","0.05"
"1221","1250","1.066","5000","0.6","false","1.875","5000","0.8931412997271679","1.67463993698844","0.05"
"1251","1279","1.066","5300","0.6","false","1.875","5300","0.8908718589563885","1.6703847355432284","0.05"
"1280","1290","1.066","5700","0.6","false","1.875","5700","0.8908343882909253","1.670314478045485","0.05"
"1291","1315","1.066","5600","0.6","false","1.875","5600","0.884173459651226","1.6578252368460487","0.05"
"1316","1325","1.066","5000","0.6","false","1.875","5000","0.8735798577854329","1.6379622333476866","0.05"
"1326","1348","1.066","5700","0.6","false","1.875","5700","0.8864958304530417","1.6621796820994532","0.05"
"1349","1351","1.066","3000","0.6","true","1.875","3000","0.7206666481158379","1.351249965217196","0.05"
"1352","1377","1.066","3000","0.6","false","1.875","3000","0.8781820261706806","1.6465912990700262","0.05"
"1378","1400","1.066","2500","0.6","false","1.875","2500","0.8676675603513134","1.6268766756587127","0.05"
"1401","1430","1.066","2400","0.6","false","1.875","2400","0.872941576825442","1.636765456547704","0.05"
"1431","1450","1.066","2300","0.6","false","1.875","2300","0.8693245874479004","1.6299836014648132","0.05"
"1451","1490","1.066","2600","0.6","false","1.875","2600","0.8744165372302397","1.6395310073066995","0.05"
"1491","1522","1.066","2800","0.6","false","1.875","2800","0.8704069082289853","1.6320129529293474","0.05"
"1523","1541","1.066","3400","0.6","false","1.875","3400","0.874125729230697","1.638985742307557","0.05"
"1542","1560","1.066","3800","0.6","false","1.875","3800","0.8704670780661816","1.6321257713740907","0.05"
"1561","1600","1.066","5000","0.6","false","1.875","5000","0.869383045098148","1.6300932095590275","0.05"
"1601","1650","1.066","6300","0.6","false","1.875","6300","0.8667825483793511","1.6252172782112833","0.05"
"1651","1700","1.066","6200","0.6","false","1.875","6200","0.8614143217989471","1.6151518533730258","0.05"
"1701","1801","1.066","11300","0.6","false","1.875","11300","0.8645892420763366","1.6211048288931311","0.05"
"1802","1811","1.066","12500","0.6","false","1.875","12500","0.8677099523456941","1.6269561606481766","0.05"
"1812","1821","1.066","13400","0.6","false","1.875","13400","0.8646217113718573","1.6211657088222324","0.05"
"1822","1831","1.066","15800","0.6","false","1.875","15800","0.8727361548130688","1.636380290274504","0.05"
"1832","1841","1.066","20200","0.6","false","1.875","20200","0.8801412860755213","1.6502649113916026","0.05"
"1842","1851","1.066","27400","0.6","false","1.875","27400","0.8846200258163878","1.6586625484057271","0.05"
"1852","1861","1.066","29000","0.6","false","1.875","29000","0.8634729350338557","1.6190117531884793","0.05"
"1862","1871","1.066","31500","0.6","false","1.875","31500","0.8651217182693001","1.6221032217549376","0.05"
"1872","1881","1.066","35000","0.6","false","1.875","35000","0.8668637205657514","1.625369476060784","0.05"
"1882","1891","1.066","37800","0.6","false","1.875","37800","0.8637684928709698","1.6195659241330684","0.05"
"1892","1901","1.066","38200","0.6","false","1.875","38200","0.8588420768888231","1.6103288941665432","0.05"
"1902","1911","1.066","42100","0.6","false","1.875","42100","0.8657977686269354","1.6233708161755038","0.05"
"1912","1921","1.066","44000","0.6","false","1.875","44000","0.8601522251993666","1.6127854222488125","0.05"
"1922","1931","1.066","45000","0.13","false","1.875","45000","0.9027037246385353","1.6925694836972538","0.05"
"1932","1941","1.066","50200","0.13","false","1.875","50200","0.9060932608442659","1.6989248640829986","0.05"
"1942","1951","1.066","52800","0.13","false","1.875","52800","0.9060665016528964","1.6988746905991807","0.05"
"1952","1961","1.066","55900","0.13","false","1.875","55900","0.9162385708437928","1.7179473203321114","0.05"
"1962","1971","1.066","56300","0.13","false","1.875","56300","0.9187487144488384","1.722653839591572","0.05"
"1972","1981","1.066","57400","0.13","false","1.875","57400","0.910607623386021","1.7073892938487893","0.05"
"1982","1991","1.066","59300","0.13","false","1.875","59300","0.9165492712825583","1.7185298836547966","0.05"
"1992","2001","1.066","63200","0.13","false","1.875","63200","0.9192433113652507","1.7235812088098452","0.05"
"2002","2011","1.066","65600","0.13","false","1.875","65600","0.9144237465532008","1.7145445247872515","0.05"
"2012","2015","1.066","66270","0.13","false","1.875","66270","0.9147518291182319","1.7151596795966848","0.05"
