"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","5.0","150","1.2115493665065349","6.057746832532675"
"1","43","1.066","200","0.6","false","5.0","200","1.192829332779665","5.964146663898325"
"44","200","1.066","450","0.6","false","5.0","450","1.163299124796814","5.81649562398407"
"201","410","1.066","300","0.6","false","5.0","300","1.0534927014114985","5.267463507057492"
"411","430","1.066","125","0.6","false","5.0","125","0.9955454837600872","4.977727418800436"
"431","500","1.066","130","0.6","false","5.0","130","1.0117406886420435","5.058703443210217"
"501","750","1.066","130","0.6","false","5.0","130","0.9966014267467126","4.983007133733563"
"751","950","1.066","140","0.6","false","5.0","140","0.9774574629765046","4.887287314882523"
"951","1066","1.066","150","0.6","false","5.0","150","0.9668280013513508","4.834140006756754"
"1067","1086","1.066","200","0.6","false","5.0","200","1.020396032954665","5.101980164773325"
"1087","1190","1.066","370","0.6","false","5.0","370","0.9963364902158566","4.9816824510792825"
"1191","1220","1.066","480","0.6","false","5.0","480","0.9893216719847725","4.946608359923863"
"1221","1250","1.066","500","0.6","false","5.0","500","0.9605291717460812","4.802645858730406"
"1251","1279","1.066","530","0.6","false","5.0","530","0.964878018085826","4.82439009042913"
"1280","1290","1.066","570","0.6","false","5.0","570","0.9650168441264142","4.825084220632071"
"1291","1315","1.066","560","0.6","false","5.0","560","0.9587048645952071","4.793524322976036"
"1316","1325","1.066","500","0.6","false","5.0","500","0.9456323385476892","4.728161692738446"
"1326","1348","1.066","570","0.6","false","5.0","570","0.9655822217498029","4.8279111087490145"
"1349","1351","1.066","300","0.6","true","5.0","300","0.8327570155605799","4.163785077802899"
"1352","1377","1.066","300","0.6","false","5.0","300","0.9575996859066443","4.787998429533221"
"1378","1400","1.066","250","0.6","false","5.0","250","0.9433819452365533","4.716909726182767"
"1401","1430","1.066","240","0.6","false","5.0","240","0.9519942399856336","4.759971199928168"
"1431","1450","1.066","230","0.6","false","5.0","230","0.9557567378269732","4.778783689134866"
"1451","1490","1.066","260","0.6","false","5.0","260","0.9513410585683426","4.756705292841713"
"1491","1522","1.066","280","0.6","false","5.0","280","0.9536401756843834","4.768200878421917"
"1523","1541","1.066","340","0.6","false","5.0","340","0.9745981896086264","4.872990948043132"
"1542","1560","1.066","380","0.6","false","5.0","380","0.9479705349229532","4.739852674614767"
"1561","1600","1.066","500","0.6","false","5.0","500","0.9656519474571148","4.828259737285574"
"1601","1650","1.066","630","0.6","false","5.0","630","0.9513627684716783","4.756813842358392"
"1651","1700","1.066","620","0.6","false","5.0","620","0.9368554731733427","4.684277365866714"
"1701","1801","1.066","1130","0.6","false","5.0","1130","0.9655240903095685","4.827620451547842"
"1802","1811","1.066","1250","0.6","false","5.0","1250","0.9407303918551954","4.703651959275977"
"1812","1821","1.066","1340","0.6","false","5.0","1340","0.9334741329232283","4.667370664616142"
"1822","1831","1.066","1580","0.6","false","5.0","1580","0.9553345376466915","4.776672688233457"
"1832","1841","1.066","2020","0.6","false","5.0","2020","0.977604253221199","4.888021266105995"
"1842","1851","1.066","2740","0.6","false","5.0","2740","1.0120339101633324","5.060169550816662"
"1852","1861","1.066","2900","0.6","false","5.0","2900","0.9278957688406949","4.639478844203475"
"1862","1871","1.066","3150","0.6","false","5.0","3150","0.9315583412096661","4.6577917060483305"
"1872","1881","1.066","3500","0.6","false","5.0","3500","0.9367007533390108","4.683503766695054"
"1882","1891","1.066","3780","0.6","false","5.0","3780","0.9273350619435533","4.636675309717766"
"1892","1901","1.066","3820","0.6","false","5.0","3820","0.9259373867014944","4.629686933507472"
"1902","1911","1.003","4210","0.13","false","5.0","4210","0.9457817390456537","4.728908695228268"
"1912","1921","1.003","4400","0.13","false","5.0","4400","0.9118726522386084","4.559363261193042"
"1922","1931","1.003","4500","0.13","false","5.0","4500","0.9144839353404908","4.572419676702454"
"1932","1941","1.003","5020","0.13","false","5.0","5020","0.9694293015800074","4.847146507900037"
"1942","1951","1.003","5280","0.13","false","5.0","5280","0.9481758450655132","4.740879225327566"
"1952","1961","1.003","5590","0.13","false","5.0","5590","0.9433857436332136","4.716928718166068"
"1962","1971","1.003","5630","0.13","false","5.0","5630","0.924597083496916","4.62298541748458"
"1972","1981","1.003","5740","0.13","false","5.0","5740","0.9266073154975274","4.633036577487637"
"1982","1991","1.003","5930","0.13","false","5.0","5930","0.9282417115096934","4.641208557548467"
"1992","2001","1.003","6320","0.13","false","5.0","6320","0.9469742559114259","4.7348712795571295"
"2002","2011","1.003","6560","0.13","false","5.0","6560","0.928401526784983","4.642007633924915"
"2012","2015","1.003","6627","0.13","false","5.0","6627","0.9261518545712364","4.6307592728561815"
