"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","2.5","15","90","41","1.2305643702702525","3.0764109256756313","150.0"
"1","43","20","0.35","false","2.5","20","90","41","1.177044816908198","2.942612042270495","150.0"
"44","200","45","0.35","false","2.5","45","90","41","1.1458324241036641","2.8645810602591606","150.0"
"201","410","30","0.35","false","2.5","30","90","41","1.1447812507389736","2.861953126847434","150.0"
"411","430","12","0.35","false","2.5","12","90","41","1.126433202151418","2.816083005378545","150.0"
"431","500","13","0.35","false","2.5","13","90","41","1.2284948384948393","3.0712370962370983","150.0"
"501","750","13","0.35","false","2.5","13","90","41","1.2117316017316044","3.029329004329011","150.0"
"751","950","14","0.35","false","3.75","14","90","41","1.9938423099303528","7.476908662238823","150.0"
"951","1066","15","0.35","false","2.8125","15","90","41","3.551724577126257","9.989225373167598","150.0"
"1067","1086","20","0.35","false","2.8125","20","90","41","1.0738162572721397","3.020108223577893","150.0"
"1087","1190","37","0.35","false","2.8125","37","90","41","1.0430709455803524","2.9336370344447413","150.0"
"1191","1220","48","0.35","false","2.8125","48","90","41","1.027369949052953","2.8894779817114307","150.0"
"1221","1250","50","0.35","false","2.8125","50","90","41","1.0330153982962285","2.9053558077081427","150.0"
"1251","1279","53","0.35","false","2.8125","53","90","41","1.0275014517932781","2.8898478331685946","150.0"
"1280","1290","57","0.35","false","2.8125","57","90","41","1.0194638430021497","2.867242058443546","150.0"
"1291","1315","56","0.35","false","2.8125","56","90","41","1.0305794788120854","2.89850478415899","150.0"
"1316","1325","50","0.35","false","2.8125","50","90","41","0.9880833098789756","2.778984309034619","150.0"
"1326","1348","57","0.35","false","2.8125","57","90","41","1.0525617861546446","2.960330023559938","150.0"
"1349","1351","30","0.35","true","2.8125","30","90","41","0.8527644869750133","2.3984001196172247","150.0"
"1352","1377","30","0.35","false","2.8125","30","90","41","1.0211162660923017","2.8718894983845984","150.0"
"1378","1400","25","0.35","false","2.8125","25","90","41","1.0197386743413728","2.868015021585111","150.0"
"1401","1430","24","0.35","false","2.8125","24","90","41","1.014155208720426","2.852311524526198","150.0"
"1431","1450","23","0.35","false","2.8125","23","90","41","1.0777519094178132","3.0311772452375996","150.0"
"1451","1490","26","0.35","false","2.8125","26","90","41","1.0385904693132955","2.9210356949436433","150.0"
"1491","1522","28","0.35","false","2.8125","28","90","41","1.0662913982811848","2.9989445576658325","150.0"
"1523","1541","34","0.35","false","2.8125","34","90","41","1.0247034193648854","2.88197836696374","150.0"
"1542","1560","38","0.35","false","2.8125","38","90","41","1.026302550347279","2.886475922851722","150.0"
"1561","1600","50","0.31","false","2.8125","50","90","41","1.0405020407844539","2.9264119897062764","150.0"
"1601","1650","63","0.29","false","2.8125","63","90","41","1.0404804100205358","2.926351153182757","150.0"
"1651","1700","62","0.26","false","2.8125","62","90","41","1.0360838271302057","2.9139857638037037","150.0"
"1701","1801","113","0.25","false","2.8125","113","90","41","1.039586288393638","2.923836436107107","150.0"
"1802","1811","125","0.28","false","2.8125","125","90","41","1.038686761831132","2.9213065176500588","150.0"
"1812","1821","134","0.28","false","2.8125","134","90","41","1.0403763723675377","2.9260585472836995","150.0"
"1822","1831","158","0.26","false","2.8125","158","90","41","1.0342265349183821","2.9087621294579495","150.0"
"1832","1841","202","0.25","false","2.8125","202","90","41","1.0605615959256376","2.9828294885408555","150.0"
"1842","1851","274","0.22","false","2.8125","274","90","41","1.0690392317750639","3.006672839367367","150.0"
"1852","1861","290","0.25","false","2.8125","290","90","41","1.0385255343319248","2.9208530653085387","150.0"
"1862","1871","315","0.22","false","2.8125","315","90","41","1.0470788485558808","2.944909261563415","150.0"
"1872","1881","350","0.21","false","2.8125","350","90","41","1.037499544697699","2.917967469462278","150.0"
"1882","1891","378","0.19","false","2.8125","378","90","41","1.0455114901605653","2.94050106607659","150.0"
"1892","1901","382","0.18","false","2.8125","382","90","41","1.0351423213256787","2.9113377787284715","150.0"
"1902","1911","421","0.13","false","2.8125","421","90","41","1.0498383839389922","2.9526704548284157","150.0"
"1912","1921","440","0.14","false","2.8125","440","90","41","1.0455534845463061","2.940619175286486","150.0"
"1922","1931","450","0.12","false","2.8125","450","90","41","1.0498967394051277","2.9528345795769217","150.0"
"1932","1941","502","0.07","false","2.8125","502","90","41","1.0875160028889683","3.0586387581252232","150.0"
"1942","1951","528","0.08","false","2.8125","528","90","41","1.0681055892512823","3.0040469697692314","150.0"
"1952","1961","559","0.09","false","2.8125","559","90","41","1.063739212696687","2.991766535709432","150.0"
"1962","1971","563","0.1","false","2.8125","563","90","41","1.0616019884957493","2.9857555926442947","150.0"
"1972","1981","574","0.07","false","2.8125","574","90","41","1.072499101213063","3.0164037221617392","150.0"
"1982","1991","593","0.1","false","2.8125","593","90","41","1.07801950253835","3.0319298508891097","150.0"
"1992","2001","632","0.09","false","2.8125","632","90","41","1.073104187517587","3.018105527393214","150.0"
"2002","2011","656","0.09","false","2.8125","656","90","41","1.1008308095754455","3.0960866519309405","150.0"
"2012","2015","662","0.09","false","2.8125","662","90","41","1.118846006510815","3.1467543933116673","150.0"
