"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.375","1500","90","41","4.100949162748387","5.638805098779033","0.00375","false","true"
"-50","0","1500","0.35","false","1.375","1500","90","41","2.7235242840729015","3.7448458906002395","0.00375","false","true"
"1","43","2000","0.35","false","1.375","2000","90","41","2.7366826512513964","3.76293864547067","0.00375","false","true"
"44","200","4500","0.35","false","1.375","4500","90","41","2.7373482755814007","3.763853878924426","0.00375","false","true"
"201","410","3000","0.35","false","1.375","3000","90","41","2.7083576526028748","3.7239917723289526","0.00375","false","true"
"411","430","1250","0.35","false","1.375","1250","90","41","2.5875686901076747","3.5579069488980526","0.00375","false","true"
"431","500","1300","0.35","false","1.375","1300","90","41","2.705104097632836","3.7195181342451495","0.00375","false","true"
"501","750","1300","0.35","false","1.375","1300","90","41","2.6997526773416167","3.712159931344723","0.00375","false","true"
"751","950","1400","0.35","false","1.375","1400","90","41","2.7004314525146453","3.7130932472076372","0.00375","false","true"
"951","1066","1500","0.35","false","1.375","1500","90","41","2.702380171751958","3.7157727361589425","0.00375","false","true"
"1067","1086","2000","0.35","false","1.375","2000","90","41","2.7351787326984622","3.7608707574603857","0.00375","false","true"
"1087","1190","3700","0.35","false","1.375","3700","90","41","2.7153122494167405","3.7335543429480182","0.00375","false","true"
"1191","1220","4800","0.35","false","1.375","4800","90","41","2.722953568940119","3.7440611572926636","0.00375","false","true"
"1221","1250","5000","0.35","false","1.375","5000","90","41","2.7039807265508227","3.717973499007381","0.00375","false","true"
"1251","1279","5300","0.35","false","1.375","5300","90","41","2.7023189179061338","3.7156885121209338","0.00375","false","true"
"1280","1290","5700","0.35","false","1.375","5700","90","41","2.7186029692318963","3.7380790826938575","0.00375","false","true"
"1291","1315","5600","0.35","false","1.375","5600","90","41","2.6958832960359747","3.7068395320494654","0.00375","false","true"
"1316","1325","5000","0.35","false","1.375","5000","90","41","2.673169951958216","3.675608683942547","0.00375","false","true"
"1326","1348","5700","0.35","false","1.375","5700","90","41","2.712254888762724","3.7293504720487456","0.00375","false","true"
"1349","1351","3000","0.35","true","1.375","3000","90","41","2.2091587812091187","3.0375933241625384","0.00375","false","true"
"1352","1377","3000","0.35","false","1.375","3000","90","41","2.696537393745804","3.707738916400481","0.00375","false","true"
"1378","1400","2500","0.35","false","1.375","2500","90","41","2.675565382304825","3.678902400669134","0.00375","false","true"
"1401","1430","2400","0.35","false","1.375","2400","90","41","2.692808299190766","3.702611411387303","0.00375","false","true"
"1431","1450","2300","0.35","false","1.375","2300","90","41","2.690077229164089","3.6988561901006225","0.00375","false","true"
"1451","1490","2600","0.35","false","1.375","2600","90","41","2.7074888277137985","3.722797138106473","0.00375","false","true"
"1491","1522","2800","0.35","false","1.375","2800","90","41","2.7059079721247796","3.720623461671572","0.00375","false","true"
"1523","1541","3400","0.35","false","1.375","3400","90","41","2.727239753904636","3.7499546616188746","0.00375","false","true"
"1542","1560","3800","0.35","false","1.375","3800","90","41","2.714725179352638","3.7327471216098775","0.00375","false","true"
"1561","1600","5000","0.31","false","1.375","5000","90","41","2.7301841040179857","3.7540031430247303","0.00375","false","true"
"1601","1650","6300","0.29","false","1.375","6300","90","41","2.7294295784908247","3.752965670424884","0.00375","false","true"
