"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","1.0","1500","0.0","0.0","2.0E-4"
"1","43","1.066","2000","0.6","false","1.0","2000","0.0","0.0","2.0E-4"
"44","200","1.066","4500","0.6","false","1.0","4500","0.0","0.0","2.0E-4"
"201","410","1.066","3000","0.6","false","1.0","3000","0.0","0.0","2.0E-4"
"411","430","1.066","1250","0.6","false","1.0","1250","0.0","0.0","2.0E-4"
"431","500","1.066","1300","0.6","false","1.0","1300","0.0","0.0","2.0E-4"
"501","750","1.066","1300","0.6","false","1.0","1300","0.0","0.0","2.0E-4"
"751","950","1.066","1400","0.6","false","1.0","1400","0.0","0.0","2.0E-4"
"951","1066","1.066","1500","0.6","false","1.0","1500","0.0","0.0","2.0E-4"
"1067","1086","1.066","2000","0.6","false","1.0","2000","0.0","0.0","2.0E-4"
"1087","1190","1.066","3700","0.6","false","1.0","3700","0.0","0.0","2.0E-4"
"1191","1220","1.066","4800","0.6","false","1.0","4800","0.0","0.0","2.0E-4"
"1221","1250","1.066","5000","0.6","false","1.0","5000","0.0","0.0","2.0E-4"
"1251","1279","1.066","5300","0.6","false","1.0","5300","0.0","0.0","2.0E-4"
"1280","1290","1.066","5700","0.6","false","1.0","5700","0.0","0.0","2.0E-4"
"1291","1315","1.066","5600","0.6","false","1.0","5600","0.0","0.0","2.0E-4"
"1316","1325","1.066","5000","0.6","false","1.0","5000","0.0","0.0","2.0E-4"
"1326","1348","1.066","5700","0.6","false","1.0","5700","0.0","0.0","2.0E-4"
"1349","1351","1.066","3000","0.6","true","1.0","3000","0.0","0.0","2.0E-4"
"1352","1377","1.066","3000","0.6","false","1.0","3000","0.0","0.0","2.0E-4"
"1378","1400","1.066","2500","0.6","false","1.0","2500","0.0","0.0","2.0E-4"
"1401","1430","1.066","2400","0.6","false","1.0","2400","0.0","0.0","2.0E-4"
"1431","1450","1.066","2300","0.6","false","1.0","2300","0.0","0.0","2.0E-4"
"1451","1490","1.066","2600","0.6","false","1.0","2600","0.0","0.0","2.0E-4"
"1491","1522","1.066","2800","0.6","false","1.0","2800","0.0","0.0","2.0E-4"
"1523","1541","1.066","3400","0.6","false","1.0","3400","0.0","0.0","2.0E-4"
"1542","1560","1.066","3800","0.6","false","1.0","3800","0.0","0.0","2.0E-4"
"1561","1600","1.066","5000","0.6","false","1.0","5000","0.0","0.0","2.0E-4"
"1601","1650","1.066","6300","0.6","false","1.0","6300","0.0","0.0","2.0E-4"
"1651","1700","1.066","6200","0.6","false","1.0","6200","0.0","0.0","2.0E-4"
"1701","1801","1.066","11300","0.6","false","1.0","11300","0.0","0.0","2.0E-4"
"1802","1811","1.066","12500","0.6","false","1.0","12500","0.0","0.0","2.0E-4"
"1812","1821","1.066","13400","0.6","false","1.0","13400","0.0","0.0","2.0E-4"
"1822","1831","1.066","15800","0.6","false","1.0","15800","0.0","0.0","2.0E-4"
"1832","1841","1.066","20200","0.6","false","1.0","20200","0.0","0.0","2.0E-4"
"1842","1851","1.066","27400","0.6","false","1.0","27400","0.0","0.0","2.0E-4"
"1852","1861","1.066","29000","0.6","false","1.0","29000","0.0","0.0","2.0E-4"
"1862","1871","1.066","31500","0.6","false","1.0","31500","0.0","0.0","2.0E-4"
"1872","1881","1.066","35000","0.6","false","1.0","35000","0.0","0.0","2.0E-4"
"1882","1891","1.066","37800","0.6","false","1.0","37800","0.0","0.0","2.0E-4"
"1892","1901","1.066","38200","0.6","false","1.0","38200","0.0","0.0","2.0E-4"
"1902","1911","1.066","42100","0.6","false","1.0","42100","0.0","0.0","2.0E-4"
"1912","1921","1.066","44000","0.6","false","1.0","44000","0.0","0.0","2.0E-4"
"1922","1931","1.066","45000","0.6","false","1.0","45000","0.0","0.0","2.0E-4"
"1932","1941","1.066","50200","0.6","false","1.0","50200","0.0","0.0","2.0E-4"
"1942","1951","1.066","52800","0.6","false","1.0","52800","0.0","0.0","2.0E-4"
"1952","1961","1.066","55900","0.6","false","1.0","55900","0.0","0.0","2.0E-4"
"1962","1971","1.066","56300","0.6","false","1.0","56300","0.0","0.0","2.0E-4"
"1972","1981","1.066","57400","0.6","false","1.0","57400","0.0","0.0","2.0E-4"
"1982","1991","1.066","59300","0.6","false","1.0","59300","0.0","0.0","2.0E-4"
"1992","2001","1.066","63200","0.6","false","1.0","63200","0.0","0.0","2.0E-4"
"2002","2011","1.066","65600","0.6","false","1.0","65600","0.0","0.0","2.0E-4"
"2012","2015","1.066","66270","0.6","false","1.0","66270","0.0","0.0","2.0E-4"
