"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.5625","1500","11.220649493337978","17.53226483334059"
"1","43","1.066","2000","0.6","false","0.19531199999999999","2000","4.00526716811187","0.7822767411382655"
"44","200","1.066","4500","0.6","false","0.012206999999999999","4500","8.035940073612338","0.09809472047858579"
"201","410","1.066","3000","0.6","false","0.003051","3000","3.652215065340531","0.011142908164353961"
"411","430","1.066","1250","0.6","false","0.003051","1250","0.9867499932664083","0.003010574229455812"
"431","500","1.066","1300","0.6","false","0.0015249999999999999","1300","2.3741223692238234","0.0036205366130663305"
"501","750","1.066","1300","0.6","false","7.62E-4","1300","2.6483745741580305","0.002018061425508419"
"751","950","1.066","1400","0.6","false","7.62E-4","1400","1.0930017879351466","8.328673624065817E-4"
"951","1066","1.066","1500","0.6","false","7.62E-4","1500","0.9275425993814386","7.067874607286561E-4"
"1067","1086","1.066","2000","0.6","false","7.62E-4","2000","0.9303217990422535","7.089052108701972E-4"
"1087","1190","1.066","3700","0.6","false","7.62E-4","3700","0.9087863095733894","6.924951678949227E-4"
"1191","1220","1.066","4800","0.6","false","7.62E-4","4800","0.8761790451328438","6.67648432391227E-4"
"1221","1250","1.066","5000","0.6","false","7.62E-4","5000","0.8382319393034895","6.38732737749259E-4"
"1251","1279","1.066","5300","0.6","false","7.62E-4","5300","0.8227652626490662","6.269471301385885E-4"
"1280","1290","1.066","5700","0.6","false","7.62E-4","5700","0.8240065097523973","6.278929604313267E-4"
"1291","1315","1.066","5600","0.6","false","7.62E-4","5600","0.7981086703710665","6.081588068227526E-4"
"1316","1325","1.066","5000","0.6","false","7.62E-4","5000","0.7749907018096653","5.905429147789649E-4"
"1326","1348","1.066","5700","0.6","false","7.62E-4","5700","0.7922400706845021","6.036869338615906E-4"
"1349","1351","1.066","3000","0.6","true","7.62E-4","3000","0.6476880967259894","4.935383297052039E-4"
"1352","1377","1.066","3000","0.6","false","5.71E-4","3000","3.2809668443592694","0.001873432068129143"
"1378","1400","1.066","2500","0.6","false","5.71E-4","2500","0.9896692738263344","5.65101155354837E-4"
"1401","1430","1.066","2400","0.6","false","5.71E-4","2400","0.9748100011492399","5.56616510656216E-4"
"1431","1450","1.066","2300","0.6","false","5.71E-4","2300","0.9606703269889854","5.485427567107106E-4"
"1451","1490","1.066","2600","0.6","false","5.71E-4","2600","0.9673664307166373","5.523662319391999E-4"
"1491","1522","1.066","2800","0.6","false","5.71E-4","2800","0.9606976504214982","5.485583583906755E-4"
"1523","1541","1.066","3400","0.6","false","5.71E-4","3400","0.9874014725201304","5.638062408089945E-4"
"1542","1560","1.066","3800","0.6","false","5.71E-4","3800","0.9653218992299026","5.511988044602744E-4"
"1561","1600","1.066","5000","0.6","false","5.71E-4","5000","0.9770728465639948","5.57908595388041E-4"
"1601","1650","1.066","6300","0.6","false","5.71E-4","6300","0.9597819759063814","5.480355082425437E-4"
"1651","1700","1.066","6200","0.6","false","5.71E-4","6200","0.928876092978104","5.303882490904974E-4"
"1701","1801","1.066","11300","0.6","false","5.71E-4","11300","0.9780145644865895","5.584463163218426E-4"
"1802","1811","1.066","12500","0.6","false","5.71E-4","12500","0.9455128186041588","5.398878194229746E-4"
"1812","1821","1.066","13400","0.6","false","5.71E-4","13400","0.9424680774263251","5.381492722104316E-4"
"1822","1831","1.066","15800","0.6","false","5.71E-4","15800","0.9730836570244824","5.556307681609795E-4"
"1832","1841","1.066","20200","0.6","false","5.71E-4","20200","1.0159161714296334","5.800881338863207E-4"
"1842","1851","1.066","27400","0.6","false","5.71E-4","27400","1.0610378976139563","6.05852639537569E-4"
"1852","1861","1.066","29000","0.6","false","5.71E-4","29000","0.9712574400503344","5.545879982687409E-4"
"1862","1871","1.066","31500","0.6","false","5.71E-4","31500","0.9731942637775118","5.556939246169593E-4"
"1872","1881","1.066","35000","0.6","false","5.71E-4","35000","0.9804212230354745","5.59820518353256E-4"
"1882","1891","1.066","37800","0.6","false","5.71E-4","37800","0.972019755260713","5.550232802538672E-4"
"1892","1901","1.066","38200","0.6","false","5.71E-4","38200","0.9534305462602948","5.444088419146283E-4"
"1902","1911","1.003","42100","0.13","false","5.71E-4","42100","1.0544745815355108","6.021049860567766E-4"
"1912","1921","1.003","44000","0.13","false","5.71E-4","44000","1.0511494702898303","6.00206347535493E-4"
"1922","1931","1.003","45000","0.13","false","5.71E-4","45000","1.0496285046712115","5.993378761672618E-4"
"1932","1941","1.003","50200","0.13","false","5.71E-4","50200","1.1855581818743202","6.769537218502368E-4"
"1942","1951","1.003","52800","0.13","false","50.000285","52800","2.6546601373475776","132.733763445518"
"1952","1961","1.003","55900","0.13","false","50.000285","55900","1.4182677662671521","70.91379251967099"
"1962","1971","1.003","56300","0.13","false","50.000285","56300","1.2697438247458757","63.487553114283834"
"1972","1981","1.003","57400","0.13","false","50.000285","57400","1.1795032591230463","58.97549911458116"
"1982","1991","1.003","59300","0.13","false","50.000285","59300","1.101339800094652","55.06730388657562"
"1992","2001","1.003","63200","0.13","false","50.000285","63200","1.0527549463384285","52.63804735208113"
"2002","2011","1.003","65600","0.13","false","50.000285","65600","0.9873658599655855","49.36857439754936"
"2012","2015","1.003","66270","0.13","false","50.000285","66270","0.9257038030582143","46.28545397849459"
