"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","1.25","1500","6.106663837011722","7.633329796264653","1.0"
"1","43","1.066","2000","0.6","false","0.15625","2000","4.204289051905037","0.656920164360162","1.0"
"44","200","1.066","4500","0.6","false","0.009765","4500","7.194371669390446","0.0702530393515977","1.0"
"201","410","1.066","3000","0.6","false","0.00122","3000","4.606020761723248","0.005619345329302363","1.0"
"411","430","1.066","1250","0.6","false","0.00122","1250","0.9109838703393309","0.0011114003218139837","1.0"
"431","500","1.066","1300","0.6","false","9.149999999999999E-4","1300","3.263492904639973","0.002986096007745575","1.0"
"501","750","1.066","1300","0.6","false","3.4199999999999996E-4","1300","5.294759623442065","0.0018108077912171862","1.0"
"751","950","1.066","1400","0.6","false","2.56E-4","1400","3.670260161728588","9.395866014025186E-4","1.0"
"951","1066","1.066","1500","0.6","false","2.56E-4","1500","0.9146843718822537","2.3415919920185695E-4","1.0"
"1067","1086","1.066","2000","0.6","false","2.56E-4","2000","0.8619306524676805","2.2065424703172622E-4","1.0"
"1087","1190","1.066","3700","0.6","false","1.92E-4","3700","3.5413280786755923","6.799349911057138E-4","1.0"
"1191","1220","1.066","4800","0.6","false","1.92E-4","4800","1.056757323719475","2.028974061541392E-4","1.0"
"1221","1250","1.066","5000","0.6","false","1.92E-4","5000","1.0318862662771575","1.9812216312521425E-4","1.0"
"1251","1279","1.066","5300","0.6","false","1.92E-4","5300","1.0121614210724248","1.9433499284590556E-4","1.0"
"1280","1290","1.066","5700","0.6","false","1.92E-4","5700","1.0012500719955846","1.9224001382315225E-4","1.0"
"1291","1315","1.066","5600","0.6","false","1.92E-4","5600","0.9811263467667635","1.8837625857921858E-4","1.0"
"1316","1325","1.066","5000","0.6","false","1.92E-4","5000","0.9596534094975995","1.842534546235391E-4","1.0"
"1326","1348","1.066","5700","0.6","false","1.92E-4","5700","0.9638143964951825","1.8505236412707504E-4","1.0"
"1349","1351","1.066","3000","0.6","true","1.92E-4","3000","0.7799146979488234","1.4974362200617408E-4","1.0"
"1352","1377","1.066","3000","0.6","false","1.92E-4","3000","0.9388718909087241","1.8026340305447503E-4","1.0"
"1378","1400","1.066","2500","0.6","false","1.92E-4","2500","0.9151174581873391","1.7570255197196913E-4","1.0"
"1401","1430","1.066","2400","0.6","false","1.92E-4","2400","0.9045926502988366","1.7368178885737663E-4","1.0"
"1431","1450","1.066","2300","0.6","false","1.92E-4","2300","0.8892427468764378","1.7073460740027607E-4","1.0"
"1451","1490","1.066","2600","0.6","false","1.92E-4","2600","0.8803600920987126","1.6902913768295283E-4","1.0"
"1491","1522","1.066","2800","0.6","false","1.92E-4","2800","0.8635955157414804","1.6581033902236423E-4","1.0"
"1523","1541","1.066","3400","0.6","false","1.92E-4","3400","0.8574223918222104","1.646250992298644E-4","1.0"
"1542","1560","1.066","3800","0.6","false","1.44E-4","3800","3.6028980860043194","5.18817324384622E-4","1.0"
"1561","1600","1.066","5000","0.6","false","1.44E-4","5000","1.1108096568786139","1.5995659059052042E-4","1.0"
"1601","1650","1.066","6300","0.6","false","1.44E-4","6300","1.0858802981286526","1.5636676293052598E-4","1.0"
"1651","1700","1.066","6200","0.6","false","1.44E-4","6200","1.0533299791541106","1.5167951699819195E-4","1.0"
"1701","1801","1.066","11300","0.6","false","1.44E-4","11300","1.0243737733372436","1.4750982336056307E-4","1.0"
"1802","1811","1.066","12500","0.6","false","1.44E-4","12500","1.0098166669838957","1.4541360004568097E-4","1.0"
"1812","1821","1.066","13400","0.6","false","1.44E-4","13400","1.0043160823043504","1.4462151585182647E-4","1.0"
"1822","1831","1.066","15800","0.6","false","1.44E-4","15800","1.0076940804115921","1.4510794757926926E-4","1.0"
"1832","1841","1.066","20200","0.6","false","1.44E-4","20200","1.0124350965380866","1.4579065390148447E-4","1.0"
"1842","1851","1.066","27400","0.6","false","1.44E-4","27400","1.0155512712699788","1.4623938306287696E-4","1.0"
"1852","1861","1.066","29000","0.6","false","1.44E-4","29000","0.9887905552865645","1.4238583996126528E-4","1.0"
"1862","1871","1.066","31500","0.6","false","1.44E-4","31500","0.9867514123791826","1.420922033826023E-4","1.0"
"1872","1881","1.066","35000","0.6","false","1.44E-4","35000","0.987988941436839","1.4227040756690482E-4","1.0"
"1882","1891","1.066","37800","0.6","false","1.44E-4","37800","0.981159063917137","1.4128690520406772E-4","1.0"
"1892","1901","1.066","38200","0.6","false","1.44E-4","38200","0.9730661528185565","1.4012152600587213E-4","1.0"
"1902","1911","1.066","42100","0.6","false","1.44E-4","42100","0.9780322843779189","1.4083664895042032E-4","1.0"
"1912","1921","1.066","44000","0.6","false","1.44E-4","44000","0.971836383363051","1.3994443920427934E-4","1.0"
"1922","1931","1.066","45000","0.13","false","1.44E-4","45000","1.01695040909074","1.4644085890906655E-4","1.0"
"1932","1941","1.066","50200","0.13","false","1.44E-4","50200","1.0194881238930957","1.4680628984060578E-4","1.0"
"1942","1951","1.066","52800","0.13","false","1.44E-4","52800","1.0179574358277612","1.4658587075919762E-4","1.0"
"1952","1961","1.066","55900","0.13","false","1.44E-4","55900","1.0313996023166212","1.4852154273359346E-4","1.0"
"1962","1971","1.066","56300","0.13","false","1.44E-4","56300","1.0357930468576104","1.491541987474959E-4","1.0"
"1972","1981","1.066","57400","0.13","false","1.44E-4","57400","1.0234401904350612","1.473753874226488E-4","1.0"
"1982","1991","1.066","59300","0.13","false","1.44E-4","59300","1.0279665969707996","1.4802718996379514E-4","1.0"
"1992","2001","1.066","63200","0.13","false","1.44E-4","63200","1.0339244426521843","1.4888511974191454E-4","1.0"
"2002","2011","1.066","65600","0.13","false","1.44E-4","65600","1.0242742623604069","1.474954937798986E-4","1.0"
"2012","2015","1.066","66270","0.13","false","1.44E-4","66270","1.0226974564303624","1.4726843372597217E-4","1.0"
